freq,Zreal,Zimag,sigma_re,sigma_im
1000020.0,-296.0544788583411,178.7375789706789,4978.683304557955,4978.68329854866
857753.9,-128.8447027839802,-396.0105737039826,4978.680825783655,4978.680840911613
735644.5,50.161005653202665,-912.4166720143432,4978.6803634473745,4978.680452990374
630996.1,225.38980055491993,-1384.2863233910816,4978.682100237617,4978.682301490821
541230.5,384.45369363264945,-1830.2299652364943,4978.6855562539,4978.685901693504
464238.3,518.1495935573539,-2271.143194838586,4978.689856699939,4978.690384213203
398144.5,620.9980713178047,-2730.345987531853,4978.694056049902,4978.694818700837
341543.0,690.8102355383744,-3230.706427305102,4978.697391584716,4978.698466138851
292910.2,729.1350572210995,-3798.447130500597,4978.699472711522,4978.700971931836
251191.4,739.930358942147,-4457.563718005126,4978.700270287229,4978.702354867065
215449.2,729.4163002206933,-5231.4784226227075,4978.700064967256,4978.702960182724
184863.3,705.2132939094754,-6142.620288061333,4978.6993136488145,4978.7033306597195
158496.1,675.1705348202577,-7222.997902593097,4978.6985084209155,4978.704087744964
135996.1,647.4307015235026,-8486.971580922504,4978.698112328582,4978.705837865608
116660.2,628.8072078262949,-9969.3480564981,4978.698503093135,4978.70918281774
100019.5,625.0923046118987,-11705.000480848188,4978.700020293181,4978.714759019299
85839.84,640.423476448068,-13709.894321755375,4978.702974353845,4978.723208107984
73652.34,677.4145118850811,-16039.22893978352,4978.707773714054,4978.735478053189
63105.47,738.0950777335092,-18765.59016544203,4978.715015027921,4978.752947154276
54199.22,821.3972458216531,-21875.97906879726,4978.72520313388,4978.776758742539
46464.84,930.287574760554,-25525.159010240608,4978.739597913838,4978.8097937295925
39902.34,1064.2384983839747,-29712.770967089054,4978.759270522127,4978.854391776017
34160.16,1232.4224146760707,-34681.085607400695,4978.787064813992,4978.916657781569
29355.47,1435.5286338619408,-40320.38794902396,4978.824901423233,4979.0000627015925
25136.72,1697.7403544964154,-47041.84030938668,4978.879852869893,4979.118268418505
21621.09,2026.0950794371038,-54642.40180209581,4978.957121583151,4979.27877167881
18574.22,2461.0164205177416,-63553.36404410233,4979.072392616483,4979.507435429034
15878.91,3063.5926401584256,-74280.1694226517,4979.2548130538,4979.848954939622
13652.34,3848.812405217145,-86321.9418716459,4979.53093951385,4980.3330400568575
11660.16,4961.9165150029585,-100963.93796374695,4979.996244128965,4981.092923228896
10019.53,6411.863588479522,-117341.88299669439,4980.73233795572,4982.212549400472
8613.280999999999,8350.310101617146,-136262.80989157717,4981.946611182827,4983.940535906108
7349.536999999999,11080.046447196002,-159306.57377284378,4984.103584668169,4986.824593022864
6307.871,14590.964157327104,-185049.3717605434,4987.6459534089545,4991.309364718206
5381.944,19435.15618754991,-216011.43614449105,4993.948866455309,4998.924371648514
4630.335,25486.670889738183,-249878.50914854824,5004.11772965753,5010.7456166106485
3993.0559999999996,33239.08441978461,-288101.3408747084,5020.842112145713,5029.595777600044
3414.3520000000003,43937.46399517345,-334465.8312787217,5050.660896034053,5062.338869842178
2915.3959999999997,58107.7324964987,-388206.9476721334,5101.953001240744,5117.439905290403
2519.531,75084.3378930353,-444749.88162959286,5180.55660333728,5200.442205044094
2141.2039999999997,99691.48485841994,-516364.1394051418,5325.99527781631,5351.820053713344
1841.5179999999998,129322.50408600386,-591401.733066016,5546.705754320921,5578.862154590925
1580.6689999999999,167836.99380594777,-676323.5471166925,5899.04880947113,5938.003968118114
1362.645,215448.8184384499,-767491.4502551528,6419.604010940945,6464.8456066385215
1171.875,276400.76362370636,-868467.8380378382,7191.875697255799,7242.322996018184
1000.702,356470.97412059107,-982057.6071922592,8334.29847227577,8388.090859736853
857.4695,453562.6398959434,-1098980.3680198789,9846.451496860083,9900.961769698632
734.1868,572181.5585668057,-1219271.7166601566,11808.522191377737,11861.1338959625
628.811,713276.2032009983,-1338218.4735338595,14238.229516644358,14286.512335064483
542.7632,868811.6760086368,-1445891.9714157712,16986.42415678794,17028.60980952468
463.5989,1057883.6952329308,-1550460.4994448118,20384.213724409212,20418.040355075893
400.1524,1253168.3860024887,-1633441.8166229576,23932.698020273398,23957.32114443372
341.7969,1478529.2373692694,-1702270.022229191,28057.528062592635,28071.14880109116
292.9687,1709979.6740522562,-1746348.7462319515,32314.803782447405,32316.89310603224
252.0161,1940909.83064936,-1765652.0289221148,36576.37889768843,36566.8382338269
215.0229,2183236.1634640563,-1760696.7680403749,41058.44463839314,41036.63825604384
184.5472,2409713.2863900326,-1733150.6963154348,45254.10740444919,45220.82732016499
158.0056,2628066.1168368612,-1685469.3016319594,49303.85105233521,49259.53635816395
136.5291,2819480.954709104,-1626174.4632203977,52856.87396642839,52802.93755972969
116.219,3012501.902990291,-1549261.1184783482,56441.92052790732,56378.363237912155
99.73404000000001,3177513.8962788037,-1469488.0301681533,59508.22328567387,59436.53866108189
86.00917,3320519.708747602,-1389849.1548793803,62166.55386874099,62087.92988192065
73.8189,3452019.2443745728,-1308383.1653026848,64611.69485276854,64526.807494239576
62.91946,3573755.454640824,-1226845.4068814316,66875.8446972253,66785.29418182056
53.87931,3678651.669703696,-1153228.224698822,68827.1917068425,68731.8978100319
46.41089,3769168.657238894,-1088781.68792997,70511.33492087541,70412.07556211199
39.724579999999996,3854635.7152652014,-1028957.9727895577,72101.75951308545,71998.88678271465
34.21533,3929789.712759326,-978907.2462447896,73500.46154827083,73394.53247363934
29.296879999999998,4002328.3927832963,-934545.0111291277,74850.65504869701,74741.8946583479
25.201610000000002,4068547.4470777605,-898812.2148826586,76083.35782795718,75972.12049630204
21.50229,4135100.6398546244,-868648.133826892,77322.41090030894,77208.78961260416
18.38235,4198532.930144325,-846081.9934595863,78503.47760603107,78387.68094899914
15.782829999999999,4258838.145661662,-830684.3126827611,79626.4214445645,79508.64037311767
13.62645,4316261.911251123,-821672.8294573671,80695.79693850316,80576.19732286171
11.71875,4375045.5167685365,-818117.2042304598,81790.57956867882,81669.18473184179
9.973403999999999,4438236.83337692,-820464.3375069038,82967.54021370168,82844.28415161835
8.585165,4497719.5585268885,-828178.1699459822,84075.50667885721,83950.55790514564
7.358713000000001,4560057.956637944,-841560.7645899339,85236.74325508924,85110.07686500887
6.2751,4626124.757665268,-861140.3946010033,86467.5152624855,86339.08634126227
5.387931,4691289.777707769,-885353.3921189981,87681.56712881237,87551.45359426405
4.650298,4756382.974740294,-913883.8842498832,88894.35573095489,88762.6092346674
3.9859690000000003,4827161.059107005,-949285.6878730842,90213.14365275872,90079.67470564267
3.40414,4902788.173352891,-991564.1430031626,91622.37109673038,91487.11963435421
2.929687,4978106.821758448,-1037684.758463436,93025.93783134439,92888.96786348884
2.5161029999999998,5058251.08592642,-1090613.8029926172,94519.52150372179,94380.78258781871
2.1433470000000003,5147302.72436987,-1153489.8282925242,96179.21023619357,96038.57525239827
1.84402,5235659.272355382,-1219544.5406655096,97826.04912798529,97683.60258661117
1.587906,5328671.791336138,-1292480.8933074356,99559.77611767389,99415.49475418421
1.362645,5429835.376957306,-1375176.3254689563,101445.55563547314,101299.35903014033
1.171875,5536277.355696037,-1465324.8164235873,103429.85559380597,103281.72911661082
0.997765,5658167.773279652,-1571667.8837063627,105702.29572018192,105552.05824058737
0.8616728000000001,5777942.456856133,-1678520.6059642476,107935.43530644628,107783.21526759015
0.7325363,5921717.45214175,-1808660.1877545384,110616.22022013471,110461.72178173416
0.6290258000000001,6069033.446466527,-1942779.9116917828,113363.20323241256,113206.45992202552
0.5425346999999999,6225524.371007778,-2084662.9089461137,116281.43857181029,116122.37808878628
0.4650298,6405078.857342019,-2245039.889911452,119629.94476120027,119468.26815697527
0.39859690000000003,6604258.82891715,-2418115.959640533,123344.63491898372,123180.0543608509
0.3426535,6821842.590246293,-2599640.620928741,127402.73523417005,127234.91678541557
0.29296869999999997,7073948.079014543,-2798506.0106014092,132104.87204346174,131933.14300801416
0.25147529999999996,7349518.104271249,-3000648.4117824025,137244.8179457112,137068.54697137632
0.2162131,7654498.4790922105,-3205268.715178131,142933.46142203888,142751.7753684277
0.18483829999999998,8008207.9918807885,-3417618.6161938733,149531.135868954,149342.60939218733
0.1587906,8389291.327367773,-3617298.3922050134,156639.48240857705,156442.8908407746
0.1359484,8818987.146176495,-3807832.182373195,164654.63404249868,164448.09395438764
0.11672060000000001,9279413.93810092,-3973248.9085913766,173243.0119708752,173024.85165392034
0.10016030000000001,9776704.644444998,-4108960.7014703667,182518.9809399926,182287.23147986105
