freq,Zreal,Zimag,sigma_re,sigma_im
1000000.0,0.9959518111007067,0.002055343586726381,0.019377754964154045,0.0024564825822815262
794328.2347242822,0.9961624044925729,0.0012733937470417998,0.01938178659404353,0.002456285534213985
630957.344480193,0.9964074730611723,0.0006530493227677439,0.019386478239149983,0.0024561952717052854
501187.2336272725,0.996674428324144,0.00017857851371545297,0.019391588909029818,0.002456165734582668
398107.17055349686,0.9969443215865722,-0.0001642678161183379,0.019396755847209877,0.0024561657490782597
316227.7660168379,0.9971934711285398,-0.00039360586784641604,0.01940152567971946,0.0024561758072238517
251188.6431509582,0.9973960987131273,-0.0005339417631290846,0.019405404888730524,0.0024561859675805726
199526.2314968879,0.9975278246244341,-0.0006186542806422219,0.019407926725601966,0.0024561935598415804
158489.3192461114,0.9975697388790259,-0.0006900069679966899,0.019408729157410858,0.002456200700153328
125892.5411794166,0.9975124978230163,-0.0007987855147060068,0.01940763330023953,0.002456212897772746
100000.0,0.9973596251340947,-0.0010018697998230514,0.01940470661854798,0.002456240406297601
79432.82347242821,0.9971290997869888,-0.0013565863526212277,0.019400293323839475,0.0024563035077451263
63095.7344480193,0.9968525070438473,-0.0019174666352126508,0.019394998113136053,0.002456442342368771
50118.72336272724,0.9965715109680422,-0.002731641781102398,0.01938961862756438,0.0024567289052914256
39810.71705534969,0.9963320547588022,-0.003835007495685298,0.019385034415350492,0.002457277763502996
31622.776601683792,0.996177308840106,-0.005256654601710304,0.019382071929822997,0.0024582569599778197
25118.864315095827,0.9961407716106131,-0.007022682757430394,0.019381372458241616,0.0024598992887492313
19952.623149688792,0.9962409744812769,-0.009163576583265425,0.019383290766307695,0.0024625216363575427
15848.93192461114,0.9964789655447309,-0.011725969030848665,0.01938784693263682,0.002466566912297627
12589.254117941662,0.9968392646678264,-0.014785348344573752,0.019394744631289172,0.0024726839852258565
10000.0,0.9972944686804578,-0.01845961344493357,0.01940345928433033,0.002481867865276942
7943.282347242814,0.9978133125103917,-0.022922544379393284,0.019413392374948015,0.00249568900345701
6309.57344480193,0.9983719088190136,-0.028416911704488186,0.01942408661939254,0.002516651756111048
5011.8723362727205,0.9989682014276989,-0.03526736006511252,0.019435502681600693,0.002548733180465506
3981.0717055349687,0.9996404248717007,-0.04389345468594526,0.019448372606401015,0.002598151932538294
3162.2776601683795,1.0004915441271776,-0.054823052408814146,0.01946466777936668,0.00267437480982041
2511.8864315095802,1.0017231706347205,-0.06870515010210698,0.01948824839991913,0.002791241745065969
1995.2623149688789,1.0036841381984627,-0.08631912067631292,0.019525793872547204,0.002967850620630896
1584.8931924611124,1.006940329105861,-0.10857303256976786,0.01958814073490964,0.0032285679290131215
1258.9254117941662,1.0123722131389388,-0.13647644483165822,0.0196921529393319,0.0036014728219440724
