tau,gamma,ftp
1e-07,1.1348814684266697,4.13020533816518e-11
1.0884019160690054e-07,1.1414474743447653,4.134022663500831e-11
1.1846187309026848e-07,1.145943675216942,4.137835082295117e-11
1.2893412965257157e-07,1.150920498118807,4.1411364592665915e-11
1.4033215376054846e-07,1.1527499725578747,4.142534284954541e-11
1.5273778503907124e-07,1.141483653418178,4.14477158075993e-11
1.6624009789266136e-07,1.1084160964027794,4.145874489893693e-11
1.8093604107387167e-07,1.062647930878552,4.1457642509154716e-11
1.969311337907422e-07,1.0304986503956777,4.146021023656676e-11
2.143402233514859e-07,1.0317439619039053,4.143955971849383e-11
2.3328830978641583e-07,1.063369056011339,4.1418192422341044e-11
2.539114433680347e-07,1.1053808213205392,4.14097924367464e-11
2.7635770147361577e-07,1.1397936758018394,4.139788861263268e-11
3.007882518043102e-07,1.1599445725854753,4.140473879905931e-11
3.273785095948577e-07,1.165205419705503,4.1410426372418686e-11
3.563193971228584e-07,1.161012715154245,4.140151767596802e-11
3.8781871456107196e-07,1.1584900953900839,4.1400507392630424e-11
4.221026320156903e-07,1.165538753536274,4.138434998492127e-11
4.5941731346364764e-07,1.1821698812185166,4.1365083762799427e-11
5.00030684249109e-07,1.201148638484906,4.136052357673873e-11
5.442343548300272e-07,1.2144883176609749,4.134735480727775e-11
5.923457145875806e-07,1.2199299167355575,4.13436238027098e-11
6.44710210732387e-07,1.2169483698258587,4.13395371623366e-11
7.017038286703837e-07,1.2048645442097259,4.1317716848637425e-11
7.637357916378027e-07,1.1841656286502864,4.131126030341067e-11
8.312514989890632e-07,1.1553351025213894,4.130987561506214e-11
9.047357242349293e-07,1.1238945054782143,4.1314502712592677e-11
9.847160957933784e-07,1.10122076387172,4.133993316225997e-11
1.0717668854455034e-06,1.0964742943958166,4.135584480994003e-11
1.1665131316981962e-06,1.112601056840939,4.137917034707183e-11
1.2696351276599729e-06,1.1436899910973997,4.142019872201788e-11
1.3818733056536336e-06,1.1713559452227957,4.1456284270244125e-11
1.5040335536380252e-06,1.164416017027158,4.150232939455465e-11
1.6369930016117019e-06,1.0969068352268272,4.153332015064434e-11
1.7817063195457325e-06,0.9903041313458821,4.1534886257519814e-11
1.939212572065831e-06,0.9226851843821628,4.153871361926372e-11
2.1106426791015547e-06,0.9647944324490564,4.153004569595747e-11
2.297227536071156e-06,1.1108921993529595,4.151768359470544e-11
2.5003068519063265e-06,1.2880947041690494,4.151172099232994e-11
2.7213387683753086e-06,1.4297837484219633,4.14830175504605e-11
2.9619103297725534e-06,1.520624249269625,4.145514243590743e-11
3.2237488781490268e-06,1.5765374338071414,4.143214616325719e-11
3.508734455902715e-06,1.6166492582011336,4.1399792530183614e-11
3.8189133047818546e-06,1.6547398770740718,4.1383651757620905e-11
4.156512558225988e-06,1.6965963572559666,4.136446182097703e-11
4.523956232538058e-06,1.7440789479586605,4.134092789640176e-11
4.923882631706742e-06,1.7965316829827815,4.133875569240895e-11
5.359163290848514e-06,1.8511173621388854,4.1336876640961754e-11
5.832923594286212e-06,1.9081697878569635,4.1349978356943296e-11
6.348565216305224e-06,1.9683444421296725,4.1382807424530566e-11
6.909790545715645e-06,2.031582333366979,4.140891855929517e-11
7.520629269592407e-06,2.0998589666443594,4.144902887164794e-11
8.185467307069021e-06,2.1732833586409943,4.1489386357165193e-11
8.909078300934142e-06,2.2529332175501757,4.151620780377405e-11
9.69665789314552e-06,2.3417668516941488,4.1553653905548974e-11
1.055386103036523e-05,2.4398708380687006,4.1579054587195694e-11
1.1486842567375548e-05,2.5476621053943878,4.159907268583643e-11
1.250230145991456e-05,2.6639714646997046,4.16310436150359e-11
1.3607528864243332e-05,2.787029358072715,4.164907946865406e-11
1.481046048880677e-05,2.921261419047086,4.167024344323543e-11
1.6119733573881587e-05,3.071170861817587,4.168923325732045e-11
1.7544748908334598e-05,3.2408335830369475,4.168487876850244e-11
1.9095738328781007e-05,3.435666413349811,4.168605690224512e-11
2.078383818579755e-05,3.6577071388245854,4.168072164989956e-11
2.2621169304690265e-05,3.912390178135437,4.166854224586113e-11
2.4620924014946305e-05,4.206883822532675,4.1674276256269675e-11
2.6797460873256894e-05,4.546065613542672,4.167321349589365e-11
2.916640776023707e-05,4.939121915699285,4.1675803849562193e-11
3.174477409109193e-05,5.393398169612087,4.1686934405533794e-11
3.455107294592218e-05,5.919415963575593,4.1680948158866987e-11
3.760545399658176e-05,6.5377418518921475,4.168540365647458e-11
4.092984818452442e-05,7.268771701945747,4.1697842463822824e-11
4.4548125188449885e-05,8.141508184802294,4.170857498124887e-11
4.848626481239088e-05,9.191627646181047,4.174291384445028e-11
5.277254352483543e-05,10.457886605293863,4.177823677937638e-11
5.743773748826587e-05,12.000009473674812,4.181974025244478e-11
6.251534353689725e-05,13.887646584253131,4.1887332164341344e-11
6.804181968927093e-05,16.213891932461614,4.19554734464421e-11
7.405684692262442e-05,19.131567470507594,4.2036901817931504e-11
8.060361408861346e-05,22.91624827074828,4.2119203270455876e-11
8.772912801613357e-05,28.178777021524503,4.216559662540034e-11
9.548455102782303e-05,36.153365568167025,4.2184824469921477e-11
0.00010392556829367131,49.758366481242945,4.215306992487302e-11
0.00011311278765939226,79.92854464841008,4.2089193492591845e-11
0.00012311217482038908,170.91224892489,4.207661777645316e-11
0.00013399552696593398,460.96361868229076,4.214312204138128e-11
0.00014584098829439863,1241.923051117072,4.2301182475420845e-11
0.00015873361110102104,2886.862735281625,4.251782488453226e-11
0.0001727659664669038,5780.96782721417,4.271803567211032e-11
0.00018803880893409166,11709.38826465845,4.2884047924555786e-11
0.0002046617999391992,29736.075320837455,4.2983269336673214e-11
0.00022275429519995587,86771.27600617273,4.302073378088007e-11
0.00024244620170823307,231103.93906207415,4.309483327914001e-11
0.00026387891048289345,509622.12945775926,4.325270349530965e-11
0.0002872063117797831,928242.6791551716,4.3492827373037047e-11
0.0003125959000482281,1443615.643323044,4.375662487557176e-11
0.00034022997656780714,1989400.9407078477,4.393487355157414e-11
0.0003703069584005145,2480300.782427545,4.4007339623553717e-11
0.00040304280305680546,2818509.82894018,4.3974651958686395e-11
0.00043867255910485034,2959234.3448928106,4.3848250586068896e-11
0.00047745205385661313,2944943.189540645,4.3732564899390935e-11
0.0005196597302486203,2846508.572360162,4.3694320565826125e-11
0.0005655986461065008,2710796.8946169154,4.3745878541245396e-11
0.0006155986501483515,2555680.2493133987,4.38633516656806e-11
0.0006700187503509591,2380810.0560416016,4.3961211356613735e-11
0.0007292496916841451,2188152.7373614786,4.402654838774112e-11
0.0007937167617217558,1985777.4415031595,4.408166699388128e-11
0.0008638828442740454,1779064.2437077092,4.411995212583449e-11
0.0009402517429670142,1574442.5787997583,4.4184744656111546e-11
0.0010233717986325214,1378075.4363411942,4.428763796870608e-11
0.0011138398264826206,1193047.4966210702,4.442268215304678e-11
0.0012123054013376529,1023996.2574094561,4.4619443969922885e-11
0.0013194755216767086,874833.2002669228,4.485353494427935e-11
0.0014361196859990803,747257.5936481718,4.511665726002626e-11
0.0015630754179458174,643102.5883028322,4.541285746171313e-11
0.0017012542798525892,561901.9432803426,4.570204776526394e-11
0.0018516484179121578,499815.59715004545,4.6002693930384196e-11
0.002015337685941735,451432.35707452265,4.632456435122852e-11
0.00219349739890506,411898.4361908385,4.6646510704131587e-11
0.002387406771860647,378692.0348292167,4.698984641154621e-11
0.0025984581049292525,350481.0601548626,4.7326825849408405e-11
0.002828166780230035,326222.7989926528,4.7639726312951034e-11
0.00307818214256508,305324.40468538605,4.795138286932034e-11
0.0033502993419772366,287014.03901180805,4.823222448614773e-11
0.0036464722232127525,270756.24251095625,4.8495375737001337e-11
0.003968827354637166,256298.84178793224,4.876088059379278e-11
0.004319679297334174,243192.40417179884,4.9005878269580714e-11
0.004701547224022139,231271.58915313537,4.9265898366885717e-11
0.00511717300711461,220364.15641079986,4.955083610256976e-11
0.005569540905800136,210184.91742312867,4.9865805691243366e-11
0.006061898993497585,200730.6411172953,5.027615016404811e-11
0.006597782479539547,191844.1973547872,5.078526837134353e-11
0.007181039092537356,183392.78035237017,5.137950256400372e-11
0.007815856707684091,175414.2665368548,5.203064554776128e-11
0.008506793416364171,167750.0625410791,5.2678268339504793e-11
0.009258810253973964,160389.26203861847,5.3388995187753375e-11
0.010077306820944617,153363.6449198834,5.426482808297764e-11
0.010968160052731402,146552.9761772259,5.534714801682982e-11
0.011937766417144382,140010.81815660762,5.665773449377562e-11
0.012993087842004172,133710.01070140468,5.8112549096539647e-11
0.014141701702890239,127573.91853703861,5.960881921654404e-11
0.015391855229902085,121678.73919292774,6.105519340068629e-11
0.01675252472408217,115969.83850418609,6.231541788469941e-11
0.018233480008684425,110440.7810146367,6.340508921573307e-11
0.01984535457805803,105161.36533466635,6.442999870417711e-11
0.021599721947827215,100071.94640823148,6.545686993167715e-11
0.023509178754572892,95206.52177384422,6.661352697588052e-11
0.025587435201685892,90584.86408851726,6.796711444353692e-11
0.0278494135008065,86151.93709521728,6.951933719581603e-11
0.030311355015675823,81959.91048860126,7.127562323845739e-11
0.032990936877709424,77992.75163843855,7.31562500326578e-11
0.03590739891061055,74221.46305119137,7.516896280993514e-11
0.03908168177536272,70683.44765354025,7.740473300588994e-11
0.04253657732750392,67330.43677873544,7.989206291965206e-11
0.04629689226627268,64159.03322873257,8.271639502291074e-11
0.050389626250651604,61186.639299569,8.59150434239018e-11
0.05484416576121026,58368.385832535416,8.948095784796314e-11
0.05969249509970739,55728.732374427615,9.347684700409314e-11
0.06496942604146125,53266.2054263237,9.781807861411893e-11
0.0707128477894301,50948.90835190226,1.0229830302325196e-10
0.07696399902471167,48795.3247775462,1.0655095349840743e-10
0.08376776400682924,46771.59920124687,1.099828027456107e-10
0.0911729948498494,44861.845646528855,1.1220652993350077e-10
0.09923286228832566,43081.896197941685,1.1324674326202078e-10
0.1080052374516254,41399.60664691761,1.144001813993061e-10
0.11755310738783699,39823.005150927784,1.2025845001140592e-10
0.1279450273207876,38354.76609313703,1.4046584412314423e-10
0.13925561288744648,36966.286386701766,1.921718068232498e-10
0.15156607589006044,35669.16240450955,3.012731411013136e-10
0.1649648074098024,34444.76324414899,4.926296693543698e-10
0.1795480124687834,33276.323169196934,7.691179801612319e-10
0.19542040079740555,32179.800033917032,1.1066476666696638e-09
0.2126959386668692,31133.44868843684,1.4795298129817745e-09
0.23149866718511658,30134.32058393439,1.8781672980990685e-09
0.25196359293170184,29183.481844640864,2.3012904548171162e-09
0.27423765732649524,28253.523878976117,2.752517503204155e-09
0.29848079169243336,27352.188845102883,3.2359548394260523e-09
0.3248670655878381,26473.70057012733,3.749500227284914e-09
