tau,gamma,ftp
0.0011378669635014834,0.0019890604607947036,2.008062292908593e-204
0.0012627507033305954,0.001968163535786334,4.395362392122536e-196
0.001401340745367228,0.0019474328577839392,6.390734225644825e-188
0.0015551413904952352,0.0019299547370095229,6.1722767068590475e-180
0.0017258220403758285,0.0019155674128118563,3.9598485886848505e-172
0.0019152353176700497,0.0019051030048700777,1.6875254646807266e-164
0.0021254371750009057,0.0018973203443732032,4.7770595128201465e-157
0.0023587092109242772,0.0018930412518090537,8.982754499831043e-150
0.0026175834351333653,0.0018939688597257615,1.1220106293304653e-142
0.0029048697517061396,0.001899746113055169,9.309427496317969e-136
0.0032236864587078013,0.0019094591781150729,5.1308289744576116e-129
0.0035774940952007744,0.0019194181258425673,1.878411183593766e-122
0.003970133003048507,0.0019284891117863781,4.568065830470044e-116
0.004405865011221037,0.0019328187488821425,7.379256466594602e-110
0.004889419695057148,0.0019323696521893205,7.918290252079951e-104
0.005426045712596023,0.0019244170026242358,5.644023219469595e-98
0.006021567775199451,0.001908398207563425,2.6722970260791723e-92
0.006682449870842077,0.0018823975735346265,8.404642150211542e-87
0.007415865426315524,0.0018462159694565537,1.755869711973499e-81
0.00822977516990963,0.0018016923185302238,2.4367103615786668e-76
0.009133013539717296,0.0017491520878633012,2.2462293344404254e-71
0.010135384575466514,0.0016912549077885844,1.3754437717605523e-66
0.011247768334720375,0.0016275703131651597,5.59461428125383e-62
0.01248223898852059,0.0015604203268438682,1.5115969958676206e-57
0.013852195878322824,0.0014896163746044293,2.7129416477513157e-53
0.015372508956757769,0.0014176660701449302,3.234323433545143e-49
0.017059680190878855,0.0013459335205617813,2.5613268626071655e-45
0.018932022679819385,0.0012761423539768726,1.347364572927767e-41
0.02100985943105953,0.0012099038760930248,4.708079715415991e-38
0.02331574395288503,0.0011479271806400689,1.0928009343947385e-34
0.02587470505741884,0.001092123927453109,1.684910672481887e-31
0.028714518531396595,0.0010431378072992441,1.725644353829286e-28
0.031866008623488075,0.0010032569663457485,1.1739898439940866e-25
0.03536338262060451,0.0009723729470924957,5.305375392742042e-23
0.03924460214479114,0.000950333618704266,1.5926006322188744e-20
0.04355179520088053,0.000937739947306961,3.175683840421766e-18
0.04833171344740447,0.0009406204456745797,4.206382737186738e-16
0.053636239654129975,0.0009594672862944491,3.701052748908379e-14
0.05952295085432691,0.000984945796311896,2.1631973151812506e-12
0.06605574330440238,0.0010791591581097775,8.399329438334181e-11
0.07330552603441555,0.0015819635457614031,2.1668464274955285e-09
0.08135099051749281,0.003154141161481068,3.715253114203609e-08
0.09027946481238236,0.006354501388039628,4.2371587490691627e-07
0.10018786145028714,0.011207334630197602,3.2206602915815936e-06
0.11118372935464296,0.016838689429726043,1.6394076911929366e-05
0.12338642121171922,0.02094494077371643,5.65295198100375e-05
0.13692838896305684,0.02130272993709733,0.00013551017775195468
0.15195662148143557,0.018328506468444323,0.00023796584958039296
0.16863424003536742,0.013997416437425131,0.0003329048600368604
0.1871422688598016,0.0096800627982369,0.0004063022559784114
0.20768160005138359,0.005999944620272914,0.00045992532182168066
0.23047517411587645,0.0031854525381473098,0.0004991290867310484
0.2557703998361009,0.001362056587131098,0.0005280328901177003
0.2838418397264268,0.0004716773978339421,0.0005488853449407196
0.3149941902225974,0.0001629582778603546,0.0005646062580046287
0.3495655889548266,8.015588459620642e-05,0.0005767523332855252
0.3879312850023751,5.4662157166318554e-05,0.0005872182198699828
0.4305077119677288,4.187401730293162e-05,0.0005964480636672652
0.4777570080808363,3.3681396088661854e-05,0.0006048797717950052
0.5301920323960706,2.780213971390961e-05,0.000611897662456109
0.5883819315293296,2.3158965080296806e-05,0.000616856649648374
0.6529583173584291,1.945856285633613e-05,0.000619091388277919
0.7246221227415427,1.6569946145300534e-05,0.0006180182037539915
0.804151209667842,1.4337330489256875e-05,0.000614566558919804
0.8924088124216752,1.2575994727713527e-05,0.0006092749030163992
0.9903529074050867,1.1113589548607934e-05,0.0006042272832337676
1.0990466113217487,9.693625271569735e-06,0.0006004902790649597
1.219669720587539,7.932648650237621e-06,0.0005992438601109154
1.3535315172202358,5.572986545612708e-06,0.0006005129871997922
1.5020849802075764,3.033256532500005e-06,0.0006044311321484882
1.6669425566084357,1.1841901863722346e-06,0.000610443856504347
1.8498936635717336,3.178012686776287e-07,0.0006173957048565289
2.052924111245601,5.747926239682153e-08,0.0006236228104132143
2.27823765739934,6.946932930978423e-09,0.0006272150663535945
2.5282799277189087,5.59072967170989e-10,0.0006277190097712416
2.8057649614145923,2.9916490557325605e-11,0.0006246421219786663
3.1137046702753652,1.0638119741626218e-12,0.0006199836395772959
3.4554415309280144,2.513205060449757e-14,0.0006152256013160736
3.8346848651533163,3.9441913937124114e-16,0.0006121576331792586
4.255551102057483,4.111858029190947e-18,0.0006115060247938921
4.722608459117437,2.847485119021909e-20,0.0006136917027193462
5.240926527082344,1.3098611548476244e-22,0.0006184375352882159
5.816131296941871,4.002472788918763e-25,0.0006248305176341846
6.454466226241624,8.124008779082365e-28,0.0006317305440735469
7.162860007579049,1.0953453454411606e-30,0.0006373291178141461
7.949001774861043,9.810030615429247e-34,0.0006408545412997236
8.821424563636034,5.836174125775725e-37,0.0006412333823156173
9.789597931405863,2.3063472116747463e-40,0.0006398609086756961
10.864030743248115,6.054240973866937e-44,0.0006376919675435645
12.056385238417095,1.0556823971809573e-47,0.0006360029403967703
13.379603616039025,1.2227718149958479e-51,0.0006352399948605345
14.848048513903297,9.407974280347508e-56,0.0006360890714826024
16.477658905151742,4.80823167758003e-60,0.0006393089208602406
18.286123105018717,1.632349728183758e-64,0.0006448977243159078
20.293070765492995,3.681116813094158e-69,0.0006526704673806487
22.52028594187269,5.5142258400987275e-74,0.0006612931088891177
24.99194354390691,5.486912833571324e-79,0.0006699411578992048
27.734871738040262,3.6266874948422527e-84,0.000676846585836343
30.778843148958806,1.592321542371946e-89,0.0006819729125932712
34.15689802123264,4.64397602002062e-95,0.0006849943377710452
37.90570284875549,8.996793001757084e-101,0.0006873929383470793
42.0659483646606,1.1577746870498492e-106,0.0006908633128601534
46.682791211623424,9.896894345194907e-113,0.0006967448095120251
51.80634408658253,5.619690266263237e-119,0.0007058848207807874
57.49221968006775,2.1196511326063244e-125,0.0007180586841822259
63.80213431422645,5.3107389880790996e-132,0.0007329994633871982
70.80457783163114,8.838612396232587e-139,0.0007493523979938988
78.5755570060555,9.771287298176573e-146,0.0007668046606221119
87.19942054443919,7.175596980269046e-153,0.0007842322494419779
96.76977463487752,3.5002805609905214e-160,0.0008025815208080229
107.39049897828895,1.1341911019536622e-167,0.0008225327164288133
119.17687433209423,2.4412270722396648e-175,0.0008461526382406485
132.25683380462937,3.4903476086390942e-183,0.0008753220036849742
146.77235148224398,3.314879506591101e-191,0.0009112695407965687
162.88098346169002,2.0912472090333017e-199,0.000954426941142603
180.75757801466392,8.76358016973548e-208,0.0010047401199725285
200.5961734471732,2.4394746842064167e-216,0.0010633269633190522
222.61210425370945,4.5107590500187084e-225,0.0011309337738467477
247.04433842709852,5.540404899892828e-234,0.0012106437980795358
274.1580712939414,4.5203487480841886e-243,0.001304220156912912
304.2476040299703,2.449858166269444e-252,0.0014157884644896712
337.6395380996512,8.819592170889932e-262,0.0015567862264462197
374.6963202935068,2.109087640930135e-271,0.0017698955105891583
415.82017684213656,3.3502661720585735e-281,0.002157776468723062
461.4574793090704,3.53510696936671e-291,0.0029575239451716897
512.1035896512619,2.477789277179056e-301,0.004749338185542715
568.3082370370713,1.153625216792e-311,0.00904170044787769
630.6814847834335,3.56e-322,0.02085424326402918
699.9003521792876,0.0,0.06686101477340373
776.7161630706529,0.0,0.30119240548332843
861.9627009712631,0.0,1.3494654018067505
956.5652592169516,0.0,4.615335490104563
1061.550684397073,0.0,10.965958061933435
1178.0585220775954,0.0,17.580944836311346
1307.3533857951277,0.0,18.834090504581106
1450.8386835789179,0.0,13.433622072404624
1610.0718509929052,0.0,6.370633461950936
1786.781256042186,0.0,2.0075792068352194
1982.8849594351097,0.0,0.42030712469062553
2200.511533831068,0.0,0.058455561342398446
2442.0231680525803,0.0,0.005400502676900201
2710.041307042463,0.0,0.00033142512595241646
3007.475105870214,0.0,1.3510673207492034e-05
3337.553006636624,0.0,3.6585401086644334e-07
3703.8577810226184,0.0,6.5807819476077816e-09
4110.36541884512,0.0,7.862956250594578e-11
4561.488284729234,0.0,6.240693114909069e-13
5062.123011332678,0.0,3.290170281304168e-15
5617.703648971447,0.0,1.152238794859554e-17
6234.260648549258,0.0,2.68043436189461e-20
6918.486318011097,0.0,4.141964986207482e-23
7677.807462805564,0.0,4.2515396369326127e-26
8520.465998819695,0.0,2.8988423910856706e-29
9455.608412784355,0.0,1.312929894076e-32
10493.385041182408,0.0,3.949999423180138e-36
11645.060245265295,0.0,7.893890349820738e-40
12923.134678052113,0.0,1.0479093342259782e-43
14341.48097043778,0.0,9.240487633237912e-48
15915.494309189522,0.0,5.4125838009540655e-52
