tau,gamma,ftp,fbp
1e-07,6.0582831939311065e-05,4.0784792750675815e-05,1.8190334405753824e-05
1.1097524964120721e-07,0.00031113653520211456,0.00020937524159857552,9.326294821443979e-05
1.2315506032928263e-07,0.0010846937824420483,0.0007292346793759397,0.000323834488347392
1.3667163564620074e-07,0.0026409222087483064,0.0017716710801695173,0.0007813444389311113
1.5167168884709241e-07,0.004750737250864746,0.0031732828313713155,0.001380120866573776
1.6831803533309585e-07,0.006890129210226029,0.004569222700165296,0.0019418371136959956
1.867913599020781e-07,0.008817253058186803,0.005791306242178859,0.0023890085496457406
2.0729217795953698e-07,0.010553546484628916,0.006854753051505241,0.0027397039784181174
2.300430119772917e-07,0.012174756472624922,0.007807503206603823,0.003025087384153583
2.5529080682395163e-07,0.013706491659619678,0.008659438078775963,0.0032568586542932564
2.833096101839324e-07,0.015148151086839381,0.009401515307028267,0.003435807220204047
3.1440354715915e-07,0.01652811510479766,0.010048440784032577,0.003572941054114223
3.489101213406774e-07,0.017857640890666073,0.010601936548941742,0.00367415885895994
3.872038781812557e-07,0.019182799721397133,0.011081852078458156,0.0037500685188528115
4.2970047043208437e-07,0.020519004856476366,0.011487476405848499,0.0038036101175679326
4.768611697714474e-07,0.0219046809789943,0.011833868674400921,0.0038412588601351443
5.291978735958437e-07,0.023354955429791307,0.01212515561711652,0.003866138300963817
5.872786613189477e-07,0.024915326637081358,0.012369643987410847,0.0038813393902793845
6.517339604882421e-07,0.02664027782437616,0.012576651357555238,0.003890506264414289
7.232633896483533e-07,0.02857735197361198,0.012746088244095366,0.0038936456714246882
8.026433522257174e-07,0.030780389062831166,0.012890681411814452,0.0038948246525758014
8.907354638610439e-07,0.033284514197916996,0.013004246334627274,0.0038921628017135213
9.884959046625586e-07,0.03617712438763024,0.01310091907133134,0.0038896443245216563
1.096985797892384e-06,0.039520595092063564,0.013173361608118519,0.0038849090557598284
1.217382727739662e-06,0.043450008158371634,0.013233817930076934,0.003880971917736648
1.3509935211980278e-06,0.048074285209323664,0.013278023210351177,0.0038761616516684127
1.499268432786047e-06,0.05359461258206488,0.013312417266121522,0.0038718022564095834
1.6638168860761274e-06,0.06021045706306199,0.013337406806270638,0.003867739935329233
1.8464249428955464e-06,0.06823189744168313,0.013351719610959977,0.0038633918046975502
2.049074689815846e-06,0.0780203591183682,0.013361258414252283,0.0038603630608478436
2.2739657523579273e-06,0.09004622680431613,0.013360124455935716,0.0038564597784880666
2.523539170434766e-06,0.1048591746881253,0.01336166566706136,0.0038544519005722392
2.800503894183631e-06,0.12295783031194023,0.01335775433770166,0.003851281619688718
3.107866187782014e-06,0.14472950336175747,0.013357807436261434,0.0038499625167889018
3.4489622604057595e-06,0.17024163881335055,0.013350094555856385,0.0038476886772543183
3.827494478516315e-06,0.19945979516754164,0.013343066629638382,0.003846725760277878
4.247571552536894e-06,0.2317399494208415,0.013333434861798167,0.003845527180037008
4.713753134116729e-06,0.26657290925340327,0.013324638892539514,0.003844783951467563
5.2310993080562585e-06,0.3027699299706569,0.013317455313296023,0.0038446650150010075
5.805225516094895e-06,0.3393223347109139,0.01330855457793488,0.00384400944289657
6.44236350872137e-06,0.37484555628700383,0.01330578497426527,0.003844646141054922
7.149428986597577e-06,0.40761236361392084,0.013300191766471115,0.00384399975941788
7.934096665797492e-06,0.43581007327982285,0.0132991320249814,0.0038450018230846974
8.804883581643465e-06,0.4561066057196494,0.013289519400078283,0.003844599981449902
9.771241535346501e-06,0.46516816585720633,0.013282091293910638,0.0038457615677413566
1.0843659686896109e-05,0.45957214176096606,0.013269521120259701,0.003845960104301149
1.2033778407775906e-05,0.44122530395158177,0.013257992114535093,0.0038471083633648045
1.3354515629298974e-05,0.4145498910855047,0.013241926639513957,0.0038480449098012987
1.48202070579886e-05,0.38284100124013515,0.013221254878055718,0.0038489799935067476
1.6446761779946626e-05,0.3483983641047432,0.013198655816530454,0.003850574448137325
1.8251834943190462e-05,0.31236453315203827,0.013168449732597986,0.0038512760470537553
2.0255019392306664e-05,0.2766144940141389,0.013137677859479285,0.003853323064130866
2.2478058335487252e-05,0.24217035901798306,0.013097333629445793,0.0038539087591147113
2.4945081352303165e-05,0.21016904196133937,0.013061420137188374,0.003856029231644667
2.7682866303920665e-05,0.181171979389247,0.013022941924762527,0.0038565720105682598
3.072112998861759e-05,0.1555844976794588,0.012991050737923305,0.0038582538952519918
3.409285069746814e-05,0.13362346085566085,0.012956856464401598,0.003858768064478636
3.783462617131933e-05,0.11509602298956674,0.012925877733421597,0.0038596331729788534
4.1987070844439056e-05,0.09973774635606233,0.012898474743125004,0.003860193487053276
4.659525668664687e-05,0.08702845716825136,0.012875833996066465,0.0038602163967346704
5.170920242896755e-05,0.07652177199336814,0.012863565289113163,0.0038608738511869815
5.7384416483024044e-05,0.0677079102269925,0.012856445217145322,0.0038602194902401838
6.368249944718586e-05,0.060262022128101715,0.01286410551150017,0.0038608111182970796
7.067181273927492e-05,0.053847735400535834,0.01287859400137366,0.0038596814257802047
7.842822061337681e-05,0.04826867296820585,0.012912948781150369,0.003859952197837772
8.703591361485166e-05,0.04332575078351179,0.012961533996589468,0.0038587328050841796
9.658832241158708e-05,0.03889085997446573,0.013037385962714433,0.0038586034908338206
0.00010718913192051276,0.034861796514766806,0.01313936224361821,0.0038577280115904577
0.00011895340673703195,0.03116964280617147,0.01327576504793651,0.0038572208983373153
0.0001320088400831418,0.02779997259881467,0.013448872140201648,0.0038569201045197616
0.00014649713983072864,0.024689050567258314,0.013659125002195587,0.0038560923932920354
0.0001625755666443795,0.021797610973044796,0.013911770975656117,0.0038563280355554956
0.00018041864093920718,0.019060949892888153,0.014202333360488907,0.0038553517890695535
0.00020022003718155845,0.016487458302556688,0.014545127244731124,0.0038560220557711544
0.0002221946860939524,0.014063105383490105,0.014937574161444932,0.0038553186481682317
0.0002465811075822604,0.01178906340968014,0.015401031701244159,0.0038562490685477495
0.0002736439997074672,0.009671838248076325,0.0159378377396072,0.0038560102030328483
