freq,Zreal,Zimag,sigma_re,sigma_im
1000000.0,0.9990178603111236,-7.876082176066509e-05,0.002956310067981422,0.0029563100071014065
794328.2347242822,0.9990313998756093,-9.155584588004766e-05,0.0029563116097067158,0.002956311548825082
630957.344480193,0.9990463778955835,-0.00010334365553807469,0.0029563133152496605,0.002956313254366236
501187.2336272725,0.9990620618761874,-0.00011429810281888072,0.0029563151012064895,0.00295631504032119
398107.17055349686,0.999077759159849,-0.0001249797156660384,0.002956316888705201,0.002956316827818026
316227.7660168379,0.999092968497544,-0.00013626215017527356,0.002956318620665885,0.0029563185597768923
251188.6431509582,0.9991074399967671,-0.0001492105279328255,0.002956320268629153,0.00295632020773843
199526.2314968879,0.9991211431786359,-0.00016497900245931028,0.0029563218291207547,0.002956321768228394
158489.3192461114,0.9991341788667739,-0.00018477507100250455,0.0029563233136192537,0.002956323252725335
125892.5411794166,0.9991466874792398,-0.00020990449390711924,0.002956324738113121,0.002956324677217708
100000.0,0.9991587971525974,-0.00024187280653763542,0.002956326117193212,0.0029563260562963517
79432.82347242821,0.9991706186281418,-0.00028250050511526253,0.002956327463470331,0.002956327402572059
63095.7344480193,0.9991822574356455,-0.0003340285268089485,0.0029563287889627647,0.002956328728063103
50118.72336272724,0.9991938120936013,-0.00039922902557776936,0.0029563301048914727,0.0029563300439904325
39810.71705534969,0.9992053543119712,-0.0004815537858878352,0.0029563314194256994,0.0029563313585232835
31622.776601683792,0.9992169085449617,-0.0005853413430850235,0.00295633273535463,0.0029563326744508397
25118.864315095827,0.9992284490702117,-0.0007160873055553276,0.0029563340497553076,0.002956333988850148
19952.623149688792,0.9992399230047957,-0.0008807746229283462,0.0029563353566150383,0.002956335295708523
15848.93192461114,0.99925129480179,-0.001088261955443114,0.0029563366519012664,0.002956336590993416
12589.254117941662,0.9992625961425793,-0.0013497404522617579,0.0029563379392476045,0.0029563378783384418
10000.0,0.9992739632610057,-0.0016792902750861448,0.002956339234210784,0.0029563391733003234
7943.282347242814,0.9992856556698867,-0.0020945880099457865,0.002956340566412853,0.0029563405055010898
6309.57344480193,0.999298069765386,-0.0026178255548583336,0.0029563419811052265,0.0029563419201921303
5011.8723362727205,0.9993117774533672,-0.003276899493187076,0.002956343543591065,0.002956343482676566
3981.0717055349687,0.9993276258830069,-0.004106924478299658,0.0029563453506213882,0.002956345289705368
3162.2776601683795,0.9993469291376564,-0.005152127909535433,0.002956347552287717,0.002956347491369979
2511.8864315095802,0.9993717794102358,-0.006468206957635064,0.0029563503875617825,0.0029563503266420064
1995.2623149688789,0.9994055217738922,-0.008125268031913421,0.0029563542385329447,0.002956354177610609
1584.8931924611124,0.9994534798800603,-0.010211509518797736,0.0029563597133386837,0.0029563596524129466
1258.9254117941662,0.9995240895667958,-0.012837843493273618,0.0029563677757610514,0.0029563677148305633
1000.0,0.9996306967413122,-0.016143678806203057,0.002956379950876064,0.0029563798899386712
794.3282347242813,0.9997944163582061,-0.020304107128320505,0.002956398652351475,0.00295639859140375
630.957344480193,1.0000486609464907,-0.025538742568232263,0.0029564277015775966,0.0029564276406140936
501.187233627272,1.0004462822512823,-0.03212243816091782,0.0029564731481287834,0.0029564730871408547
398.10717055349687,1.0010707928299791,-0.04039797189145555,0.0029565445633981126,0.0029565445023720205
316.227766016838,1.0020539189867341,-0.05079043606681253,0.0029566570752463175,0.0029566570141602343
251.18864315095797,1.0036028573338711,-0.06382224604059349,0.0029568345552569977,0.0029568344940762046
199.5262314968879,1.0060420894327093,-0.08012597659119365,0.002957114577701278,0.0029571145163704605
158.48931924611125,1.0098762605820797,-0.10044886817936155,0.0029575560490524688,0.0029575559874832776
125.89254117941664,1.0158816257794339,-0.12563658004075684,0.0029582507309428778,0.0029582506689936833
100.0,1.025231542303978,-0.1565729825431971,0.002959340107492019,0.002959340044934703
79.43282347242804,1.0396508881629576,-0.19403654913961815,0.0029610387474189675,0.0029610386838841733
63.09573444801929,1.0615644688375674,-0.23841587538326683,0.0029636633909641244,0.0029636633258516222
