tau,gamma,ftp,fbp
1e-07,7.579442389134268e-05,2.9049774746088073e-05,1.0399928171418538e-05
1.1097524964120721e-07,0.00038930516265183016,0.00014918744840476493,5.329464003116002e-05
1.2315506032928263e-07,0.0013575858391203129,0.0005200675019038683,0.00018483516136883485
1.3667163564620074e-07,0.003307359408920233,0.0012660222353655434,0.00044477570331604517
1.5167168884709241e-07,0.005956463963725393,0.0022766747466418996,0.000781347846448232
1.6831803533309585e-07,0.008652820425247882,0.00329973179491043,0.0010893112254234966
1.867913599020781e-07,0.01108695279257498,0.0042175308568163416,0.0013242598913233482
2.0729217795953698e-07,0.013266138649358515,0.0050373337805865726,0.0014996944475675342
2.300430119772917e-07,0.015260651159356688,0.005790299363853692,0.0016360319312636513
2.5529080682395163e-07,0.017074101895007195,0.006481183502572457,0.0017415706866294217
2.833096101839324e-07,0.018679358959299952,0.007102121937676056,0.001817740382991272
3.1440354715915e-07,0.020096291492895556,0.007661501713404124,0.0018716243634453922
3.489101213406774e-07,0.021324603701861643,0.008157828035920163,0.0019074998578975512
3.872038781812557e-07,0.022413649157143195,0.008603620002306408,0.0019315187705470159
4.2970047043208437e-07,0.023379198452988963,0.008995574228822918,0.0019456432658010029
4.768611697714474e-07,0.024270495380849168,0.009343738931499654,0.001953300114826116
5.291978735958437e-07,0.025118480772081776,0.009649123841833444,0.001956240809779138
5.872786613189477e-07,0.025974248321422234,0.009917188675921257,0.0019559844155030686
6.517339604882421e-07,0.026903475494589612,0.010153630283241281,0.0019543291301158242
7.232633896483533e-07,0.027964492580821548,0.010357833315095941,0.0019511890409319456
8.026433522257174e-07,0.029244959439837966,0.010539660559089545,0.001948517202898929
8.907354638610439e-07,0.03080512626101149,0.010693901705583665,0.0019452949338211148
9.884959046625586e-07,0.03274235475332569,0.010831624985396707,0.0019433524337087809
1.096985797892384e-06,0.035124678316524986,0.010946091867125763,0.0019413649803784
1.217382727739662e-06,0.0380810761460997,0.011047560417603552,0.0019406488802840018
1.3509935211980278e-06,0.04173419904838842,0.01113244262638653,0.0019401738617456656
1.499268432786047e-06,0.046311703307602356,0.011206665936099772,0.0019404065712549487
1.6638168860761274e-06,0.05208134769784472,0.011270603623234706,0.0019410274027115934
1.8464249428955464e-06,0.05943903196918566,0.011323494163391361,0.0019415407667061273
2.049074689815846e-06,0.06895030315893161,0.011369998324895497,0.0019425174223499581
2.2739657523579273e-06,0.08160507988656271,0.011404741050551956,0.0019426986732353957
2.523539170434766e-06,0.09878805410828423,0.011438269778516077,0.0019433961989570136
2.800503894183631e-06,0.12142879947818574,0.011463227788391867,0.001943038943127794
3.107866187782014e-06,0.14909740852782957,0.01148843080581531,0.0019431932146617389
3.4489622604057595e-06,0.18067194079421867,0.01150460742975823,0.0019425012871812377
3.827494478516315e-06,0.21548985687611844,0.011519318109278334,0.0019421811336868605
4.247571552536894e-06,0.25253177392081655,0.011529385593279302,0.0019415188430617419
4.713753134116729e-06,0.2908899633545848,0.011538028503849326,0.0019409232599705763
5.2310993080562585e-06,0.3287243951795941,0.011546199929162743,0.001940539373641509
5.805225516094895e-06,0.36448572688431174,0.011550690519377578,0.0019398290242818653
6.44236350872137e-06,0.39633437142005135,0.011557166496754055,0.0019397623954502338
7.149428986597577e-06,0.42174106648525256,0.011557944565372586,0.001939062102353751
7.934096665797492e-06,0.4381613022833688,0.011561818816186346,0.001939197988836036
8.804883581643465e-06,0.4431096290678488,0.01155961709413946,0.001938596949562316
9.771241535346501e-06,0.4378078570338007,0.011560656897970227,0.0019386995889136692
1.0843659686896109e-05,0.42396600178631577,0.011558075942831711,0.0019381719550680336
1.2033778407775906e-05,0.403899119779661,0.011558770631479597,0.00193794421135309
1.3354515629298974e-05,0.3795231738036434,0.011560546421434236,0.001937419147941266
1.48202070579886e-05,0.3523465363075039,0.011564435013614899,0.0019366906756650654
1.6446761779946626e-05,0.32409214483847126,0.011572281244464615,0.0019360962968567326
1.8251834943190462e-05,0.2956170206877159,0.011580244382158263,0.0019348565345258598
2.0255019392306664e-05,0.2680489416303579,0.011597296605307176,0.0019341338677451205
2.2478058335487252e-05,0.24171648327572537,0.011617476707635702,0.0019325619493483714
2.4945081352303165e-05,0.2171590296592976,0.011651408280537286,0.0019317275604948374
2.7682866303920665e-05,0.19443514805198228,0.011691368551278437,0.0019301722533811548
3.072112998861759e-05,0.17364028323219277,0.011747173710026683,0.0019293617552479873
3.409285069746814e-05,0.15470026188953687,0.01181394797451447,0.0019282661856132436
3.783462617131933e-05,0.13743762620695316,0.011899144004923281,0.0019277192919967528
4.1987070844439056e-05,0.12172814209855107,0.012003689410895793,0.001927460967925414
4.659525668664687e-05,0.10729077478564698,0.012130491086818681,0.001927397292492352
5.170920242896755e-05,0.09402195356007549,0.012285503250305826,0.0019281035774915923
5.7384416483024044e-05,0.08164675298842693,0.01246623745519163,0.0019285860935701266
6.368249944718586e-05,0.07007935098295334,0.012682726563495707,0.0019300591184304584
7.067181273927492e-05,0.059138331832974025,0.01292966770192491,0.001930966841380165
7.842822061337681e-05,0.04879361377710803,0.013221592038965554,0.0019327479049310468
