freq,Zreal,Zimag,sigma_re,sigma_im
1000000.0,0.9875637516948156,-0.0004896997271120765,0.04908298250684521,0.049082982505991454
794328.2347242822,0.9876056696966845,-0.000590914714203897,0.049083049515797283,0.04908304951494345
630957.344480193,0.9876580470087745,-0.0007071816001788521,0.04908313324858494,0.04908313324773102
501187.2336272725,0.9877212513314061,-0.0008403072611100494,0.0490832342956608,0.04908323429480677
398107.17055349686,0.9877952319452297,-0.0009929754523744264,0.0490833525791516,0.04908335257829744
316227.7660168379,0.987879583368126,-0.0011690003674961573,0.049083487454432875,0.04908348745357858
251188.6431509582,0.9879735027133539,-0.0013735951960004184,0.04908363764166669,0.04908363764081223
199526.2314968879,0.9880756438599483,-0.0016138326809410483,0.04908380099218699,0.04908380099133237
158489.3192461114,0.988184041746278,-0.001899413161180788,0.04908397436682854,0.049083974365973726
125892.5411794166,0.9882963157223369,-0.0022436582407308345,0.04908415396052405,0.04908415395966905
100000.0,0.9884102029588083,-0.002664504180451769,0.04908433615516163,0.04908433615430644
79432.82347242821,0.9885242558901257,-0.0031853144317454682,0.0490845186355421,0.049084518634686714
63095.7344480193,0.9886384302029321,-0.003835528026225728,0.04908470133101056,0.049084701330154995
50118.72336272724,0.9887543537462733,-0.004651372553826836,0.0490848868471078,0.049084886846252035
39810.71705534969,0.9888752452566112,-0.0056769796843876424,0.0490850803370744,0.04908508033621844
31622.776601683792,0.9890056362893265,-0.0069662184071198185,0.04908528905845405,0.04908528905759788
25118.864315095827,0.9891511636543683,-0.00858545998493722,0.04908552204270807,0.049085522041851674
19952.623149688792,0.9893187368017599,-0.01061738102567384,0.04908579036571364,0.04908579036485699
15848.93192461114,0.9895173788039701,-0.013165836209205948,0.04908610849852906,0.04908610849767213
12589.254117941662,0.9897600274209679,-0.01636180148737811,0.04908649719983852,0.04908649719898126
10000.0,0.9900666038784701,-0.02037040043932296,0.04908698844842013,0.04908698844756248
7943.282347242814,0.9904687574795574,-0.025399056431734044,0.049087633081597595,0.04908763308073945
6309.57344480193,0.9910169094126363,-0.03170680696469114,0.04908851216561282,0.049088512164754065
5011.8723362727205,0.9917905618942436,-0.03961470331362337,0.04908975370820341,0.04908975370734382
3981.0717055349687,0.9929133130693558,-0.049516920487163704,0.04909155716473532,0.04909155716387458
3162.2776601683795,0.9945746432507906,-0.06189160316390883,0.04909422937544468,0.0490942293745823
2511.8864315095802,0.9970613286186946,-0.07730932277989441,0.049098237250204,0.04909823724933924
1995.2623149688789,1.0008021406706715,-0.09643480729473718,0.049104284702539656,0.04910428470167137
1584.8931924611124,1.006429569967208,-0.12001354616516255,0.04911342335933789,0.04911342335846435
1258.9254117941662,1.0148597201284677,-0.1488283548064814,0.04912720616790038,0.04912720616701896
1000.0,1.0273825585731218,-0.18360290473644023,0.04914788524836866,0.049147885247475355
794.3282347242813,1.0457345827656723,-0.22482474350725812,0.049178632068517684,0.04917863206760641
630.957344480193,1.072093270976423,-0.27247245975608597,0.049223710524856704,0.04922371052391822
501.187233627272,1.1089013408238508,-0.3256800373994898,0.04928846399727152,0.049288463996292026
398.10717055349687,1.1584411864992783,-0.38246237192998195,0.0493789220111545,0.049378922010114054
316.227766016838,1.2221891317306608,-0.43971078150011333,0.049500874722480194,0.04950087472135144
251.18864315095797,1.3001712155769307,-0.4936342567925753,0.04965849061650857,0.04965849061525676
199.5262314968879,1.390670506837231,-0.5406028416652665,0.04985292933146157,0.04985292933004661
158.48931924611125,1.490527117244873,-0.5780646496383384,0.05008167206246431,0.05008167206084494
125.89254117941664,1.5959509944898866,-0.6051071111666082,0.05033911675741722,0.05033911675555571
100.0,1.7034834888200658,-0.6224237932098832,0.0506183324434268,0.05061833244129243
79.43282347242804,1.8107114040788082,-0.6317677091665633,0.0509131999319171,0.05091319992948697
63.09573444801929,1.916526989552127,-0.6351761603346617,0.05122000364099323,0.051220003638250425
50.11872336272725,2.020950679194504,-0.6342557807910357,0.05153790349387602,0.051537903490806385
39.81071705534969,2.124656396385018,-0.6297068942075913,0.051868220740939004,0.051868220737528004
