freq,Zreal,Zimag,Zlo,Zhi
(7943.282347242814+0j),(1.0005681132391242+0j),(-0.0008751349249805121+0j),(0.9664074231249655+0.009931387735356949j),(1.0362688114351553-0.011384675215438855j)
(6309.57344480193+0j),(1.0003584507192997+0j),(-0.0012880354981064616+0j),(0.9650471561894491+0.010419265578784857j),(1.037126793719813-0.012670853424383881j)
(5011.8723362727205+0j),(1.0001309300903987+0j),(-0.0018550538505891884+0j),(0.963653250262808+0.010954961126476141j),(1.0379676515766565-0.01433419747113724j)
(3981.0717055349687+0j),(0.9998907368196565+0j),(-0.0026130760327616794+0j),(0.9622324279144284+0.011555771513144797j),(1.0388012854863435-0.016471563033904464j)
(3162.2776601683795+0j),(0.9996439420222099+0j),(-0.003607259596094115+0j),(0.9607911127273051+0.012246285505335946j),(1.0396405550733314-0.0192011868538777j)
(2511.8864315095802+0j),(0.9993975315677696+0j),(-0.0048932120632101846+0j),(0.9593342884078503+0.013059229009993952j),(1.0405011800251331-0.022668288621036307j)
(1995.2623149688789+0j),(0.9991594794565302+0j),(-0.006539855757061936+0j),(0.9578647214555376+0.014036600730273643j),(1.0414019463847968-0.02705259927121059j)
(1584.8931924611124+0j),(0.9989389941814492+0j),(-0.008633222595757413+0j),(0.9563819843195812+0.015231475740181744j),(1.042365611329149-0.03257828469134681j)
(1258.9254117941662+0j),(0.9987472021438519+0j),(-0.01128142909917937+0j),(0.9548807276086196+0.01671019775923587j),(1.0434211692451127-0.03952678982268189j)
(1000+0j),(0.9985986550333367+0j),(-0.014621035787628791+0j),(0.953348186884942+0.018554454804787422j),(1.044608475846271-0.04825305940574845j)
(794.3282347242813+0j),(0.9985141608454856+0j),(-0.01882495096480276+0j),(0.9517612679178687+0.020863107219371912j),(1.0459865657382954-0.0592054298927285j)
(630.957344480193+0j),(0.9985256045242381+0j),(-0.024112009606653512+0j),(0.9500833571464484+0.023754147344085413j),(1.0476473955635819-0.07294931767467636j)
(501.187233627272+0j),(0.9986837035541272+0j),(-0.030758318846774775+0j),(0.9482603831978927+0.02736733772598443j),(1.0497373572573916-0.0901946784015197j)
(398.10717055349687+0j),(0.9990701126979131+0j),(-0.03911035189953988+0j),(0.9462149187472483+0.031867735068805365j),(1.0524900481630604-0.1118269598791854j)
(316.227766016838+0j),(0.9998160703442012+0j),(-0.049599464325329884+0j),(0.9438365623916521+0.037449458266546845j),(1.0562758385192579-0.1389404510007696j)
(251.18864315095797+0j),(1.0011309529181787+0j),(-0.0627567013624811+0j),(0.9409666669946155+0.04433781883718374j),(1.0616768443554927-0.1728705171583984j)
(199.5262314968879+0j),(1.0033456491400283+0j),(-0.0792249790325514+0j),(0.9373757369685509+0.052786360355452026j),(1.0695995239806435-0.21521593227444571j)
(158.48931924611125+0j),(1.0069773289476778+0j),(-0.09976216096048565+0j),(0.9327327883358427+0.06306313794764244j),(1.081440047822506-0.2678324939385449j)
(125.89254117941664+0j),(1.0128230115667292+0j),(-0.12522193108824475+0j),(0.9265686556527261+0.07541771836258145j),(1.0993168633403783-0.33276194247809787j)
(100+0j),(1.0220866400513866+0j),(-0.15648811267456517+0j),(0.9182414378747128+0.09001770223445096j),(1.1263730963387617-0.4120332881593915j)
(79.43282347242804+0j),(1.0365321056157835+0j),(-0.1943218221333362+0j),(0.9069238252888485+0.10684456202255449j),(1.1671136736203032-0.5072395621202201j)
(63.09573444801929+0j),(1.0586221485954561+0j),(-0.23906475636475566+0j),(0.8916480643736163+0.1255504545926448j),(1.2276562180814161-0.6187705456224082j)
(50.11872336272725+0j),(1.0915382710979482+0j),(-0.29014619366102096+0j),(0.8714547252185115+0.14531016479583675j),(1.315626118931017-0.7446246756399256j)
(39.81071705534969+0j),(1.1388854958507009+0j),(-0.34541215700871825+0j),(0.8456688963480512+0.16475552749458547j),(1.4392560528819203-0.8789288112546176j)
(31.622776601683796+0j),(1.203837425202023+0j),(-0.4004912532117893+0j),(0.8142389436346171+0.18211339389462874j),(1.6052397745836724-1.0107446231190067j)
(25.118864315095767+0j),(1.2876425568254461+0j),(-0.44871078479807647+0j),(0.7779459481955024+0.19559241500291108j),(1.8153724039007666-1.1242950139922265j)
(19.95262314968879+0j),(1.3879487941232413+0j),(-0.48220836196714106+0j),(0.7382841656162064+0.2038474553026819j),(2.0631548823875763-1.20179775039876j)
(15.848931924611108+0j),(1.4980674150266786+0j),(-0.49437418912177766+0j),(0.6970679635406044+0.2062053238826474j),(2.3326860504701745-1.2288539611620597j)
(12.589254117941664+0j),(1.6082495730109627+0j),(-0.4825828151372213+0j),(0.6561080804504545+0.20256014214837156j),(2.6017487521365723-1.20006239064461j)
(10+0j),(1.7087372980230147+0j),(-0.44941527568178913+0j),(0.6171534049063374+0.19323559957520114j),(2.848324419832625-1.1213465562661313j)
(7.943282347242805+0j),(1.7928143132327317+0j),(-0.40144368236321787+0j),(0.5818590256493138+0.17905195513381106j),(3.0569694227503144-1.0073488280159009j)
(6.30957344480193+0j),(1.858086217648084+0j),(-0.34650905295029166+0j),(0.5515253109626451+0.16139605430141807j),(3.2216221811442134-0.875760391051563j)
(5.011872336272715+0j),(1.905755787524385+0j),(-0.2912854151297861+0j),(0.5267676967162618+0.1420086431468289j),(3.344311946017749-0.7420850779361031j)
(3.981071705534969+0j),(1.938960775973432+0j),(-0.2401649551217911+0j),(0.5074305337381538+0.12256182807190417j),(3.4317591210726395-0.6169894644372875j)
(3.1622776601683795+0j),(1.9612872017568408+0j),(-0.1953314986150813+0j),(0.49279716240068144+0.10431384766693114j),(3.4921084459732494-0.5061695450587j)
(2.5118864315095766+0j),(1.975913249090076+0j),(-0.15738435761421288+0j),(0.4819118881218022+0.08799639545753721j),(3.5328711378992192-0.4115477492269764j)
(1.9952623149688788+0j),(1.9853084793092028+0j),(-0.12600336289377895+0j),(0.4738369631175559+0.07388970410037055j),(3.560069773376396-0.33271924071875336j)
(1.584893192461111+0j),(1.991247916166993+0j),(-0.10044061415648037+0j),(0.4677861274588149+0.06197077843295431j),(3.578144338818473-0.26810672397076774j)
(1.2589254117941662+0j),(1.9949468518863829+0j),(-0.07981863229126729+0j),(0.463159091724319+0.05205240537639702j),(3.59019850426376-0.215707134998965j)
(1+0j),(1.9972118209431575+0j),(-0.06328557216297845+0j),(0.4595224705595326+0.04388125888788167j),(3.5983289388624082-0.17350536794201588j)
