freq,Zreal,Zimag,Zlo,Zhi
(3981.0717055349687+0j),(1.028131224160524+0j),(-0.07988983498526242+0j),(0.9691352509324168-0.041057989160623726j),(1.086800774155845-0.12261446530978513j)
(3162.2776601683795+0j),(1.0354225332932958+0j),(-0.09543895533837564+0j),(0.9721285850561152-0.05107327089475025j),(1.0985252534478476-0.14473820080060917j)
(2511.8864315095802+0j),(1.044640334699267+0j),(-0.11365222642256678+0j),(0.9762532150794423-0.06285605401508998j),(1.1130279004061137-0.1706525053734648j)
(1995.2623149688789+0j),(1.0562897555020083+0j),(-0.13484579322208445+0j),(0.9818012297802018-0.07666299817355957j),(1.1310445068456147-0.20079787956277229j)
(1584.8931924611124+0j),(1.0710040661204239+0j),(-0.15930546612708532+0j),(0.9891496245917217-0.09275949218134036j),(1.1535013256820186-0.23556796858998552j)
(1258.9254117941662+0j),(1.0895636147280847+0j),(-0.1872373194628647+0j),(0.9987839590551753-0.11139673423104471j),(1.181549166953153-0.2752332101229146j)
(1000+0j),(1.1128993262098301+0j),(-0.21869570374761244+0j),(1.0113205088004216-0.13277076348671132j),(1.2165739023054694-0.3198231876306107j)
(794.3282347242813+0j),(1.142064479871293+0j),(-0.25349150351301286+0j),(1.0275171334043727-0.15695920092798016j),(1.2601521974049381-0.3689712925900586j)
(630.957344480193+0j),(1.178156726973393+0j),(-0.2910950706214682+0j),(1.048258263920607-0.18383546972149217j),(1.3139174880086597-0.42174737813732366j)
(501.187233627272+0j),(1.2221789279855597+0j),(-0.33056341517186066+0j),(1.0744940466211588-0.21296877056293573j),(1.3793114172650216-0.4765335264658611j)
(398.10717055349687+0j),(1.2748468224902023+0j),(-0.3705334723999262+0j),(1.1071124309527374-0.2435354160097548j),(1.4572317116936826-0.5310277674314225j)
(316.227766016838+0j),(1.336382570287875+0j),(-0.4093208142165867+0j),(1.1467380560940261-0.27429191496834177j),(1.5476581124571471-0.5824637897137361j)
(251.18864315095797+0j),(1.4063626617394687+0j),(-0.4451351628713528+0j),(1.1934958811217364-0.3036742998517792j),(1.6494166434091408-0.6280676965627106j)
(199.5262314968879+0j),(1.4836935555900268+0j),(-0.4763736678101951+0j),(1.2468383341055884-0.3300553434527903j),(1.7602472430963745-0.6656328739911797j)
(158.48931924611125+0j),(1.5667527773845331+0j),(-0.5019051559549631+0j),(1.3055537792495138-0.35209918647352656j),(1.8772097697248469-0.6939808935253433j)
(125.89254117941664+0j),(1.653668579810429+0j),(-0.5212466208290729+0j),(1.367999439740105-0.36906535717346933j),(1.9972783309752193-0.7131151617216935j)
(100+0j),(1.7426535955313684+0j),(-0.5345690830544066+0j),(1.4324763573343482-0.3809208239017888j),(2.1178963868616965-0.7240389966299807j)
(79.43282347242804+0j),(1.832288209445649+0j),(-0.5425333341522796+0j),(1.497591971644471-0.3882192991629437j),(2.2373311826804754-0.7283477770526361j)
(63.09573444801929+0j),(1.9216722499085208+0j),(-0.546014299066846+0j),(1.5624813895854786-0.3918145762265291j),(2.3547716417567663-0.7277429471788066j)
(50.11872336272725+0j),(2.010412789585407+0j),(-0.5458032310946964+0j),(1.6268354009805892-0.3925221943217829j),(2.47018957403703-0.7235981935945935j)
(39.81071705534969+0j),(2.098468478005893+0j),(-0.5423736258727379+0j),(1.690751244205611-0.39083548049482764j),(2.5840343990700925-0.7166718107068819j)
(31.622776601683796+0j),(2.18590796391031+0j),(-0.5357680235000085+0j),(1.7544643210531663-0.3867728699682676j),(2.696857849858027-0.7070079088343992j)
(25.118864315095767+0j),(2.27265408037137+0j),(-0.5256247800439856+0j),(1.8180461597543598-0.37989611169332027j),(2.8089597468722594-0.6940186964592969j)
(19.95262314968879+0j),(2.358280677713708+0j),(-0.5113295969998889+0j),(1.881163451068989-0.3694900797002174j),(2.9201218253448458-0.6767094284605112j)
(15.848931924611108+0j),(2.4419131118797743+0j),(-0.49225069920162184+0j),(1.942973188534686-0.3548457033419792j),(3.0294736567706395-0.6539944043728658j)
(12.589254117941664+0j),(2.522260484711794+0j),(-0.4679985251527861+0j),(2.0021856559323-0.33555862888723664j),(3.1355167748424146-0.6250426292095136j)
(10+0j),(2.597777917509665+0j),(-0.4386417910835817+0j),(2.0572782382802597-0.3117541173512949j),(3.2363100727042706-0.5895802879676646j)
(7.943282347242805+0j),(2.6669221683089863+0j),(-0.40481724129096186+0j),(2.106799633430205-0.28416874708827267j),(3.3297836771117786-0.5480743773736596j)
(6.30957344480193+0j),(2.7284323895999667+0j),(-0.3676960348949268+0j),(2.1496732651712325-0.2540603330054252j),(3.4141077370881225-0.5017427335208073j)
(5.011872336272715+0j),(2.7815545758345124+0j),(-0.32881352825495336+0j),(2.185404260389233-0.2229742963327484j),(3.48801792334912-0.45238289889891625j)
(3.981071705534969+0j),(2.8261453968504266+0j),(-0.28981598036207096+0j),(2.214128097689568-0.19244760593152874j),(3.551008390638956-0.4020697800010802j)
(3.1622776601683795+0j),(2.8626355405812074+0j),(-0.2522042813303615+0j),(2.236502131709143-0.16375098819079772j),(3.60334710226127-0.3528148031562287j)
(2.5118864315095766+0j),(2.8918830921319456+0j),(-0.21714663371336412+0j),(2.2535007300018366-0.13774235970638132j),(3.6459312272515274-0.3062854927962039j)
(1.9952623149688788+0j),(2.9149783776348874+0j),(-0.18539569382955076+0j),(2.2661975886316945-0.1148475483533468j),(3.680051368054547-0.26364922020347115j)
(1.584893192461111+0j),(2.9330616474029885+0j),(-0.15730316853405363+0j),(2.275599144368492-0.09513430173305402j),(3.7071472826861234-0.22554941515899266j)
(1.2589254117941662+0j),(2.9471917186556387+0j),(-0.13289721729952145+0j),(2.2825530012601263-0.07842614950325319j),(3.728615267869237-0.19217873350588083j)
