freq,Zreal,Zimag,Zlo,Zhi
(1000000+0j),(0.9998487814647559+0j),(0.0006967462337126506+0j),(0.9954241156077088+0.002221164737545984j),(1.0039760138170695+0.00017407026674853918j)
(794328.2347242822+0j),(0.9999290749099401+0j),(8.830126755965829e-05+0j),(0.9949848706113446+0.002383064523266228j),(1.0045865302247672-0.0014213339787514817j)
(630957.344480193+0j),(1.0000368008166116+0j),(-0.0004877281558597647+0j),(0.994492803056079+0.00248229293020904j),(1.0053036947101588-0.002842630806699372j)
(501187.2336272725+0j),(1.0001773100604578+0j),(-0.001050957556099587+0j),(0.9939692610808071+0.002505585164608754j),(1.0061158025174661-0.004125624608904049j)
(398107.17055349686+0j),(1.000355695864929+0j),(-0.0016181218553619919+0j),(0.9934358613804295+0.0024478917942212285j),(1.007010603595629-0.005307301359742391j)
(316227.7660168379+0j),(1.0005765837670966+0j),(-0.002204204396838958+0j),(0.9929107222093944+0.0023099357642658407j),(1.0079791080451925-0.006426045440738248j)
(251188.6431509582+0j),(1.0008440037222412+0j),(-0.0028234749148076293+0j),(0.9924069612719745+0.0020948229827387104j),(1.0090173795-0.007520183547078496j)
(199526.2314968879+0j),(1.0011612486156631+0j),(-0.003490511882721304+0j),(0.9919329322649502+0.0018051248901032046j),(1.0101261542420772-0.008626426776293761j)
(158489.3192461114+0j),(1.0015306737648904+0j),(-0.004221360131316727+0j),(0.9914931360858981+0.0014409355748047166j),(1.0113089134602993-0.009779523677791835j)
(125892.5411794166+0j),(1.001953570852535+0j),(-0.005035038982218226+0j),(0.9910890876354241+0.000998527265922777j),(1.0125695554235694-0.011013696066967754j)
(100000+0j),(1.0024304084644424+0j),(-0.005955466923034536+0j),(0.9907200603309413+0.0004689564055269009j),(1.013910884968939-0.012365806624814506j)
(79432.82347242821+0j),(1.0029617313042856+0j),(-0.007013605493673278+0j),(0.9903841111343693-0.00016351578784744764j),(1.015334748976377-0.013879411845411995j)
(63095.7344480193+0j),(1.0035498110627137+0j),(-0.008249465338964167+0j),(0.9900797828822627-0.0009229948177538918j),(1.0168439888931828-0.015608682090959954j)
(50118.72336272724+0j),(1.0042008419115906+0j),(-0.00971361003626766+0j),(0.9898083660132758-0.001842904609282252j),(1.0184456848422894-0.017621275067929328j)
(39810.71705534969+0j),(1.0049272869882442+0j),(-0.011468062091128519+0j),(0.9895761188223539-0.0029661084907757255j),(1.0201547717940131-0.019999922844008297j)
(31622.776601683792+0j),(1.0057500538618083+0j),(-0.013586804899761828+0j),(0.9893959342655683-0.004344578796766118j),(1.0219973138581437-0.022843138448865728j)
(25118.864315095827+0j),(1.0067004187749995+0j),(-0.016156196925910398+0j),(0.9892884124143654-0.006039168963778841j),(1.0240133081164895-0.02626567116157137j)
(19952.623149688792+0j),(1.0078218268035755+0j),(-0.01927554659384379+0j),(0.9892826293163943-0.008119856387666161j),(1.0262592607151189-0.030399081918819775j)
(15848.93192461114+0j),(1.0091717783674485+0j),(-0.02305796377818535+0j),(0.9894169913990573-0.010666571635599222j),(1.0288107542575318-0.035392553291380455j)
(12589.254117941662+0j),(1.010824034681189+0j),(-0.027631519097556345+0j),(0.9897405712032661-0.013770527820223952j),(1.0317652153774888-0.041414104291220985j)
(10000+0j),(1.0128714173507152+0j),(-0.03314068463549255+0j),(0.9903151981880366-0.01753573515469571j),(1.0352453711045633-0.048652393716561756j)
(7943.282347242814+0j),(1.0154295537992242+0j),(-0.039747951282708145+0j),(0.9912183262067803-0.022080349255590968j),(1.0394041828543878-0.05731894163978133j)
(6309.57344480193+0j),(1.0186420199276678+0j),(-0.04763539873580098+0j),(0.992546511385366-0.02753772032612431j),(1.0444320397757234-0.06765010336158225j)
