,Freq,Zreal,Zimag,Zmod,Zphz
0,1000020.0,1743.0377023109243,-3064.0712769966945,3525.1543543784715,-60.36604080244731
1,857753.9,1892.3565475339626,-3418.203248584313,3907.061139990902,-61.030583025417144
2,735644.5,2055.221005437446,-3817.9625236807565,4335.985610379956,-61.706282779480695
3,630996.1,2232.680492856277,-4269.017405003502,4817.610589016487,-62.39059732778581
4,541230.5,2426.30882187851,-4778.89434867272,5359.552751387148,-63.082483368634115
5,464238.3,2637.6854180570044,-5355.8043866883,5970.094219784156,-63.7801691128355
6,398144.5,2868.8079864770184,-6009.861714545525,6659.4667272413335,-64.48251982720441
7,341543.0,3121.0647326060857,-6750.255346214946,7436.867102767197,-65.18595036996312
8,292910.2,3397.5059493946187,-7591.97664863279,8317.521031506767,-65.89087797131155
9,251191.4,3700.277876842987,-8548.516147548507,9314.997836325632,-66.59432896678294
10,215449.2,4031.7202230223434,-9635.018624638296,10444.536938220583,-67.29339757349716
11,184863.3,4394.302918276893,-10868.15809003946,11722.91595157395,-67.98512713908003
12,158496.1,4794.41667425978,-12279.786117440242,13182.548248972895,-68.67275482138615
13,135996.1,5231.960430154066,-13880.664311608776,14833.956035874835,-69.34735199501799
14,116660.2,5714.201552925793,-15709.550010313182,16716.520598318013,-70.01161753714182
15,100019.5,6247.534713482978,-17805.05461802501,18869.331200310957,-70.66476991129059
16,85839.84,6832.195754219225,-20182.986245530054,21308.022728803968,-71.2983907861278
17,73652.34,7479.345383711572,-22904.735035158985,24094.96823819627,-71.9159935047028
18,63105.47,8202.898648199447,-26048.278579132773,27309.345711106656,-72.52019341723813
19,54199.22,8993.317594057691,-29590.105211534134,30926.591919855106,-73.09440513336894
20,46464.84,9882.92009555367,-33694.13083357689,35113.62359890097,-73.65291135172342
21,39902.34,10863.853976334285,-38343.56785362068,39852.88595527716,-74.18102310312888
22,34160.16,11983.944677639985,-43785.50088268616,45395.87004986738,-74.69319824723608
23,29355.47,13210.420981740666,-49875.637061329435,51595.488124333824,-75.1648820907063
24,25136.72,14624.689894957864,-57029.25385163392,58874.590014689566,-75.61690452507439
25,21621.09,16177.727834851037,-65000.577927050326,66983.53535570555,-76.02385018286677
26,18574.22,17954.30149749964,-74212.99159116286,76353.9459567947,-76.39978899900063
27,15878.91,20051.342782224536,-85147.12120759547,87476.21732397453,-76.74881597893837
28,13652.34,22374.60798011879,-97260.24316466201,99800.69129376399,-77.04457674137439
