,Freq,Zreal,Zimag,Zmod,Zphz
0,1000020.0,617.5302201045329,-2242.2950914128546,2325.775322277828,-74.60239284861886
1,857753.9,687.2070018246687,-2552.105230006006,2643.008620564992,-74.92938197324342
2,735644.5,765.2090855394687,-2906.464731061212,3005.508638732365,-75.24998559417709
3,630996.1,852.4554484592587,-3311.3176820649414,3419.284293995428,-75.5634240278181
4,541230.5,950.1882369846473,-3774.4070455412975,3892.1724308072194,-75.8696934135002
5,464238.3,1059.7369713160342,-4304.258522559508,4432.796394760337,-76.16849772700957
6,398144.5,1182.7438118429225,-4911.31654552609,5051.723778554311,-76.45984507101079
7,341543.0,1320.6267324382059,-5605.331197216409,5758.80133334342,-76.74277119138095
8,292910.2,1475.828972588736,-6401.668917451276,6569.5841637803915,-77.0179538221459
9,251191.4,1650.447822441777,-7314.510941837422,7498.4030521746545,-77.28470720047608
10,215449.2,1846.8274738864575,-8359.782767007011,8561.351507200789,-77.54241538402715
11,184863.3,2067.536732874618,-9555.040763901014,9776.170627684232,-77.79046911549338
12,158496.1,2317.7826894631635,-10932.832956793125,11175.82001719413,-78.03040277569536
13,135996.1,2598.9701261332348,-12505.370827936438,12772.585692049071,-78.25944573949269
14,116660.2,2917.4101396867773,-14312.455371127495,14606.76763263055,-78.47882762047246
15,100019.5,3279.3126388038354,-16394.152488355514,16718.91525172826,-78.68844731321154
16,85839.84,3686.980690008678,-18767.98778300929,19126.714093949402,-78.88574941952044
17,73652.34,4150.617900657345,-21497.055628424383,21894.086636551652,-79.07189352966074
18,63105.47,4683.285530235461,-24661.631376663725,25102.374897928636,-79.24746938006699
19,54199.22,5281.1042559746165,-28239.783902146686,28729.348356731247,-79.40750333287228
20,46464.84,5972.225485569074,-32398.838236169475,32944.68388532447,-79.55565161170945
21,39902.34,6754.845736955713,-37123.435411488616,37732.97493812323,-79.68748920108006
22,34160.16,7672.438290357502,-42666.312381813,43350.66921723116,-79.8057794236223
23,29355.47,8703.619553386094,-48881.616392576725,49650.43216812026,-79.9040019054479
24,25136.72,9923.36000460327,-56193.988328779895,57063.45063239701,-79.98532228377594
25,21621.09,11296.296628731685,-64352.44964287734,65336.39179326755,-80.04385124242788
26,18574.22,12904.467264573228,-73789.750217574,74909.62897087666,-80.08033861062844
27,15878.91,14847.201161668752,-84997.55176372774,86284.5477948551,-80.0916572691147
28,13652.34,17047.059541504525,-97417.33086915092,98897.61671891404,-80.07430996286611
29,11660.16,19761.229309728697,-112335.04834300591,114059.93718241807,-80.02298895251273
30,10019.53,22861.38491300223,-128833.52841773038,130846.17290812364,-79.93766172477675
31,8613.280999999999,26541.471472792455,-147702.16854710886,150067.9189615809,-79.81290500031365
32,7349.536999999999,31183.04286859449,-170469.42840537723,173298.03283188367,-79.6338039594143
33,6307.871,36593.55402750083,-195692.6131880578,199084.62284348943,-79.40829505981135
34,5381.944,43437.207965032714,-225806.87907353663,229946.81487841552,-79.1113389687533
35,4630.335,51365.664385344564,-258535.36044302772,263588.6266081185,-78.76283758517867
36,3993.0559999999996,60894.27585473421,-295272.8163785117,301486.5650803876,-78.34722825064797
37,3414.3520000000003,73312.69022940398,-339623.5147156879,347446.2293600401,-77.81877967061922
38,2915.3959999999997,88936.41852011981,-390824.40037731756,400815.9159383217,-77.18002555739147
39,2519.531,106864.43706925034,-444541.8213937235,457206.12296662974,-76.48301489564712
40,2141.2039999999997,131881.78613323442,-512473.38248415187,529170.8356177993,-75.5684347324504
41,1841.5179999999998,161044.849228135,-583669.4258964881,605479.5142605973,-74.57486542737311
42,1580.6689999999999,197989.06623657764,-664448.3451085221,693319.0273363956,-73.40725340426056
43,1362.645,242774.56583040097,-751633.3885183042,789868.4957318198,-72.0997517643801
44,1171.875,299356.84871393343,-849048.0586928976,900276.1403270192,-70.57839985879768
45,1000.702,373197.4343467011,-960091.5478509637,1030073.8348573949,-68.75838525198265
46,857.4695,462804.9934376151,-1076479.3540172372,1171749.2315236053,-66.73593955692468
47,734.1868,573172.1544547786,-1198965.3246268497,1328925.9453784097,-64.44960470359992
48,628.811,706400.0621478007,-1323381.7420137762,1500113.4233443262,-61.90741163798041
49,542.7632,856134.4923867284,-1439329.850281274,1674704.9551980777,-59.255197870897405
50,463.5989,1042336.9295931393,-1555413.6339524204,1872372.2513108144,-56.17258135933595
51,400.1524,1239189.942927294,-1650271.7167597697,2063731.6816362992,-53.097094018759876
52,341.7969,1471240.562103006,-1730945.4911760085,2271722.0527607957,-49.63667612954455
53,292.9687,1713623.38305479,-1783529.0808946937,2473354.2167164846,-46.14515113347894
54,252.0161,1957813.5917179028,-1806537.6115401613,2663946.734044167,-42.69872325901707
55,215.0229,2214457.8321076585,-1799826.9319800648,2853629.351416144,-39.10289613408258
56,184.5472,2452672.8855670914,-1765597.1307230822,3022075.0340806535,-35.748850711911366
57,158.0056,2679088.6521415105,-1707638.8313259296,3177034.2120105666,-32.513249832983966
58,136.5291,2873790.895137117,-1637308.121743256,3307484.2394937305,-29.671812300844344
