EXPLAIN
TAG	EISPOT
PDAC_COM3_02210
1e6 to 0.1 Hz; 15pts/dec; 30 mV; 1000 Ohm guess; 20s dwell; 1e9 max; 4min T dwell

Contact Size, 0.000000_mm^2
DC offset,0.000000_Volts
Amplitude,0.030000_Volts

Contact X position (mm), -7.000000
Contact Y position (mm), 34.500000
 Substrate Temp (C),2071.976333







ZCURVE	TABLE
	Pt	Time	Freq	Zreal	Zimag	Zsig	Zmod	Zphz	Idc	Vdc	IERange
	#	s	Hz	ohm	ohm	V	ohm	°	A	V	#
	1.000000E+0	0.000000E+0	8.583984E+4	4.069608E+3	-2.825817E+3	1.000000E+0	4.954488E+3	-3.477499E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	7.365234E+4	4.352298E+3	-2.877166E+3	1.000000E+0	5.217334E+3	-3.346743E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	6.310547E+4	4.632021E+3	-2.921679E+3	1.000000E+0	5.476480E+3	-3.224196E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	5.419922E+4	4.897576E+3	-2.968834E+3	1.000000E+0	5.727148E+3	-3.122359E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	4.646484E+4	5.153417E+3	-3.022695E+3	1.000000E+0	5.974479E+3	-3.039341E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	3.990234E+4	5.388431E+3	-3.073960E+3	1.000000E+0	6.203581E+3	-2.970363E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	3.416016E+4	5.628428E+3	-3.150567E+3	1.000000E+0	6.450215E+3	-2.923834E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	2.935547E+4	5.840120E+3	-3.244006E+3	1.000000E+0	6.680612E+3	-2.905082E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	2.513672E+4	6.070780E+3	-3.379515E+3	1.000000E+0	6.948057E+3	-2.910405E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	2.162109E+4	6.266519E+3	-3.523609E+3	1.000000E+0	7.189234E+3	-2.934867E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	1.857422E+4	6.460550E+3	-3.713868E+3	1.000000E+0	7.451948E+3	-2.989258E+1	0.000000E+0	0.000000E+0	8.000000E+0	
	1.000000E+0	0.000000E+0	1.587891E+4	6.583093E+3	-4.011742E+3	1.000000E+0	7.709163E+3	-3.135817E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	1.365234E+4	6.761946E+3	-4.287833E+3	1.000000E+0	8.006836E+3	-3.237929E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	1.166016E+4	6.980779E+3	-4.657274E+3	1.000000E+0	8.391751E+3	-3.370950E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	1.001953E+4	7.171565E+3	-5.074143E+3	1.000000E+0	8.785116E+3	-3.528080E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	8.613281E+3	7.378297E+3	-5.563709E+3	1.000000E+0	9.240895E+3	-3.701863E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	7.349537E+3	7.600846E+3	-6.169953E+3	1.000000E+0	9.789851E+3	-3.906781E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	6.307871E+3	7.824105E+3	-6.846714E+3	1.000000E+0	1.039683E+4	-4.118850E+1	0.000000E+0	0.000000E+0	7.000000E+0	
	1.000000E+0	0.000000E+0	5.381944E+3	8.073809E+3	-7.674483E+3	1.000000E+0	1.113930E+4	-4.354747E+1	0.000000E+0	0.000000E+0	7.000000E+0	
