EXPLAIN
TAG	EISPOT
PDAC_COM3_02109


Contact Size, 0.000000_mm^2
DC offset,0.000000_Volts
Amplitude,0.030000_Volts

Contact X position (mm), -10.500000
Contact Y position (mm), 0.000000
 Substrate Temp (C),2064.618820







ZCURVE	TABLE
	Pt	Time	Freq	Zreal	Zimag	Zsig	Zmod	Zphz	Idc	Vdc	IERange
	#	s	Hz	ohm	ohm	V	ohm	°	A	V	#
	1.000000E+0	0.000000E+0	1.580056E+2	2.650632E+6	-1.682858E+6	1.000000E+0	3.139724E+6	-3.241102E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.365291E+2	2.829834E+6	-1.617011E+6	1.000000E+0	3.259246E+6	-2.974431E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	1.162190E+2	3.032317E+6	-1.556302E+6	1.000000E+0	3.408376E+6	-2.716865E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	9.973404E+1	3.190564E+6	-1.457564E+6	1.000000E+0	3.507734E+6	-2.455261E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	8.600917E+1	3.374738E+6	-1.461516E+6	1.000000E+0	3.677620E+6	-2.341625E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	7.381890E+1	3.467908E+6	-1.477200E+6	1.000000E+0	3.769418E+6	-2.307220E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	6.291946E+1	3.215024E+6	-8.407429E+5	1.000000E+0	3.323135E+6	-1.465492E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	5.387931E+1	3.312733E+6	-1.305788E+6	1.000000E+0	3.560798E+6	-2.151299E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	4.641089E+1	3.855146E+6	-1.007794E+6	1.000000E+0	3.984695E+6	-1.465015E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	3.972458E+1	3.923759E+6	-9.918988E+5	1.000000E+0	4.047190E+6	-1.418676E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	3.421533E+1	3.949470E+6	-9.632491E+5	1.000000E+0	4.065239E+6	-1.370646E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	2.929688E+1	3.996331E+6	-9.468489E+5	1.000000E+0	4.106968E+6	-1.332928E+1	0.000000E+0	0.000000E+0	5.000000E+0	
	1.000000E+0	0.000000E+0	2.520161E+1	4.075486E+6	-8.807388E+5	1.000000E+0	4.169566E+6	-1.219446E+1	0.000000E+0	0.000000E+0	5.000000E+0	
