,Freq,Zreal,Zimag,Zmod,Zphz
0,1000020.0,1475.9295305475755,-2174.9578143318836,2628.461427007387,-55.83912761660102
1,857753.9,1582.903226245439,-2411.5804333934066,2884.666845648584,-56.72007106443335
2,735644.5,1696.5576715359591,-2679.0120693170475,3171.027215334792,-57.65484577370611
3,630996.1,1816.9043039266032,-2981.459975341244,3491.453112128076,-58.64183390043951
4,541230.5,1944.1819419835747,-3324.531036605841,3851.2790131189577,-59.6809529643382
5,464238.3,2078.4700664758325,-3714.4899140583157,4256.462514680119,-60.77048531681875
6,398144.5,2219.927686340996,-4159.135982259495,4714.497963888513,-61.90904932832967
7,341543.0,2368.143986317037,-4665.939609416677,5232.504025670023,-63.090452434671334
8,292910.2,2523.4574972865685,-5246.716506490627,5822.0161318990695,-64.31433583494409
9,251191.4,2685.393953064374,-5912.73639638412,6493.9812423720605,-65.57382422086451
10,215449.2,2853.3270382758797,-6676.958905802095,7261.078116721105,-66.861076657652
11,184863.3,3026.429537235148,-7554.049912936349,8137.748203955626,-68.16714955005227
12,158496.1,3205.307577623904,-8570.375242055712,9150.154559176293,-69.49427805783935
13,135996.1,3387.24221125358,-9738.148788983035,10310.429265266786,-70.82067693126855
14,116660.2,3572.3557226442003,-11091.008780305108,11652.132902345124,-72.1465227051363
15,100019.5,3759.727204525125,-12664.271986297408,13210.576580731198,-73.46507292295442
16,85839.84,3946.0194935404347,-14477.639496180185,15005.769397960157,-74.75382402405485
17,73652.34,4131.230564681975,-16587.259753092098,17093.982920756396,-76.01443276277709
18,63105.47,4315.17410236744,-19065.66356130426,19547.896423057588,-77.24698431311398
19,54199.22,4491.894930934637,-21907.539401333477,22363.304824903116,-78.41274202577685
20,46464.84,4665.2552980448045,-25260.52459224204,25687.715150849832,-79.53620016289288
21,39902.34,4830.889756018259,-29130.07866375053,29527.935566021137,-80.58384968535904
22,34160.16,4994.811934969961,-33746.04628001526,34113.68912619464,-81.58067738199041
23,29355.47,5152.493946474307,-39012.16406070719,39350.94838206556,-82.47626043087095
24,25136.72,5317.4147947299525,-45319.47795129734,45630.36249995543,-83.30798165682202
25,21621.09,5490.813835396108,-52486.301886069436,52772.72896345794,-84.02777013012695
26,18574.22,5694.787826878489,-60930.968223052885,61196.51539909641,-84.66047904839589
27,15878.91,5962.158691791245,-71153.39184111674,71402.74859388538,-85.21020195780143
28,13652.34,6312.00252704095,-82700.44920440995,82940.9770530379,-85.63543716740284
29,11660.16,6832.144071714742,-96839.73274195043,97080.44102778404,-85.96440982612228
30,10019.53,7561.064698408889,-112778.98349535778,113032.15833389942,-86.16444701138626
31,8613.280999999999,8620.887177644097,-131346.6256038044,131629.2359365336,-86.24479887799808
32,7349.536999999999,10254.044252436608,-154164.88426409347,154505.52405558922,-86.19466288457629
33,6307.871,12549.924592969248,-179893.50833899842,180330.73767331656,-86.00933580402243
34,5381.944,15998.235632840013,-211124.6874681256,211729.96292890995,-85.66662256424266
35,4630.335,20653.113894188242,-245582.37340255175,246449.29141621946,-85.19282152374319
36,3993.0559999999996,27034.178671550744,-284764.7833578502,286045.1514311835,-84.57687166662485
37,3414.3520000000003,36394.54154089754,-332599.7827384294,334585.08354620734,-83.75528703470457
38,2915.3959999999997,49475.34529725244,-388320.1745590319,391459.27982593456,-82.73914242564543
39,2519.531,65825.99820613909,-447112.44447514525,451932.0745912758,-81.62481092347187
40,2141.2039999999997,90344.63017272297,-521625.2874908612,529391.2473312811,-80.17394554947413
41,1841.5179999999998,120619.76200744166,-599569.975818255,611582.6051233265,-78.62523212775031
42,1580.6689999999999,160609.49604228785,-687438.6703751017,705951.3692500677,-76.84960578995432
43,1362.645,210481.88923364252,-781216.4059525077,809074.5939805036,-74.92095406174965
44,1171.875,274502.3926567292,-884301.6845702935,925927.1207325812,-72.75476189584268
45,1000.702,358420.09832181915,-999212.4038239623,1061550.9384088377,-70.26695723466713
46,857.4695,459576.4416820842,-1116320.0720094198,1207220.3646891823,-67.62358492581626
47,734.1868,582149.2473045285,-1235596.5020484433,1365868.391175218,-64.77260845758295
48,628.811,726591.6358637736,-1352411.8283802741,1535237.1669713024,-61.7528092619906
49,542.7632,884361.0725861522,-1457275.2065219197,1704624.7488081455,-58.74813883883097
50,463.5989,1074498.0388143111,-1558424.3719792648,1892942.8302499698,-55.41462306625415
51,400.1524,1269426.6780122602,-1638339.6273801748,2072583.1287293285,-52.23057665273051
52,341.7969,1493068.8245089846,-1704606.0479154394,2266039.7819346716,-48.78479877724219
53,292.9687,1721842.5784417535,-1747418.319234656,2453204.566955601,-45.42238260616388
54,252.0161,1949722.4846510263,-1767010.6524371586,2631300.897461209,-42.185647787743605
55,215.0229,2189042.2569195437,-1764117.785056897,2811408.4658998703,-38.8648431173274
56,184.5472,2413493.694459817,-1740112.4178686023,2975389.5610521003,-35.79134538760675
57,158.0056,2631234.8454783335,-1697177.7674512656,3131103.5093701794,-32.82249727521932
58,136.5291,2823739.164432488,-1642860.8633624427,3266878.4313343945,-30.190987435348728
59,116.219,3019943.879423534,-1571286.3743331735,3404262.314368967,-27.488103082618416
60,99.73404000000001,3189740.398294823,-1495757.9608442583,3523029.3336762027,-25.123186538620605
61,86.00917,3338642.450668874,-1418939.6291230535,3627660.8282065364,-23.025733122973154
62,73.8189,3477014.175080666,-1338712.224893151,3725825.8138015866,-21.057592024936625
63,62.91946,3606149.5665500243,-1256505.3817649907,3818785.2087716735,-19.21007760310761
64,53.87931,3717836.300091897,-1180390.0800960073,3900721.407056657,-17.614322071718142
65,46.41089,3814050.882067494,-1112047.791638922,3972862.2455213363,-16.254892197216723
66,39.724579999999996,3904229.4646571353,-1046946.7602517722,4042165.908457819,-15.011112438478666
67,34.21533,3982516.0843622196,-991038.0603934119,4103972.563182181,-13.974062514841483
68,29.296879999999998,4056774.3995072446,-940162.1998891357,4164291.475220934,-13.048021421819323
69,25.201610000000002,4123176.0130290138,-898055.8104017975,4219844.152692639,-12.287504122002256
70,21.50229,4188435.7200043635,-861457.1743004951,4276108.305897112,-11.622244819681438
71,18.38235,4249256.491273047,-833109.6520879973,4330156.165893825,-11.09271157704743
72,15.782829999999999,4305944.018497528,-812848.9393949541,4381994.67009148,-10.69013755052482
73,13.62645,4359071.885388693,-800003.1547045637,4431874.631521449,-10.399539095833655
74,11.71875,4412821.887379171,-793478.0540771632,4483592.803994889,-10.19353636014971
75,9.973403999999999,4470163.593136817,-793799.5430381538,4540096.944332074,-10.069462504447609
76,8.585165,4523984.58144127,-800721.5372487109,4594299.889355535,-10.037102640767761
77,7.358713000000001,4580473.554674329,-814382.2611413643,4652306.57333893,-10.081517719600509
78,6.2751,4640665.400779477,-835383.6540615978,4715256.219068594,-10.204737682940623
79,5.387931,4700547.094321053,-861988.832148963,4778929.559292502,-10.391474202180206
80,4.650298,4761002.6280439235,-893729.1526095812,4844161.209380359,-10.631758986065613
81,3.9859690000000003,4827563.576374338,-933362.8667324965,4916964.137039368,-10.942573351553193
82,3.40414,4899701.259516246,-980798.6152929552,4996902.8764091125,-11.319583561289221
83,2.929687,4972612.480375321,-1032490.2471583465,5078672.1680436805,-11.729956899632029
84,2.5161029999999998,5051349.634484107,-1091598.8549705504,5167951.353290367,-12.194131093042069
85,2.1433470000000003,5140170.360523138,-1161390.2637988906,5269741.803926206,-12.731849946791876
86,1.84402,5229576.690513448,-1234113.2100043963,5373221.359395958,-13.278142121114255
87,1.587906,5324914.5974013535,-1313626.343629679,5484553.732100352,-13.85784663964234
88,1.362645,5429804.669626332,-1402725.7219410983,5608067.242935938,-14.48499255361211
89,1.171875,5541217.460137048,-1498556.0428935927,5740275.35526133,-15.132965588619934
90,0.997765,5669689.209874689,-1609879.9463567156,5893817.877933706,-15.851630729132074
91,0.8616728000000001,5796378.533598883,-1719938.3868577762,6046171.694498335,-16.527011652537205
92,0.7325363,5948387.907274295,-1851730.194658555,6229945.698737452,-17.2913393061959
93,0.6290258000000001,6103379.101550721,-1985251.1394628913,6418135.129769768,-18.018195063948742
94,0.5425346999999999,6266514.581610657,-2124353.4201397845,6616803.038869949,-18.72669968135348
