tau,ftp,ftp_lo,ftp_hi
9.02012364055679,8.7710251681473e-18,3.83360035645972e-77,7.63250283513529e-11
88.0611885969421,1.37084950296677e-16,1.83788693374346e-66,8.42267335585529e-11
163.738803980715,1.53090539271262e-15,3.23535917373126e-57,9.28742847609812e-11
236.052969791877,1.2570142424538e-14,4.01614343382888e-49,1.02937199499335e-10
305.003686030425,7.79879844237046e-14,3.88290857045128e-42,1.13692753259462e-10
370.590952696362,3.75250680473898e-13,4.44977097720767e-36,1.25047787779666e-10
432.814769789687,1.43542490939691e-12,7.39468139645705e-31,1.38982764232243e-10
491.675137310399,4.46901519122917e-12,1.91257312142486e-26,1.5578384467415e-10
547.172055258501,1.15789978197878e-11,8.54314598847112e-23,1.76334570596588e-10
599.305523633989,2.54953858847561e-11,9.63263059420129e-20,1.999448739973e-10
648.075542436865,4.86559136610884e-11,3.03011213444622e-17,2.2211450136358e-10
693.482111667129,8.19772433200397e-11,2.93293253895535e-15,2.51549756726435e-10
735.525231324781,1.24046094352812e-10,1.22005056480441e-13,2.86358855947869e-10
774.204901409821,1.71278053834477e-10,1.13290408507578e-12,3.36177074480201e-10
809.521121922247,2.18974820271624e-10,1.66663661987796e-12,4.11792941838829e-10
841.473892862064,2.62696161798419e-10,1.66765469712404e-12,5.24117854928288e-10
870.063214229267,2.99310452356786e-10,1.66765583200625e-12,7.12022451758775e-10
895.289086023858,3.27407349883363e-10,1.66765656173715e-12,9.9023550279924e-10
917.151508245837,3.47129394665071e-10,1.66765698817988e-12,1.34265585410674e-09
935.650480895204,3.59680657708836e-10,1.66765719961606e-12,1.66399692367763e-09
950.786003971958,3.6677528670271e-10,1.66765727074563e-12,1.86720546655344e-09
962.558077476101,3.70188701435824e-10,1.66765726268678e-12,1.96787760683074e-09
970.966701407631,3.71464616371383e-10,1.66765722297591e-12,2.00203910459828e-09
976.01187576655,3.71759682246304e-10,1.66765718556756e-12,2.00989422788639e-09
977.693600552856,3.71779361636084e-10,1.66765717083447e-12,2.00447786585375e-09
979.375325339162,3.71759682246304e-10,1.66765715496956e-12,1.99728698096351e-09
984.42049969808,3.71464616371383e-10,1.66765710058394e-12,1.9825715543934e-09
992.82912362961,3.70188701435824e-10,1.66765698730486e-12,1.90676537953957e-09
1004.60119713375,3.6677528670271e-10,1.66765678117779e-12,1.75821101605673e-09
1019.73672021051,3.59680657708836e-10,1.6676564346664e-12,1.54480925362466e-09
1038.23569285987,3.47129394665071e-10,1.66765588665263e-12,1.45316357591535e-09
1060.09811508185,3.27407349883363e-10,1.66765506243673e-12,1.23037650775545e-09
1085.32398687644,2.99310452356786e-10,1.66765387373743e-12,8.58531408224553e-10
1113.91330824365,2.62696161798419e-10,1.66765221869215e-12,5.88584689147089e-10
1145.86607918346,2.18974820271624e-10,1.47170681120666e-12,4.34282335028715e-10
1181.18229969589,1.71278053834477e-10,1.03245986719774e-12,3.42485301964431e-10
1219.86196978093,1.24046094352812e-10,8.22182504928093e-14,2.91045204822671e-10
1261.90508943858,8.19772433200397e-11,2.00600902415747e-15,2.5398010440458e-10
1307.31165866885,4.86559136610884e-11,2.25258424185947e-17,2.23067405582276e-10
1356.08167747172,2.54953858847561e-11,8.57403195791422e-20,2.0142880444924e-10
1408.21514584721,1.15789978197878e-11,7.75224678074984e-23,1.79921255894182e-10
1463.71206379531,4.46901519122917e-12,1.35928812868376e-26,1.58845172340652e-10
1522.57243131602,1.43542490939691e-12,5.25997247749258e-31,1.41932722155095e-10
1584.79624840935,3.75250680473899e-13,3.78039670453301e-36,1.27466310682207e-10
1650.38351507529,7.79879844237049e-14,3.64003383127255e-42,1.16385927948023e-10
1719.33423131383,1.25701424245379e-14,2.6977601584451e-49,1.04782909591473e-10
1791.648397125,1.53090539271262e-15,1.88227902336148e-57,9.49707396610838e-11
1867.32601250877,1.37084950296678e-16,9.04380981425174e-67,8.59899766585734e-11
1946.36707746515,8.77102516814724e-18,1.95097679734547e-77,7.75954019452386e-11
