tau,gamma,gamma_lo,gamma_hi
-23.8528277746746,6.53169732990366e-09,2.15798999885226e-09,2.9271891982441e-08
-22.4541687892858,1.0208583223253e-07,3.96426531834556e-08,3.67515208663747e-07
-21.1150272075307,1.14005039025882e-06,5.11056985026376e-07,3.37936343336824e-06
-19.8354030294091,9.36086308462916e-06,4.75911918636317e-06,2.33833883656037e-05
-18.6152962549211,5.80768952157141e-05,3.29315875235518e-05,0.000124916753880945
-17.4547068840666,0.000279445540368188,0.000174462094390475,0.000527474639583302
-16.3536349168456,0.00106894700086301,0.000725533822549595,0.00180105873499087
-15.3120803532583,0.00332803224620281,0.00242746823192988,0.00507976068534664
-14.3300431933045,0.00862276731540199,0.00669044160474064,0.0120999094145514
-13.4075234369843,0.0189861664646781,0.0155374112272279,0.0248052242871442
-12.5445210842976,0.0362335867531532,0.0309987426527811,0.0445491435387054
-11.7410361352445,0.0610476576045981,0.0542218638771545,0.071357154209274
-10.997068589825,0.0923759227383895,0.0846775176631908,0.103552733492625
-10.312618448039,0.127549104631981,0.119962160676629,0.13819723356411
-9.68768570988662,0.163068423754897,0.156618226754625,0.17195013329141
-9.12227037536776,0.195627282524048,0.190953006420268,0.201726317974242
-8.61637244448247,0.22289358940285,0.220123027858758,0.226211119708009
-8.16999191723075,0.243817076342483,0.240856709820868,0.246292462181682
-7.78312879361259,0.258503891711425,0.253238089258001,0.261831043079561
-7.455783073628,0.267850695504396,0.260451621395648,0.272397486148527
-7.18795475727697,0.273133996870834,0.264081273337807,0.27881603086161
-6.9796438445595,0.27567593369928,0.265431902988077,0.282234898942889
-6.83085033547559,0.276626095170489,0.265617405916024,0.283769075678581
-6.74157423002524,0.276845827864264,0.26541538340808,0.284311515596941
-6.71181552820846,0.276860482914867,0.265295204670862,0.284427063618221
-6.68205682639168,0.276845827864264,0.265134874913841,0.284518255858577
-6.59278072094134,0.276626095170489,0.264526241484614,0.284592220536209
-6.44398721185743,0.27567593369928,0.263016354775521,0.284097704108261
-6.23567629913996,0.273133996870834,0.259817215638571,0.282071590040539
-5.96784798278893,0.267850695504396,0.254008337834642,0.277258800925278
-5.64050226280433,0.258503891711425,0.244442374208215,0.268200860711902
-5.25363913918617,0.243817076342483,0.229995012902264,0.253462134062154
-4.80725861193445,0.22289358940285,0.209973095360682,0.23197145981726
-4.30136068104917,0.195627282524048,0.184369396357807,0.203544505782273
-3.73594534653031,0.163068423754897,0.154145341976043,0.169312891555935
-3.11101260837792,0.127549104631981,0.121313026172052,0.131859425044527
-2.42656246659194,0.0923759227383895,0.0887648352235844,0.0947995217700279
-1.6825949211724,0.0610476576045981,0.059540364410521,0.0619796182464573
-0.879109972119301,0.0362335867531533,0.0358280291188721,0.0365799551828247
-0.0161076194326428,0.0189861664646781,0.0184970536493747,0.0196394674030191
0.906412136887575,0.00862276731540199,0.00816756139477897,0.00927932356063374
1.88844929684138,0.00332803224620281,0.00304148525143063,0.00376468420462669
2.93000386042872,0.00106894700086301,0.000934152191919571,0.00128727295280539
4.03107582764965,0.000279445540368189,0.000231300625033949,0.000363133878397932
5.19166519850413,5.80768952157141e-05,4.50075479751876e-05,8.26576922655447e-05
6.41177197299215,9.36086308462919e-06,6.7105458932815e-06,1.4831546962007e-05
7.69139615111375,1.14005039025882e-06,7.45359455022473e-07,2.0509359812032e-06
9.03053773286891,1.02085832232531e-07,5.99394020515971e-08,2.12616922050252e-07
10.4291967182576,6.53169732990366e-09,3.39082778267632e-09,1.61230672534033e-08
