tau,gamma,gamma_lo,gamma_hi
-20.1648802970504,1.29245679451112e-09,1.94306515907712e-11,2.13550906462241e-08
-19.1447602419872,2.02001900621138e-08,5.63520249791176e-10,2.02308935769383e-07
-18.1680495509693,2.25586979701153e-07,1.08581513517422e-08,1.48229900765136e-06
-17.2347482239966,1.85227674908134e-06,1.4259669587607e-07,8.47426508589163e-06
-16.3448562610692,1.14919406142732e-05,1.3426883365841e-06,3.88285188471072e-05
-15.498373662187,5.52951658814879e-05,9.27635007367653e-06,0.000143478482329378
-14.6953004273501,0.000211517427164381,4.83088620453674e-05,0.000441872718644433
-13.9356365565584,0.000658532946599403,0.000195684213330385,0.00114674285398668
-13.2193820498119,0.00170622636680626,0.000636643411629243,0.00255508376225944
-12.5465369071107,0.00375687950766607,0.00170399051007646,0.00499795550492842
-11.9171011284547,0.00716970536497772,0.00385455480460715,0.00869020053330446
-11.331074713844,0.0120797789418106,0.0075073214001863,0.0136689519420704
-10.7884576632785,0.0182788459051617,0.0129671518062243,0.0197426434434372
-10.2892499767582,0.0252387241155041,0.0200479092338492,0.0266249072857214
-9.83345165428321,0.0322670940809729,0.0282807795438725,0.0338037569622609
-9.42106269585342,0.038709664235145,0.036170363702687,0.0410858178878884
-9.05208310146888,0.04410497332907,0.0414522660065667,0.0484676257250941
-8.72651287112958,0.048245210153372,0.045321375753236,0.0557648105142419
-8.72651286071224,0.0482452102734948,0.0453213758635671,0.0557648107608927
-8.44435200483552,0.0511515138474666,0.0479690693327621,0.0623672996312467
-8.43928788654074,0.051196880526362,0.0480082780856201,0.0624831630902493
-8.2056005025867,0.053002224792584,0.0496609854716473,0.067659895788432
-8.16428525169569,0.0532602825295062,0.0498823256664886,0.0685408130995416
-8.01025836438311,0.0540531721072682,0.0505410217740837,0.071725444687296
-7.90150495617709,0.0544506545234004,0.0508579441523275,0.0738190150553025
-7.85832559022477,0.0545715971573935,0.0509554181938574,0.0746185674550738
-7.74980218011167,0.0547869455280062,0.0511004273696521,0.0765212704454544
-7.68468813404381,0.0548597113025821,0.0511291359181324,0.0775592921599091
-7.66298345202119,0.0548755563215637,0.0511270031783912,0.0778943502404906
-7.65094699998493,0.0548826795110746,0.0511313581343549,0.0780785712351997
