freq,Zreal,Zimag
1000020,464.692758708288,-1171.74299388783
857753.9,464.975669067079,-1366.06476457771
735644.5,465.35487471147,-1592.78629847409
630996.1,465.861848480222,-1856.90103729971
541230.5,466.539703758907,-2164.81776827581
464238.3,467.445686429464,-2523.76468504292
398144.5,468.657745753116,-2942.61267806767
341543,470.274952641765,-3430.12472243977
292910.2,472.439387995117,-3999.44096663558
251191.4,475.331481135612,-4663.41520032782
215449.2,479.188226496987,-5436.6979153944
184863.3,484.319341876623,-6335.72701832361
158496.1,491.200048042424,-7389.08770547154
135996.1,500.334909509113,-8610.7364588863
116660.2,512.544153737392,-10036.8082100745
100019.5,528.910743215605,-11705.1922472099
85839.84,550.62157486738,-13636.789215533
73652.34,579.642004636607,-15890.7235169349
63105.47,618.795835836191,-18543.0882662326
54199.22,670.275020221518,-21585.6745428992
46464.84,739.866604472989,-25172.7651462332
39902.34,831.851793166339,-29304.9959356008
34160.16,957.604873251503,-34220.5250211167
29355.47,1121.90880499346,-39807.8766733603
25136.72,1347.27015985479,-46470.2313383462
21621.09,1640.2724280509,-54002.0073140498
18574.22,2034.79857821791,-62827.1749266327
15878.91,2582.18894816184,-73444.5888966204
13652.34,3290.6571717333,-85360.5347593606
11660.16,4285.99625840049,-99853.8403816163
10019.53,5573.85785128939,-116081.284238576
8613.281,7292.06946545897,-134859.461985195
7349.537,9720.12407620775,-157783.758383615
6307.871,12871.1920836327,-183468.448205604
5381.944,17279.1501690997,-214463.116087977
4630.335,22879.9840059469,-248480.940492146
3993.056,30187.3690556047,-286993.443865745
3414.352,40466.4210885397,-333836.072575666
2915.396,54338.16938063,-388239.816758347
2519.531,71221.9042870684,-445531.043138909
2141.204,96012.6287272419,-518066.223708058
1841.518,126138.698243729,-593935.406235541
1580.669,165485.92477484,-679538.852916815
1362.645,214176.217823771,-771065.01674803
1171.875,276367.317645502,-871959.397159001
1000.702,357661.239379382,-984890.086795708
857.4695,455586.783052883,-1100623.21057183
734.1868,574388.961687435,-1219356.49138514
628.811,714809.840696275,-1336728.11563572
542.7632,868891.784275696,-1443303.58326173
463.5989,1055746.31268465,-1547593.74162249
400.1524,1248769.45798733,-1631476.77559742
341.7969,1472145.15412686,-1702623.35191745
292.9687,1702768.4154788,-1750101.31535056
252.0161,1934479.57793228,-1773279.18569108
215.0229,2179593.71690644,-1772188.32551293
184.5472,2410535.46035439,-1747284.6359903
158.0056,2634701.04746761,-1700438.57220673
136.5291,2832039.32699086,-1639784.78643539
116.219,3031131.75601718,-1558835.02922955
99.73404,3200557.33764415,-1473020.87851521
86.00917,3345898.27660782,-1386023.99501056
73.8189,3477382.33879163,-1296149.00523913
62.91946,3596329.07618988,-1205845.37269948
53.87931,3695981.92813394,-1124596.60980649
46.41089,3779495.97849409,-1054282.505058
39.72458,3856190.8229575,-990363.936752076
34.21533,3922130.14663648,-938583.295328039
29.29688,3984916.63351561,-894779.856727035
25.20161,4042086.51268421,-861792.520915109
21.50229,4100084.59138642,-836632.542034783
18.38235,4156501.74994274,-820789.276224818
15.78283,4211659.81669063,-813238.551100514
13.62645,4265867.28011019,-812628.152163326
11.71875,4323215.9129797,-818170.229268877
9.973404,4386970.08753914,-830357.164695487
8.585165,4448853.47088566,-846966.12635791
7.358713,4515430.40532879,-868930.248891935
6.2751,4587604.27498551,-896481.691314762
5.387931,4660084.49959935,-927217.900757563
4.650298,4733433.00075659,-960805.754415498
3.985969,4813893.19156405,-999973.759052761
3.40414,4900256.1111798,-1044263.66144633
2.929687,4986250.0334216,-1090379.31594644
2.516103,5077316.73071661,-1141248.90105809
2.143347,5177535.4677919,-1199621.47088104
1.84402,5275592.97456324,-1259256.54449672
1.587906,5377041.89008469,-1323766.62693511
1.362645,5485102.32410349,-1395884.68813868
1.171875,5596134.28141104,-1473922.76871789
0.997765,5719958.03060371,-1565930.77013153
0.8616728,5838374.81864974,-1658952.00094857
0.7325363,5976722.46477507,-1773711.93769922
0.6290258,6114894.6070178,-1894285.41394926
0.5425347,6258661.9175832,-2024926.14871075
0.4650298,6421143.16321064,-2176934.94782019
0.3985969,6600050.04808398,-2346610.78658966
0.3426535,6795946.78137582,-2531192.46091999
0.2929687,7025943.92233281,-2741340.51834415
0.2514753,7283435.71309685,-2963239.826168
0.2162131,7577793.80647755,-3195580.27031801
0.1848383,7932718.01271617,-3443091.7104229
0.1587906,8331004.07375595,-3678565.61192323
0.1359484,8797178.19917279,-3900258.47873539
0.1167206,9311308.82675457,-4081987.29594264
0.1001603,9875120.88936528,-4210709.01476171
