tau,ftp,ftp_lo,ftp_hi
-18.4206807439524,5.95095684576062e-12,2.95733772047703e-66,1.22088869732846e-12
-18.3205683486048,5.9509572330917e-12,3.04136801679563e-66,1.22088871611659e-12
-18.2204559532572,5.95095762038361e-12,3.12777668064581e-66,1.22088873490287e-12
-18.1203435579097,5.95095800763633e-12,3.21663076388128e-66,1.22088875368729e-12
-18.0202311625621,5.95095839484987e-12,3.30799920118712e-66,1.22088877246986e-12
-17.9201187672145,5.95095878202422e-12,3.40195286273824e-66,1.22088879125056e-12
-17.820006371867,5.95095916915939e-12,3.4985646083222e-66,1.22088881002942e-12
-17.7198939765194,5.95095955625538e-12,3.59790934297248e-66,1.22088882880641e-12
-17.6197815811718,5.95095994331218e-12,3.70006407414814e-66,1.22088884758155e-12
-17.5196691858243,5.9509603303298e-12,3.8051079705074e-66,1.22088886635484e-12
-17.4195567904767,5.95096071730823e-12,3.91312242231597e-66,1.22088888512627e-12
-17.3194443951291,5.95096110424749e-12,4.02419110353933e-66,1.22088890389584e-12
-17.2193319997816,5.95096149114755e-12,4.13840003566077e-66,1.22088892266356e-12
-17.119219604434,5.95096187800844e-12,4.25583765327689e-66,1.22088894142942e-12
-17.0191072090864,5.95096226483014e-12,4.37659487151905e-66,1.22088896019342e-12
-16.9189948137389,5.95096265161265e-12,4.50076515534927e-66,1.22088897895557e-12
-16.8188824183913,5.95096303835599e-12,4.62844459078581e-66,1.22088899771586e-12
-16.7187700230437,5.95096342506014e-12,4.75973195810808e-66,1.2208890164743e-12
-16.6186576276962,5.9509638117251e-12,4.89472880710088e-66,1.22088903523088e-12
-16.5185452323486,5.95096419835088e-12,5.03353953438811e-66,1.22088905398561e-12
-16.418432837001,5.95096458493748e-12,5.17627146291953e-66,1.22088907273847e-12
-16.3183204416535,5.9509649714849e-12,5.32303492366577e-66,1.22088909148949e-12
-16.2182080463059,5.95096535799313e-12,5.47394333958708e-66,1.22088911023864e-12
-16.1180956509583,5.95096574446217e-12,5.62911331193451e-66,1.22088912898594e-12
-16.0179832556108,5.95096613089204e-12,5.78866470895119e-66,1.22088914773139e-12
-15.9178708602632,5.95096651728272e-12,5.95272075703736e-66,1.22088916647498e-12
-15.8177584649156,5.95096690363421e-12,6.12140813445161e-66,1.22088918521671e-12
-15.7176460695681,5.95096728994652e-12,6.29485706761398e-66,1.22088920395659e-12
-15.6175336742205,5.95096767621965e-12,6.47320143008417e-66,1.22088922269461e-12
-15.5174212788729,5.9509680624536e-12,6.6565788442924e-66,1.22088924143078e-12
-15.4173088835253,5.95096844864835e-12,6.84513078609283e-66,1.22088926016508e-12
-15.3171964881778,5.95096883480393e-12,7.0390026922241e-66,1.22088927889754e-12
-15.2170840928302,5.95096922092032e-12,7.23834407075176e-66,1.22088929762814e-12
-15.1169716974826,5.95096960699753e-12,7.44330861457854e-66,1.22088931635688e-12
-15.0168593021351,5.95096999303556e-12,7.65405431810787e-66,1.22088933508376e-12
-14.9167469067875,5.9509703790344e-12,7.87074359714365e-66,1.22088935380879e-12
-14.8166345114399,5.95097076499406e-12,8.09354341211977e-66,1.22088937253196e-12
-14.7165221160924,5.95097115091453e-12,8.32262539475144e-66,1.22088939125328e-12
-14.6164097207448,5.95097153679582e-12,8.55816597819837e-66,1.22088940997274e-12
-14.5162973253972,5.95097192263792e-12,8.80034653084434e-66,1.22088942869035e-12
-14.4161849300497,5.95097230844084e-12,9.0493534937824e-66,1.2208894474061e-12
-14.3160725347021,5.95097269420458e-12,9.30537852212407e-66,1.22088946611999e-12
