freq,Zreal,Zimag
1000000,1.00245769558151,-0.00611564661814927
794328.234724282,1.00291435380455,-0.007308820330241
630957.344480193,1.00346160623069,-0.00872916889935259
501187.233627272,1.0041162129802,-0.0104213144038092
398107.170553497,1.00489951683833,-0.012439147192738
316227.766016838,1.00583877781179,-0.0148466010352194
251188.643150958,1.00696804706614,-0.0177187596010065
199526.231496888,1.00832907015699,-0.0211438293004704
158489.319246111,1.00997291374186,-0.0252261734949579
125892.541179417,1.0119634189523,-0.0300901260170543
100000,1.01438320939803,-0.0358830657376985
79432.8234724282,1.01734130534577,-0.0427761726425607
63095.7344480193,1.02098084980353,-0.0509628069642837
50118.7233627273,1.02548631251853,-0.0606553602457169
39810.7170553497,1.03109065997861,-0.0720817257344508
31622.7766016838,1.03808495025367,-0.0854816744439158
25118.8643150958,1.04683326033684,-0.101099968288671
19952.6231496888,1.05779258859382,-0.119170533345757
15848.9319246111,1.07153396942254,-0.139886826095664
12589.2541179417,1.08875937365394,-0.16335477674928
10000,1.11030659870022,-0.189524869246298
7943.28234724281,1.13712866044647,-0.218101518345158
6309.57344480193,1.17022664932239,-0.248436491303785
5011.87233627272,1.21051376176513,-0.279431601029146
3981.07170553497,1.25860364289898,-0.309498218728419
3162.27766016838,1.31455188315849,-0.336631412833857
2511.88643150958,1.37762355830645,-0.358637265054527
1995.26231496888,1.44618676868576,-0.373498612735529
1584.89319246111,1.51781604289276,-0.379793889049849
1258.92541179417,1.58962110756481,-0.377033346070483
1000,1.65872148807156,-0.365785949859048
794.328234724281,1.72271879697348,-0.347546154377963
630.957344480193,1.78001979856281,-0.324394377989235
501.187233627272,1.82993362210205,-0.298579186938888
398.107170553497,1.87256148461708,-0.272155769600076
316.227766016838,1.90856367104486,-0.246763357668575
251.188643150958,1.93890238506702,-0.22355448532604
199.526231496888,1.96463170055343,-0.203237625432334
158.489319246111,1.98676303021655,-0.186176434465007
125.892541179417,2.00619988594081,-0.172498478339803
100,2.02371992861833,-0.162187756407113
79.4328234724281,2.03998289119394,-0.155154267287464
63.0957344480193,2.05555120893822,-0.151283235029343
50.1187233627273,2.07091726155333,-0.15046761718932
39.8107170553497,2.08653380699187,-0.152625820366872
31.6227766016838,2.10284451032996,-0.15770626356111
25.1188643150958,2.12031312857731,-0.165681106922512
19.9526231496888,2.13945235862763,-0.176529365333644
15.8489319246111,2.16085229540646,-0.19020533285487
12.5892541179417,2.18520325698101,-0.206585838586951
10,2.21330040373999,-0.22539173985182
7.94328234724281,2.24601069390471,-0.246086664926008
6.30957344480193,2.28417968027662,-0.267769729041124
5.01187233627271,2.3284611496104,-0.289098374654861
3.98107170553497,2.37907470125031,-0.308298106599525
3.16227766016838,2.43554099375663,-0.323322109992411
2.51188643150958,2.49650118127532,-0.332190062158625
1.99526231496888,2.55975408987469,-0.333445544089751
1.58489319246111,2.62258209507289,-0.326562356554974
1.25892541179417,2.6822840838632,-0.312101137184643
1,2.73669982167676,-0.291531361582067
0.79432823472428,2.7845166355363,-0.266816451634107
0.630957344480193,2.82529030507448,-0.239962552896482
0.501187233627271,2.85925975117678,-0.212692026209385
0.398107170553497,2.88708779678782,-0.186291437952125
0.316227766016838,2.90962568472972,-0.161600134355305
0.251188643150958,2.92774461905368,-0.139081759753514
0.199526231496888,2.94224286971774,-0.118926371277704
0.158489319246111,2.95381235276631,-0.101142194415313
0.125892541179417,2.96303368002241,-0.0856212127000658
0.1,2.97037979191906,-0.0721870288191067
0.0794328234724281,2.97622658680694,-0.0606329395569721
0.0630957344480193,2.98087039755897,-0.0507489191644977
0.0501187233627271,2.98454761560912,-0.0423361296825778
0.0398107170553497,2.98745094814697,-0.0352107980959828
0.0316227766016838,2.98973849690389,-0.0292029889715211
0.0251188643150958,2.99153776024826,-0.0241567717991446
0.0199526231496888,2.99294994471273,-0.0199323197622208
0.0158489319246111,2.99405540003513,-0.0164065850857288
0.0125892541179417,2.99491797986598,-0.0134723405899844
0.01,2.99558838604191,-0.0110370779973789
