freq,Zreal,Zimag,sigma_im
0.031622776601683784,2.998480574077475,-0.007850479556054779,5.377920064830732e-07
0.039810717055349686,2.9975003765081,-0.00967469198121762,5.205153010834351e-07
0.05011872336272714,2.9963330721253825,-0.011545666627000628,4.901171983817676e-07
0.0630957344480193,2.995126173669506,-0.013488838931664304,4.5629840306204983e-07
0.07943282347242805,2.9940091575559906,-0.015666199619374765,4.478759865200743e-07
0.1,2.9930216715813494,-0.01833985574290864,4.447331694024115e-07
0.12589254117941662,2.9920767928830148,-0.021807041366173507,4.426235165055914e-07
0.1584893192461111,2.990967529320936,-0.02632955599995057,4.2597276328493194e-07
0.1995262314968879,2.989412024469495,-0.032081380818908656,4.1371297632153414e-07
0.2511886431509577,2.987121298674014,-0.03913257848444118,4.114206406669041e-07
0.31622776601683794,2.983865979394352,-0.047476696023409204,4.061646650121986e-07
0.3981071705534969,2.9795175406702117,-0.05709546985491443,4.1022538921353657e-07
0.5011872336272715,2.9740456975079126,-0.06804204268695457,4.107304945044632e-07
0.6309573444801929,2.9674655460374577,-0.08051621838637857,4.0044117222137743e-07
0.7943282347242805,2.95974291095424,-0.09490400196534665,4.033847749163044e-07
1.0,2.9506802672255015,-0.1117608431327426,3.9962844056162794e-07
1.2589254117941662,2.939814626502514,-0.13173127919992567,3.9947053620537076e-07
1.584893192461111,2.9263600272213264,-0.1554147208211134,4.019820201150992e-07
1.9952623149688788,2.9092197230026478,-0.18320305712563822,4.0260696687610675e-07
2.5118864315095766,2.8870780911266536,-0.2151266857514429,3.950615354852971e-07
3.1622776601683795,2.8585630506566218,-0.2507479462396418,3.9307845556280085e-07
3.981071705534969,2.8224511067354063,-0.2891332626355734,3.85227574728475e-07
5.011872336272715,2.777873925245674,-0.32891929302280687,3.9628471881769656e-07
6.30957344480193,2.7244813869394373,-0.36846682971741984,4.001141737930425e-07
7.943282347242805,2.6625229946500477,-0.40607555147724383,3.9019589825883827e-07
10.0,2.5928262100174595,-0.4402162687662212,3.902635592467618e-07
12.589254117941664,2.5166730982175105,-0.4697317974200246,3.9174178212419974e-07
15.848931924611108,2.4356001399759215,-0.49396232089122805,3.953730036698744e-07
19.95262314968879,2.3511644017504536,-0.5127685263167905,3.930084044867499e-07
25.118864315095767,2.264727697476658,-0.526448212004766,3.943017925500669e-07
31.622776601683796,2.1773065402531016,-0.5355675912508104,3.9505515392335155e-07
39.81071705534969,2.0895202197613303,-0.5407485973406665,3.9804254292619135e-07
50.11872336272725,2.0016458502870558,-0.5424640648759578,3.902823277890377e-07
63.09573444801929,1.9137634022847465,-0.5408906831266904,3.9913462668295097e-07
79.43282347242804,1.825951911946198,-0.5358554591789471,4.026361262177147e-07
100.0,1.738485665038131,-0.5268887007429157,4.0050158611748543e-07
125.89254117941664,1.651979247805806,-0.5133702678336931,4.000086848421347e-07
158.48931924611125,1.5674429023933447,-0.49473341027112383,3.964903294573219e-07
199.5262314968879,1.4862314660691245,-0.47067640983323145,4.048760509078875e-07
251.18864315095797,1.4098958741928524,-0.44133048036985656,4.0058223449435104e-07
316.227766016838,1.3399694394687325,-0.40734314817984796,4.0377910126565553e-07
398.10717055349687,1.2777362790588898,-0.36985630916615264,4.05664340341616e-07
501.187233627272,1.2240328600228487,-0.33038320885975736,4.01205738853605e-07
630.957344480193,1.1791251300423218,-0.2906109618768369,4.076850310674729e-07
794.3282347242813,1.1426855477569342,-0.25217205865283177,4.022104387324532e-07
1000.0,1.1138712587200386,-0.2164326201970539,4.060467819755331e-07
1258.9254117941662,1.0914824201422832,-0.18433971857754727,4.060699145824742e-07
1584.8931924611124,1.0741635290827365,-0.15635403371763346,4.031599978304712e-07
1995.2623149688789,1.0606040551524636,-0.13247392478588438,4.052208129046164e-07
2511.8864315095802,1.0496986680473908,-0.11233608716884191,4.0838967851897223e-07
3162.2776601683795,1.0406401837353283,-0.09536259650084844,4.0587023608651407e-07
3981.0717055349687,1.0329362715315127,-0.08091761631158079,4.0186490135596387e-07
5011.8723362727205,1.0263592243158535,-0.06843863143612339,4.1050714605361804e-07
6309.57344480193,1.0208522293837572,-0.05751782227491731,4.0592142491746586e-07
7943.282347242814,1.0164225056960827,-0.0479242272191982,4.0778386489748186e-07
10000.0,1.013050373579499,-0.03957312701089677,4.094202825655202e-07
12589.254117941662,1.010634935479196,-0.03246114952935386,4.0996007300009296e-07
15848.93192461114,1.0089844101499548,-0.02659168538218637,4.086899103583619e-07
19952.623149688792,1.0078459504419772,-0.02191423621775357,4.0920173605130117e-07
25118.864315095827,1.0069594797787313,-0.01829409127128656,4.1900235281389087e-07
31622.776601683792,1.0061151303204399,-0.015518002929297836,4.22563778190721e-07
39810.71705534969,1.0051950731898667,-0.013330250588722947,4.184943733775981e-07
50118.72336272724,1.004187022690133,-0.011484907672894451,4.2310498393760554e-07
63095.7344480193,1.003166266677419,-0.009796408332448436,4.3320830611648375e-07
79432.82347242821,1.0022528655611964,-0.008171987711136808,4.500805195206681e-07
100000.0,1.001557953815967,-0.006616017411573694,4.5221350353230605e-07
125892.5411794166,1.001135986846321,-0.005205093258709326,4.538165216949608e-07
158489.3192461114,1.000957683976504,-0.004041812889056473,4.658560825987479e-07
199526.2314968879,1.0009120493757637,-0.003216886968232302,4.979748018385521e-07
251188.6431509582,1.0008370136559865,-0.0027000894825164323,5.300771612759547e-07
316227.7660168379,1.0005693251523191,-0.0024197578003253284,5.395445841216429e-07
398107.17055349686,0.999997750692777,-0.0022453808553137833,5.496748105571214e-07
501187.2336272725,0.9991013992197162,-0.002025942043218265,6.431396366579634e-07
630957.344480193,0.9979583261463468,-0.0016620724294966749,8.009080993964801e-07
794328.2347242822,0.9967188592333713,-0.0011946469151382644,8.042884598324918e-07
1000000.0,0.9955520407217608,-0.0008877319955331586,1.9595260303262307e-06
