tau,gamma,gamma_lo,gamma_hi,ftp,ftp_lo,ftp_hi
1e-07,4.071745387338274e-05,2.308555173670144e-06,0.0001270970760638954,0.0001098257321100557,3.244130898974732e-06,0.0006782371190048708
1.1097524964120721e-07,0.0002081423755330483,1.1794213353262994e-05,0.0006490278501361231,0.0005609580620565134,1.6812740512045422e-05,0.0034546068254257306
1.2315506032928263e-07,0.0007176170479293691,4.060902245208525e-05,0.0022320645978025954,0.0019302947843442208,5.9852383292250236e-05,0.011808014948206567
1.3667163564620074e-07,0.0017035868203958656,9.613876503022585e-05,0.005268022676502579,0.004562649267497242,0.00015228294649517139,0.027478010162378642
1.5167168884709241e-07,0.002909423689080303,0.00016351216396985068,0.00888485391639742,0.007726810060531063,0.0002956506227120908,0.04499921836522873
1.6831803533309585e-07,0.0038610469561662867,0.00021701088061723415,0.01152046910562689,0.010133905534903058,0.0004696091918050148,0.05555312795225604
1.867913599020781e-07,0.004388636954706193,0.0002525082811272415,0.012649028886361083,0.011456087023308848,0.0006303603687750102,0.058049393409850616
2.0729217795953698e-07,0.0046174178835454716,0.0002841687971704003,0.01276304119291076,0.01225784908926431,0.0007206322707588755,0.05848228609858801
2.300430119772917e-07,0.004688280796075978,0.0003159047804240925,0.012416937292517331,0.012949032666491746,0.0007363353090721003,0.060567801252685405
2.5529080682395163e-07,0.00467047450088122,0.0003329190611936511,0.011941697008936448,0.013471905794864904,0.0007401519331779461,0.06303444566430223
2.833096101839324e-07,0.004581896760808917,0.00032251966252874953,0.011456539569753102,0.013694172408517707,0.000776703198650848,0.06371878224942834
3.1440354715915e-07,0.004439104589947572,0.00028910192947447226,0.010984702611360501,0.013717427148607386,0.0008318860910917214,0.06227107766404933
3.489101213406774e-07,0.004255365247032088,0.00024375930757099235,0.010521865007416815,0.013679900466472949,0.0008889398268092628,0.05921586932394985
3.872038781812557e-07,0.0040667809569589685,0.00019944611028529916,0.010139630615817352,0.013653896292618126,0.0009833378597316254,0.0555706031051951
4.2970047043208437e-07,0.003905235119481304,0.00016728391122551706,0.00990150588942735,0.013631908293436381,0.0011527745389913072,0.052228217298429816
4.768611697714474e-07,0.003776831137773549,0.00015166016809602055,0.009765419937202723,0.013608731992832556,0.0013516400705563657,0.049553161625779524
5.291978735958437e-07,0.0036694437948124577,0.0001550204097548963,0.009619657654916512,0.013566668238858865,0.0014739844469063886,0.047545539224922516
5.872786613189477e-07,0.0035813467115891826,0.00018425791414330574,0.009437642322681608,0.013473823093683997,0.001467737157901691,0.04616466983828242
6.517339604882421e-07,0.0035246041317964025,0.00024673682054333917,0.00928139096404579,0.013297890669737508,0.0013551569583208994,0.045397466827225154
7.232633896483533e-07,0.003492510879928005,0.00032928369976396394,0.009142346909764256,0.013052952140072302,0.0012082125760399783,0.0449225358244674
8.026433522257174e-07,0.0034578671969231946,0.0003905705356710078,0.008918919833570085,0.012849161350298276,0.0011441526763191422,0.04411148069645586
8.907354638610439e-07,0.0034011746720070514,0.0004045131520927599,0.008558682421809386,0.01274767390548414,0.001236901148980622,0.042552548718061876
9.884959046625586e-07,0.0033457861101269435,0.00039078205899842084,0.008208920984450922,0.012726445902115741,0.001453787906889173,0.04067142598523248
1.096985797892384e-06,0.0033127811542172127,0.00037504845524697933,0.008025509099791004,0.012719644055676506,0.0017030882338140451,0.03907956836743032
1.217382727739662e-06,0.003292978608472344,0.0003525422387791558,0.008008412475417856,0.012731775741145148,0.001876648790315902,0.0381718473653951
