tau,gamma,gamma_lo,gamma_hi
1e-07,0.0005861784212241514,3.2811690447811034e-05,0.0020043164576177513
1.1097524964120721e-07,0.002996189337458608,0.0001699294276811805,0.010226881971550616
1.2315506032928263e-07,0.010327806539185842,0.0006041702565217744,0.03510306990482946
1.3667163564620074e-07,0.024506741760224326,0.001535694785620459,0.08248020470741152
1.5167168884709241e-07,0.04182447761022539,0.0029993428279124147,0.1378173487776202
1.6831803533309585e-07,0.05549965828846454,0.0049338747569940625,0.17587370398749932
1.867913599020781e-07,0.06330812641096507,0.007332679211145271,0.1895045860066591
2.0729217795953698e-07,0.06737613444538909,0.010117956335082352,0.1889439092328306
2.300430119772917e-07,0.06974673315502025,0.012869798162312375,0.18336137103622827
2.5529080682395163e-07,0.07105011698323596,0.01476870161109117,0.17568646734637944
2.833096101839324e-07,0.07147949625887519,0.015527691389422024,0.16654710881042148
3.1440354715915e-07,0.07181420467579326,0.01598730123573395,0.15812435333310942
3.489101213406774e-07,0.07254586348010801,0.016944524176741218,0.1522653045110469
3.872038781812557e-07,0.0733493939176937,0.018145853036658954,0.14904040379475383
4.2970047043208437e-07,0.0734437960474037,0.018803555945362985,0.1472959265603364
4.768611697714474e-07,0.07271518538800105,0.018597496388319288,0.14612191646817468
5.291978735958437e-07,0.07143674212988275,0.017575977238981667,0.144847682701599
5.872786613189477e-07,0.06971790787834635,0.01582726570855214,0.14323745806152888
6.517339604882421e-07,0.06753858236661293,0.013496096306345545,0.14153592924485978
7.232633896483533e-07,0.06517266753737286,0.010998244826279716,0.14028871041076274
8.026433522257174e-07,0.06352229492486894,0.009173364743791176,0.14047435981523176
8.907354638610439e-07,0.06297576810704765,0.008429467643701989,0.14190576174520783
9.884959046625586e-07,0.0629263624311355,0.00821180232976126,0.1427700604094178
1.096985797892384e-06,0.06258672380608533,0.007904370591698935,0.14143205913729542
1.217382727739662e-06,0.062217490474989395,0.007781099340587252,0.13946084750925244
1.3509935211980278e-06,0.06240554161646071,0.008432298581938398,0.1393964473320576
1.499268432786047e-06,0.0630495743318287,0.009630803615443002,0.14139108004809767
1.6638168860761274e-06,0.06338665893909846,0.010468757994724194,0.14331249613319078
1.8464249428955464e-06,0.06293697622455019,0.010451699057556059,0.14327456636136587
2.049074689815846e-06,0.06178119165133902,0.009699022686572481,0.14048291428656248
2.2739657523579273e-06,0.06027260953411566,0.008468812642387781,0.1354639621113843
2.523539170434766e-06,0.05911879940182468,0.007025814664534172,0.13072847807869367
2.800503894183631e-06,0.05868502354100046,0.005562190089849836,0.12838460281986241
3.107866187782014e-06,0.05879645935006861,0.004282444515448113,0.12909677293183675
3.4489622604057595e-06,0.059155152086944995,0.0035405886446274893,0.13236821185115433
3.827494478516315e-06,0.060141721442395636,0.003939261642419866,0.13717983295285188
4.247571552536894e-06,0.062258966347066264,0.005904200188866678,0.14207081471246683
4.713753134116729e-06,0.06516472930123604,0.008606154144788913,0.14602316464303355
5.2310993080562585e-06,0.0677019663936742,0.010268345535210341,0.14835918834360756
5.805225516094895e-06,0.06915063250150012,0.010195699898865877,0.14922660824266828
6.44236350872137e-06,0.06962494365617167,0.009157334189531682,0.14972580155184145
7.149428986597577e-06,0.0696910300820677,0.007884732380239644,0.15050880807740866
7.934096665797492e-06,0.0704507482636792,0.006536894907207487,0.1516950957007865
8.804883581643465e-06,0.07259235355290776,0.005524490455436511,0.15311773818482663
9.771241535346501e-06,0.07587470106714754,0.006314074256019924,0.15533755707946614
1.0843659686896109e-05,0.07949543051149165,0.010295722698150572,0.1587390062539139
1.2033778407775906e-05,0.08297775196130777,0.01670831013000281,0.1631090907685973
1.3354515629298974e-05,0.086029396548421,0.02324475468505082,0.1675837466863713
1.48202070579886e-05,0.08875904359042791,0.0280912704786212,0.17181836151009042
1.6446761779946626e-05,0.09152864932098993,0.030230946099217348,0.17628924164893542
1.8251834943190462e-05,0.09469353019949668,0.030042820874171892,0.18273300765800166
2.0255019392306664e-05,0.09857149030897297,0.029324590369981134,0.1940533416959568
2.2478058335487252e-05,0.1030325688299887,0.029194792270167223,0.21071074262741468
2.4945081352303165e-05,0.10756464382808728,0.029163704894021803,0.22879587364573722
2.7682866303920665e-05,0.11166992827998522,0.028613818227108317,0.24392977292092594
3.072112998861759e-05,0.11587865218061888,0.02842152522200908,0.25623292218244786
3.409285069746814e-05,0.12077442604831021,0.02989881467019589,0.2673143218097455
3.783462617131933e-05,0.1262362195632924,0.03296951126402764,0.2776664182276558
4.1987070844439056e-05,0.13143359682531564,0.036477910488392454,0.28595583173257694
4.659525668664687e-05,0.1360881787896208,0.039809611087671566,0.2909441276346374
5.170920242896755e-05,0.14057855264675417,0.04311785094268287,0.2922626341529066
5.7384416483024044e-05,0.1453526249602316,0.04682648865960455,0.29159351117090826
6.368249944718586e-05,0.1508732793908915,0.051244768876521386,0.2937289494805533
7.067181273927492e-05,0.15703390969971454,0.05574428407560943,0.3016265327702775
