freq,Zreal,Zimag,Zlo,Zhi,sigma_re,sigma_im
(1000000+0j),(0.9999997326088871+0j),(0.0011424138625153932+0j),(0.9942466566303346+0.003642374082633216j),(1.005769199895793-0.0004262855901661592j),0.0029518918263122984,0.001760135302066178
(794328.2347242822+0j),(1.0001364997721536+0j),(0.00043818757370472873+0j),(0.9936245055721198+0.00408094122615865j),(1.0067604415980222-0.0025791809359537853j),0.0034550451285551573,0.0017643641106266479
(630957.344480193+0j),(1.0002886352094944+0j),(-0.00018486741683972595+0j),(0.9928861616893971+0.004480806842042164j),(1.0079023029751273-0.004456432357991504j),0.0029520627197836967,0.0017593046835261866
(501187.2336272725+0j),(1.0004502286254882+0j),(-0.0007561405279731227+0j),(0.9920436252796223+0.004816137883541954j),(1.0091657434303112-0.006103693147737255j),0.002954383693089443,0.0017597598157616696
(398107.17055349686+0j),(1.0006172029719151+0j),(-0.00130625517543748+0j),(0.9911136703632799+0.005065644084442008j),(1.0105221682926995-0.007572518881729797j),0.0032271672040934105,0.0017594943780939601
(316227.7660168379+0j),(1.0007891462977454+0j),(-0.0018667867428922955+0j),(0.9901152474464238+0.005212388952538449j),(1.0119496026876087-0.008918673704649483j),0.003423150012756898,0.0017605287287472944
(251188.6431509582+0j),(1.000969803547409+0j),(-0.0024693710532907357+0j),(0.9890675652969173+0.005242745978794048j),(1.013434621855482-0.010199024194883673j),0.00295340720105693,0.0017599864666667379
(199526.2314968879+0j),(1.0011664237766245+0j),(-0.003145272061620173+0j),(0.9879887273055646+0.005144822277646991j),(1.0149713524378499-0.011469771729831858j),0.002967964360543104,0.001760070064095153
(158489.3192461114+0j),(1.0013887473480545+0j),(-0.003925935115519969+0j),(0.9868949451298712+0.004906452391144656j),(1.0165597635844281-0.012786739553169679j),0.003807186940277831,0.0017589079643490662
(125892.5411794166+0j),(1.0016484074566578+0j),(-0.004844382370436544+0j),(0.9858006463568234+0.00451275776922386j),(1.0182047703095372-0.014207189306363277j),0.0029772690630569905,0.0017612713717134068
(100000+0j),(1.0019590955799762+0j),(-0.00593693508685897+0j),(0.984719784474744+0.003943811660976052j),(1.0199164823699634-0.015791778651506327j),0.00432834300842882,0.001759750778493126
(79432.82347242821+0j),(1.0023374147131836+0j),(-0.007244756360292995+0j),(0.9836682584473039+0.0031731946437082515j),(1.0217112057450768-0.017606233337975376j),0.00294702607269376,0.0017602347010616964
(63095.7344480193+0j),(1.0028041152626759+0j),(-0.00881492806275675+0j),(0.9826667124963697+0.0021680792026850357j),(1.0236126868118265-0.019722357866529754j),0.0030983131087528597,0.001761186195754617
(50118.72336272724+0j),(1.0033852882958947+0j),(-0.010701000743926773+0j),(0.9817425005260719+0.0008909153815465037j),(1.0256531064151622-0.02221848169769987j),0.0029537896586191905,0.0017595491838257903
(39810.71705534969+0j),(1.0041130600954777+0j),(-0.012963220669976782+0j),(0.9809297520937231-0.0006981951161730459j),(1.027873320381078-0.025179909905486568j),0.0031459664579156763,0.0017595844469841812
(31622.776601683792+0j),(1.0050255352338695+0j),(-0.015668997038690267+0j),(0.9802673598797846-0.0026399468013391597j),(1.030322160482311-0.028699837508976873j),0.0029572375255383274,0.0017614543303515774
(25118.864315095827+0j),(1.0061661506386839+0j),(-0.018894288247314463+0j),(0.9797957224097563-0.0049763681441307266j),(1.0330553018435877-0.032881952153608354j),0.0029863955369920595,0.0017597073478928633
(19952.623149688792+0j),(1.007582977301557+0j),(-0.022726368486019846+0j),(0.9795535437219832-0.00775388924675902j),(1.0361347170046462-0.03784489837464428j),0.0029681593146238224,0.0017601072129556
(15848.93192461114+0j),(1.0093286844325837+0j),(-0.027268185378776538+0j),(0.9795758884285659-0.011028707151898656j),(1.0396296281492559-0.04372826144083588j),0.009321388890584642,0.0017870906335357094
(12589.254117941662+0j),(1.0114619360907215+0j),(-0.03264423578901536+0j),(0.9798944089245721-0.014873909125916353j),(1.0436194219772938-0.05069973335678295j),0.0029551346391927325,0.0017616387466963934
(10000+0j),(1.0140510442846775+0j),(-0.03900763676206482+0j),(0.9805403504218632-0.019387398340175298j),(1.0481989949269757-0.058963231155696405j),0.002948293853921217,0.0017634090240408787
(7943.282347242814+0j),(1.017180773472769+0j),(-0.04654777099898886+0j),(0.9815504819587589-0.02469961576318369j),(1.0534877542935224-0.06876787236555201j),0.002948989982621219,0.0017672635322331224
(6309.57344480193+0j),(1.0209631970406396+0j),(-0.055497427825792235+0j),(0.9829756912311143-0.030980406154353282j),(1.0596442083731472-0.08041648519974821j),0.0029520606360922304,0.0017607964668044467
(5011.8723362727205+0j),(1.025553346164604+0j),(-0.06613775227715074+0j),(0.9848922456425842-0.038444947935935336j),(1.0668876232407225-0.09427049324813375j),0.0029516526689595435,0.0017724104254627133
(3981.0717055349687+0j),(1.0311699774523604+0j),(-0.07879864595477375+0j),(0.9874168279599639-0.04735850595781599j),(1.0755264127308752-0.11074672612894526j),0.0029654772015663866,0.001768871855074771
(3162.2776601683795+0j),(1.0381209942331593+0j),(-0.0938515087554182+0j),(0.9907273062355367-0.05803822840343877j),(1.085990550306252-0.13030161510132157j),0.0029594523294097803,0.0017646609873622715
(2511.8864315095802+0j),(1.04683172190576+0j),(-0.11169060160288699+0j),(0.9950903899171133-0.07084779447971572j),(1.0988631979704624-0.15339924284033735j),0.00616159838474938,0.0018220275854502878
(1995.2623149688789+0j),(1.0578721847492705+0j),(-0.13269907971508388+0j),(1.0008948016564492-0.08617900424601323j),(1.1149050997753918-0.18046133179651733j),0.004251549037585756,0.001773417025524498
(1584.8931924611124+0j),(1.071976650689251+0j),(-0.1571965362966442+0j),(1.0086850155564682-0.10441391541065208j),(1.1350637660476188-0.21179935730680094j),0.009733365781168752,0.0017782265332681384
(1258.9254117941662+0j),(1.090045365790426+0j),(-0.18536769545050774+0j),(1.0191856630250062-0.1258622777515278j),(1.1604581871900825-0.24753221799101627j),0.003991241730411256,0.001789249732493127
(1000+0j),(1.1131160930752617+0j),(-0.21717768242007635+0j),(1.0333009333661007-0.15067436244778398j),(1.1923296906608105-0.28749769115899937j),0.0032113207312056066,0.0018059981952265884
(794.3282347242813+0j),(1.1422943945383282+0j),(-0.2522876728104744+0j),(1.0520712478797478-0.17874028650464438j),(1.2319517922561956-0.33117179207438585j),0.00323396921108772,0.001830793579292456
(630.957344480193+0j),(1.178638779805567+0j),(-0.28999298447422206+0j),(1.076576151190049-0.20959929057504095j),(1.2804976872386766-0.3776161914378303j),0.003069590358169281,0.0018723442618114364
(501.187233627272+0j),(1.22300976619237+0j),(-0.3292095102185475+0j),(1.1077863491932889-0.242389099645216j),(1.3388745859149993-0.42547777849915047j),0.003126079864203771,0.0019171764621793087
