freq,Zreal,Zimag,Zlo,Zhi,sigma_re,sigma_im
(1000000+0j),(0.9936120342986243+0j),(0.009430750997709764+0j),(0.9772294145221744+0.007251414208078139j),(1.0104131132967853+0.021504595370548607j),0.0030698144933489946,0.0018304494806939164
(794328.2347242822+0j),(0.9938403592683747+0j),(0.006990197659125601+0j),(0.9760738755511987+0.008117567912958822j),(1.01217693676055+0.01346471354491018j),0.003593067847633029,0.001834847222404102
(630957.344480193+0j),(0.9941137289801288+0j),(0.0050174758799257455+0j),(0.974739046353454+0.008930460950028097j),(1.0142355885053187+0.006888555407355822j),0.0030699922137012925,0.001829585680465947
(501187.2336272725+0j),(0.9944259561443387+0j),(0.0034273536786025892+0j),(0.9732635987650513+0.009664734174625012j),(1.0165259719528696+0.0015446938962066954j),0.0030724059056357824,0.0018300589943998867
(398107.17055349686+0j),(0.9947669641038734+0j),(0.002151711379272481+0j),(0.971689613735214+0.010317406176670211j),(1.0189706428388563-0.002773077699401361j),0.0033560866178361116,0.0018297829529839538
(316227.7660168379+0j),(0.9951238569878845+0j),(0.0011336993025958609+0j),(0.9700531978666427+0.010903127232955678j),(1.0214940155578351-0.006257041129437765j),0.003559898580428933,0.0018308586240497115
(251188.6431509582+0j),(0.9954820765902366+0j),(0.00032328695693093846+0j),(0.9683789169492674+0.011445971058912832j),(1.024034158511235-0.009092105993363644j),0.003071390404536681,0.0018302946995931147
(199526.2314968879+0j),(0.9958265851853734+0j),(-0.00032500297907395864+0j),(0.9666783425468217+0.011976633294423864j),(1.0265479376951137-0.011450034793661124j),0.003086529095858062,0.001830381636585544
(158489.3192461114+0j),(0.996143075540859+0j),(-0.0008546848175487897+0j),(0.9649517171720229+0.012524693434729934j),(1.0290101460847805-0.013487323959944078j),0.0039592770791857,0.0018291731130849684
(125892.5411794166+0j),(0.996419123917472+0j),(-0.0013092883261264492+0j),(0.9631914779338983+0.01311484227427323j),(1.0314087655142856-0.015346226468963973j),0.003096205504179946,0.001831630934240903
(100000+0j),(0.9966451288270091+0j),(-0.001733181918324021+0j),(0.961386564457529+0.013766276733942269j),(1.0337390398021333-0.017156725113762875j),0.004501252376873125,0.0018300495961090318
(79432.82347242821+0j),(0.9968148924589713+0j),(-0.0021723734936715416+0j),(0.9595265160012284+0.014494464222262936j),(1.0359987395887484-0.019044182612010165j),0.003064754361793322,0.001830552850497087
(63095.7344480193+0j),(0.9969257897874308+0j),(-0.002675588433500473+0j),(0.9576042919841887+0.015312839103851372j),(1.0381859945627407-0.02113841997052396j),0.003222085037602748,0.0018315423556587045
(50118.72336272724+0j),(0.9969785936266571+0j),(-0.0032945449865609128+0j),(0.9556170711324008+0.016238431593407023j),(1.0402998553229892-0.023580070945809575j),0.00307178814057743,0.0018298399481043006
(39810.71705534969+0j),(0.9969771313728827+0j),(-0.004085923290891507+0j),(0.9535652288114206+0.01729507020469689j),(1.0423428057461261-0.026531881041948167j),0.0032716420507062356,0.0018298766199612245
(31622.776601683792+0j),(0.9969279711408171+0j),(-0.005113777942313831+0j),(0.9514505741651358+0.0185152130271816j),(1.0443239587848823-0.03018487607960821j),0.0030753737434593377,0.0018318212017412678
(25118.864315095827+0j),(0.9968402485215073+0j),(-0.006452270331673629+0j),(0.9492749405782487+0.019941676324253237j),(1.0462616357432155-0.034765337232846305j),0.0031056965640180183,0.001830004430535906
(19952.623149688792+0j),(0.9967256422460158+0j),(-0.008188482547654863+0j),(0.9470394428858466+0.021630279691931112j),(1.048184545658298-0.040542028651026615j),0.003086731837996914,0.0018304202694748642
(15848.93192461114+0j),(0.9965985067538271+0j),(-0.010426660447838541+0j),(0.9447438508837694+0.023652715650462813j),(1.0501319022998223-0.04783726669403677j),0.009693761288741647,0.0018584816282409924
(12589.254117941662+0j),(0.9964762971830734+0j),(-0.013293601518867122+0j),(0.9423851641520616+0.02610072113442334j),(1.0521540308283666-0.05704266583173735j),0.003073186850659259,0.001832012985180986
(10000+0j),(0.9963806351310514+0j),(-0.01694556581315046+0j),(0.939954832002628+0.029090933526068848j),(1.0543155811878882-0.0686404510649846j),0.0030660727885567125,0.0018338539818601013
(7943.282347242814+0j),(0.9963396152918211+0j),(-0.02157712206786713+0j),(0.9374347907563211+0.032769690645747265j),(1.0567033789980431-0.0832303667387496j),0.0030667967263221328,0.0018378624705885193
(6309.57344480193+0j),(0.9963922160589521+0j),(-0.027432161902973592+0j),(0.9347927279082874+0.03731787043890302j),(1.0594409572772328-0.10156224721923275j),0.003069990046770172,0.0018311370577514282
(5011.8723362727205+0j),(0.9965959894230841+0j),(-0.03481717961859815+0j),(0.9319764014011594+0.04295630024978458j),(1.0627126554769808-0.12457450270840123j),0.0030695657820984214,0.001843214972767319
(3981.0717055349687+0j),(0.9970396769650682+0j),(-0.04411669136300933+0j),(0.9289061486601728+0.04995194161012724j),(1.066801947847087-0.1534382709378927j),0.003083942579439698,0.0018395350429793052
(3162.2776601683795+0j),(0.9978631279214579+0j),(-0.05581022325546653+0j),(0.9254645143895637+0.058624455581436793j),(1.072150806496435-0.18960522124017737j),0.0030776770246852647,0.0018351559588210776
