tau,gamma,gamma_lo,gamma_hi,ftp,ftp_lo,ftp_hi
1.250230145991456e-05,-7526.025848129334,-22917.355476821656,8148.6980235910705,1.4488509950713681e-09,1.9752345048855207e-10,3.731793251537664e-09
1.3607528864243332e-05,-7719.439628932325,-23328.05237511545,7608.058685601105,1.4777050021951158e-09,2.2535966658763297e-10,3.830516767801666e-09
1.481046048880677e-05,-7850.513203084435,-23839.902939802505,7202.620498948288,1.483856028217002e-09,2.3787942856445437e-10,3.8731248322428545e-09
1.6119733573881587e-05,-7922.8447024289935,-24401.332768515993,7192.170896663372,1.4674007287261413e-09,2.391157123836403e-10,3.844467906798553e-09
1.7544748908334598e-05,-7924.308649635835,-24899.159892295254,7635.071126996843,1.4322770756557057e-09,2.3196238567656989e-10,3.747693901844284e-09
1.9095738328781007e-05,-7828.201185476164,-25154.8886043187,8296.145035735792,1.389505265460506e-09,2.1624101662938243e-10,3.618450460967613e-09
2.078383818579755e-05,-7596.674156675316,-24990.385099707564,8856.357263110409,1.349444257847568e-09,1.9188333333397773e-10,3.495419035411487e-09
2.2621169304690265e-05,-7233.8410254332175,-24485.09289479348,9218.520840210364,1.3173077872149066e-09,1.6556358408532181e-10,3.397781240557548e-09
2.4620924014946305e-05,-6796.237968588661,-24004.95283201997,9538.364547631892,1.2937976708694766e-09,1.5124232894503111e-10,3.327133991600281e-09
2.6797460873256894e-05,-6327.9090979325065,-23877.60508109099,10026.706545025167,1.2753301494034436e-09,1.580214652194287e-10,3.27737326507243e-09
2.916640776023707e-05,-5837.64598082757,-24196.394884262903,10826.377355570969,1.2576591417861157e-09,1.780162001077193e-10,3.2519792163804764e-09
3.174477409109193e-05,-5302.675099762928,-24848.320532194797,12001.829088500832,1.2360185345525435e-09,1.910494225207974e-10,3.25802460255347e-09
3.455107294592218e-05,-4680.897271961435,-25668.251646240456,13565.946929726651,1.207343205763272e-09,1.8336463782800602e-10,3.2869268096656337e-09
3.760545399658176e-05,-3938.454268085908,-26539.817497850534,15483.721814604196,1.175090318479598e-09,1.5839624021536856e-10,3.3087008049988685e-09
4.092984818452442e-05,-3044.5761664281986,-27343.49922207276,17691.508309414745,1.1446509876370856e-09,1.283938710614856e-10,3.2848508058026746e-09
4.4548125188449885e-05,-1981.131127760631,-27989.54984256551,20182.259718946436,1.1198950150271698e-09,1.0201438292997233e-10,3.2102740614642075e-09
4.848626481239088e-05,-765.1211915640066,-28417.944550094886,22988.080808261457,1.1038107787822556e-09,8.166071462713818e-11,3.127611960939297e-09
5.277254352483543e-05,584.6431392652331,-28514.404752332215,26098.627635785982,1.0967194871237083e-09,6.666528522175549e-11,3.0812467982076924e-09
5.743773748826587e-05,2064.7919008116664,-28164.769177150578,29428.747637509565,1.0974257575570411e-09,5.6090161695247863e-11,3.0791923298613317e-09
6.251534353689725e-05,3670.6730687205395,-27267.023156101473,32791.6193859075,1.1034005015975005e-09,4.9710998752108844e-11,3.0949312210033207e-09
6.804181968927093e-05,5418.3379828218,-25813.356204100335,36101.620292552085,1.1111746940356852e-09,4.7589623102138436e-11,3.099656038519874e-09
7.405684692262442e-05,7345.196223726514,-24123.641709818086,39604.941524051246,1.1194161834470264e-09,4.958886512374123e-11,3.0926496722010073e-09
8.060361408861346e-05,9481.321878326939,-22743.561748775053,43725.532841177825,1.1269887827407924e-09,5.540318839142258e-11,3.088399192618836e-09
8.772912801613357e-05,11854.700168490408,-22180.58513365124,48892.57579572023,1.132912396994772e-09,6.459502965536205e-11,3.0945651424461268e-09
9.548455102782303e-05,14476.600057327656,-22874.231426407903,55498.04104457483,1.138091109264257e-09,7.636190519568281e-11,3.1072886943677784e-09
0.00010392556829367131,17387.849691561605,-25154.82821792684,63936.86872246957,1.1426175430640047e-09,8.959619480586349e-11,3.1124127932148588e-09
0.00011311278765939226,20801.354058071964,-29097.284126992752,74810.52218487918,1.1470583371233884e-09,1.0309441373296333e-10,3.10034127540349e-09
0.00012311217482038908,25120.381085269884,-34614.505908230916,89034.03932858842,1.1528266978669738e-09,1.1505298739842174e-10,3.0703492937800187e-09
0.00013399552696593398,30891.526871877766,-42086.0437318646,108164.33932078174,1.159612508376335e-09,1.22792126607362e-10,3.02453450143468e-09
0.00014584098829439863,38854.628372981584,-52973.00831681597,134949.30610157654,1.1670831785423789e-09,1.2294457001020615e-10,2.9772161502308833e-09
0.00015873361110102104,50204.74940718475,-69402.57342194993,173625.012852955,1.1739945909683263e-09,1.1197690571572919e-10,2.9505289948103783e-09
0.0001727659664669038,67337.35169143004,-92511.82239640952,230335.8631331547,1.1784240022810587e-09,8.967500261000047e-11,2.959838243696589e-09
0.00018803880893409166,95126.38476697318,-120212.75190664352,313652.4546812519,1.1808580507721501e-09,6.276080603743954e-11,3.0120342483061625e-09
