tau,gamma,gamma_lo,gamma_hi,ftp,ftp_lo,ftp_hi,fbp,fbp_lo,fbp_hi
1e-07,0.0001647104513768776,1.671567975350441e-05,0.0004998107959253242,3.702060640381096e-05,2.079845234683768e-06,0.00014943764769016006,3.1739193072850136e-05,1.3861939217128778e-06,0.00011362779654289653
1.1097524964120721e-07,0.0008424421565106864,8.650243695060187e-05,0.0025484213242363126,0.00018942761741975444,1.0728476066225825e-05,0.0007620505396905971,0.00016239441457101527,7.223747413430758e-06,0.0005797272401954868
1.2315506032928263e-07,0.0029083892406476445,0.0003069853324466601,0.008732239259882256,0.0006546198299614282,3.77912019998666e-05,0.0026120717994564126,0.0005611164527092383,2.604432481308066e-05,0.0019894743028316827
1.3667163564620074e-07,0.006926257640149047,0.0007770159960074213,0.020436576207386602,0.0015625405923414735,9.414991647373852e-05,0.0061185556022526795,0.0013388113771373126,6.805225186087042e-05,0.004672645750827125
1.5167168884709241e-07,0.011913374070759942,0.0015041127917745617,0.03386559135779663,0.0027005651079613333,0.0001771646697614737,0.010163233156563825,0.002311136636111122,0.00013856817480141162,0.007802866919670712
1.6831803533309585e-07,0.016042963814421808,0.002433449494629832,0.04261514378021999,0.003667531962812668,0.00027605082246672956,0.012874149579154285,0.003127508177840658,0.00023616552749153126,0.009960002920910446
1.867913599020781e-07,0.018725154127670667,0.003525840761224356,0.04523313676635501,0.004330182897018493,0.00038648461271395166,0.01390497110525442,0.0036579563233267703,0.0003485264202477995,0.010790047764159592
2.0729217795953698e-07,0.020540644184407358,0.004750607634077199,0.04495873504578726,0.004808763252068336,0.0005080973334168414,0.014339078726263678,0.003985679635364166,0.0004525290272998437,0.010963553887575434
2.300430119772917e-07,0.022027210054764376,0.006101544628342823,0.04434031251338585,0.005218443705476485,0.0006367311431677291,0.014972391517807014,0.00420992354596552,0.0005331988505993382,0.011071843383834558
2.5529080682395163e-07,0.023282475254111465,0.007561803116283593,0.04371151649339735,0.005581142793281455,0.0007596891888162602,0.01579535161424767,0.004380123363017852,0.0005860361433971308,0.011289366145755693
2.833096101839324e-07,0.02423532935915849,0.009083639606637713,0.04276671751127593,0.005877627613513272,0.0008684357898156312,0.016538118883974346,0.00450937975820042,0.0006080360733626369,0.011555352530599416
3.1440354715915e-07,0.024927524075705018,0.010552334080827836,0.041794934984285007,0.006104732452709707,0.0009650492986621574,0.017052981375140337,0.004607054328484274,0.000596607107053649,0.011742857618124922
3.489101213406774e-07,0.02541006486059922,0.011784227659798207,0.041198017594819045,0.00626191084527709,0.001044682598418688,0.017289162078652075,0.004667086394576694,0.0005522507694568135,0.011754260476914897
3.872038781812557e-07,0.02579973387164178,0.012593696862479768,0.04115174802122273,0.006377825805213857,0.0010861303316467296,0.01736518169884882,0.004684195595935771,0.000490497483542474,0.011673413907893112
4.2970047043208437e-07,0.026172155444367583,0.012853154065460832,0.04156577766534682,0.006475424283509134,0.0010677435428711126,0.017410876030833543,0.004654291013698109,0.0004301529102983648,0.011653351481740699
4.768611697714474e-07,0.02659476165125677,0.012776412822671586,0.04226350342999601,0.006569185131454194,0.0010093883434649316,0.01748590351127693,0.0046136961112189364,0.0003781699539936021,0.01182451716953248
5.291978735958437e-07,0.02708935749413155,0.012745093949674902,0.04301590627362128,0.00665357437338433,0.0009524369004013245,0.017568459902395257,0.0046126993183494645,0.00033272302976253623,0.012226192326410928
5.872786613189477e-07,0.02767017339062869,0.012890559606363552,0.04378230963891485,0.006715446531545926,0.0009039667044410913,0.01763571044366574,0.0046567083032553755,0.0002915220727768847,0.012705846562995934
6.517339604882421e-07,0.028351324076301025,0.013077199491884213,0.04470294515722581,0.0067384620615471985,0.0008403422832374188,0.017676985035180916,0.004705826092033522,0.00025714453536886984,0.012951197851221827
7.232633896483533e-07,0.029149357487261218,0.01320895910134472,0.04589537831499479,0.006713899039635886,0.0007653929675979514,0.017656028388608518,0.004730700828787715,0.00023923467070064715,0.012817073639412594
8.026433522257174e-07,0.030126911611280303,0.013370829494337906,0.047456349616888736,0.006660348782755418,0.000731970112289081,0.017545238109567634,0.0047428213713116485,0.00025358091020017114,0.012474911395388876
8.907354638610439e-07,0.03129756532096734,0.0136453661777747,0.04940403561579257,0.0065881945836653915,0.000769033894015899,0.017343209768619104,0.004757125314749466,0.0003008178199701005,0.012148057083278293
9.884959046625586e-07,0.03267868964608316,0.014027180820839863,0.05182769564268837,0.006511446866054724,0.0008318809274113815,0.017176044628696686,0.0047892395008870044,0.00035091611105464925,0.012022508292171644
1.096985797892384e-06,0.03427524833165302,0.014374996955772325,0.05485346767711192,0.00642755402780844,0.0008575172020199691,0.017117025084881655,0.004836671458958231,0.0003764438936198816,0.012165714525335741
1.217382727739662e-06,0.03625168632133869,0.01442988833828137,0.05888994027598945,0.006338472828707036,0.0008298070651983725,0.017092341880456014,0.004887952712078925,0.0003908645661117949,0.01248402373862656
1.3509935211980278e-06,0.03879680635708354,0.013869076411267205,0.06440833452452112,0.006239784187120878,0.0007685871431429808,0.01694330418750109,0.00492305753253429,0.00042076596050785736,0.012797186405334754
1.499268432786047e-06,0.042114876353312646,0.012602279564644167,0.07184582245704871,0.0061402892046501035,0.0007163756292736636,0.01666426804246015,0.004947416170440959,0.000458005624048041,0.01302896161142591
1.6638168860761274e-06,0.04647592671607143,0.01088190161716935,0.08153784591542487,0.0060534127407088825,0.0007175253490677827,0.016364277850106707,0.004979950307106041,0.00046858334048990104,0.013188391851294362
