tau,gamma,gamma_lo,gamma_hi,ftp,ftp_lo,ftp_hi
1e-07,3.6191058587584714e-05,1.0954852830592447e-06,0.00012548013514449574,7.970623214653828e-05,5.396947571760447e-06,0.0002728809117958323
1.1097524964120721e-07,0.00018521889134956378,5.645364489958156e-06,0.0006410067059082833,0.00040812178718406886,2.773852107642427e-05,0.0013949388978712488
1.2315506032928263e-07,0.0006403653264632199,1.984003167195924e-05,0.00220643549344024,0.0014126744588632172,9.688330338615469e-05,0.004809479425245035
1.3667163564620074e-07,0.0015300039531405722,4.917026803894137e-05,0.005218305049682868,0.0033842920392658203,0.00023692715909660807,0.011418937102804866
1.5167168884709241e-07,0.002648814325204171,9.153182593715461e-05,0.00884039512803254,0.0058912880382236705,0.00043047621217953274,0.019514237855153146
1.6831803533309585e-07,0.003602759381219627,0.00013982881267612788,0.011559473899702357,0.008087308712763091,0.0006374444961295669,0.025970176803763425
1.867913599020781e-07,0.004243957021308458,0.0001892623240487034,0.012860085976542653,0.009636144459742896,0.0008479952711035724,0.029792696131894857
2.0729217795953698e-07,0.004663510433277336,0.0002345434933016199,0.013226303833992264,0.010690681689930745,0.0010793488476130285,0.03200357261074519
2.300430119772917e-07,0.004976834927198256,0.0002647654295751425,0.013274531940988845,0.011449242623265398,0.0013454572391618188,0.03351143835180211
2.5529080682395163e-07,0.005248653943603543,0.0002694964521378811,0.01345211981675715,0.012003524719376343,0.0016351251956083772,0.034444807668691714
2.833096101839324e-07,0.005495008196952008,0.00027740822585739657,0.013830367378063783,0.012387083890511994,0.0019048219935106482,0.034666797765393595
3.1440354715915e-07,0.005712388235689999,0.000378889744422504,0.014072826911156737,0.012675176418109047,0.0020742089781429973,0.034319859368880726
3.489101213406774e-07,0.005888314203756887,0.0006375794050851115,0.013872037793463127,0.012918163896530539,0.002081197537266959,0.033653739830155675
3.872038781812557e-07,0.006043273838467371,0.0009883851171797221,0.013454015704021636,0.013152669995652289,0.001964392179974901,0.03311212199323848
4.2970047043208437e-07,0.006198155255090437,0.0013022829193662297,0.013228091031472784,0.013371325506143327,0.0018099066517503176,0.03310169474752889
4.768611697714474e-07,0.006367052133661297,0.001495814466848224,0.013313441854815204,0.013567682806134452,0.0016948660792107985,0.033788146770974956
5.291978735958437e-07,0.00654311034966714,0.0015356715308845518,0.013556481752033446,0.01372049587848032,0.0016651017008804468,0.03503549607644382
5.872786613189477e-07,0.00670928959297885,0.0014652454040548204,0.0137709924082296,0.013827375332832077,0.0016885021077190764,0.03639912873591412
6.517339604882421e-07,0.006843783133342426,0.0013898199854504973,0.013834320371653776,0.013905540521425919,0.0016824628989341873,0.03721824135647022
7.232633896483533e-07,0.00694669641086454,0.0013802312282562444,0.013821176390387218,0.013964496778425308,0.0016537087466817317,0.03726531484461857
8.026433522257174e-07,0.007061192878422689,0.0014423899446388592,0.014049582153168226,0.014025954717747398,0.0017352495085064166,0.03702750691763614
8.907354638610439e-07,0.007214318539809564,0.0015371873732079573,0.014674048160043167,0.014080390213275744,0.001979718019009013,0.03693326989056442
9.884959046625586e-07,0.007409357043441884,0.0015973758596586978,0.015455888864893215,0.014123935137664063,0.0022185720285973006,0.03705617697387479
1.096985797892384e-06,0.007631235085227436,0.001595094387277025,0.01604739821329347,0.014134588873614486,0.0022580753456335374,0.03723849931061185
1.217382727739662e-06,0.007894345047924564,0.0016287833746178168,0.016387913744695084,0.014137939153353447,0.0021167024428462755,0.037448443224556295
1.3509935211980278e-06,0.008211757186007711,0.00182269627768427,0.016579117037640503,0.01414660799112227,0.0019249373713449243,0.037704959254382615
1.499268432786047e-06,0.00858827692023626,0.00214370369265099,0.016788404511420288,0.01414681977411276,0.00176401338056622,0.03812754016196906
1.6638168860761274e-06,0.009011615441025966,0.0024408450298834634,0.017170751774777275,0.014098756251167582,0.0016664985492724864,0.03881984150533796
1.8464249428955464e-06,0.009488176013340975,0.002659203916770929,0.017781744019256796,0.014010871788682211,0.0016736675823929533,0.03970585217622834
2.049074689815846e-06,0.010046098426483439,0.002864404954412058,0.018591194874437507,0.013956038131381599,0.0018392349314316464,0.04051401322454465
2.2739657523579273e-06,0.010712382943009777,0.003097074224508321,0.019594899052372775,0.013962811033153756,0.0021277914181774007,0.040966403032941544
2.523539170434766e-06,0.011514942999554016,0.003318890575282754,0.02087834188399511,0.014009856393366979,0.0023658186587143066,0.04095969731238839
2.800503894183631e-06,0.01246052017729846,0.003512356387661052,0.022461097159097554,0.014045500320738492,0.002408213324993663,0.04042650948988918
3.107866187782014e-06,0.01355635444119534,0.0037846515186269075,0.024244699552323012,0.014071738351771433,0.0022813098313441455,0.03952235786054604
3.4489622604057595e-06,0.014808749005425769,0.00429860472028614,0.026120617949540053,0.014088828897051193,0.0020809349830008235,0.038484316831878675
3.827494478516315e-06,0.016293326580177767,0.005191532508988967,0.028251912940239026,0.014119569758782263,0.001887908791132043,0.037776537889870974
4.247571552536894e-06,0.018068659908433288,0.006536823369459694,0.030843532038584916,0.014163170167919806,0.0017541538484100417,0.03778811643757181
4.713753134116729e-06,0.020112840001389933,0.008262786757697675,0.03385979547118773,0.014197368557988553,0.0016917439018605007,0.03832406579799352
5.2310993080562585e-06,0.02230839913386084,0.010138199945103177,0.037046034300377624,0.014181418353008544,0.001678304725637458,0.03872029264563372
5.805225516094895e-06,0.02463982068274876,0.011935035886569025,0.04046533121850056,0.014114805277716358,0.0016589470082012748,0.0386463668014553
6.44236350872137e-06,0.027191425350109218,0.013455976154494766,0.044496408864027455,0.014066635889398028,0.001562283753398641,0.03833192658206005
7.149428986597577e-06,0.02997433621325584,0.014699573555310546,0.049102217639182655,0.014080903595710154,0.0013848475914440758,0.03804901894332953
7.934096665797492e-06,0.0328617329355566,0.015961558867999097,0.05350702960343102,0.01417793376848461,0.0012386119655707197,0.037989230113192975
8.804883581643465e-06,0.035687469179101386,0.01746557373273143,0.05702199187357705,0.014331102978814344,0.0011996922010969367,0.038115432341695316
9.771241535346501e-06,0.03848491258301495,0.019123022922279385,0.060080973678162536,0.014516935061724913,0.001186231702578979,0.038242294998973324
1.0843659686896109e-05,0.04131534978278494,0.020692980001786283,0.06347021393637318,0.014696068522075004,0.0010938372095291584,0.038152755000432005
1.2033778407775906e-05,0.044332321883755854,0.022134849292687938,0.06772241629572517,0.014880304065190447,0.0009993377839622754,0.03801457733811398
1.3354515629298974e-05,0.04766310705945302,0.023432625394891306,0.07297398758019759,0.0150804904559087,0.0010845158448649498,0.03813882039386905
1.48202070579886e-05,0.051504180443617355,0.02436906370368297,0.07925531237116148,0.01527876766676908,0.0013972631049139423,0.03856250758852324
