freq,Zreal,Zimag,Zlo,Zhi,sigma_re,sigma_im
(10000+0j),(0.9982274184904084+0j),(-0.0015749645766552783+0j),(0.9585719115055081+0.00860030189044228j),(1.0376499443272176-0.0122455835207394j),0.0015801184629965254,0.0009450873266909211
(7943.282347242814+0j),(0.9982951790931827+0j),(-0.00200684388177257+0j),(0.9575080401689513+0.008865840264997996j),(1.0389710934424032-0.013426655077087514j),0.0015804915485388748,0.0009471531246954977
(6309.57344480193+0j),(0.9983573166841195+0j),(-0.0025181820780203444+0j),(0.9564406380547691+0.009226759818128271j),(1.0402922800179122-0.014840771684737115j),0.001582137244824052,0.0009436871440329304
(5011.8723362727205+0j),(0.9984105351334231+0j),(-0.0031392516427665644+0j),(0.955360385255883+0.009701503480665785j),(1.0416115223373177-0.016564548252754833j),0.0015819185975552944,0.0009499115678568983
(3981.0717055349687+0j),(0.9984518874036419+0j),(-0.003907741284695634+0j),(0.954256064273565+0.010310544202583944j),(1.0429276105592282-0.018692555484724736j),0.0015893277637702963,0.0009480150946152083
(3162.2776601683795+0j),(0.998479140190668+0j),(-0.004870753322020472+0j),(0.9531150849527464+0.011076543801874282j),(1.0442407498914048-0.021342264007418378j),0.0015860987736480308,0.0009457583080981836
(2511.8864315095802+0j),(0.9984913046891505+0j),(-0.0060871826763246204+0j),(0.9519243683621983+0.0120251806640834j),(1.0455533371876837-0.02466028854283497j),0.003302267633995558,0.0009765035544302671
(1995.2623149688789+0j),(0.9984893185372014+0j),(-0.007630538379421716+0j),(0.9506711647273093+0.013186959121564944j),(1.0468713507091874-0.028830375702572048j),0.002278589402372331,0.0009504510484586585
(1584.8931924611124+0j),(0.9984768532542283+0j),(-0.009592381902965795+0j),(0.9493432503062228+0.014600008023155288j),(1.0482069015874529-0.03408324121058825j),0.005216532591372528,0.0009530286721149788
(1258.9254117941662+0j),(0.998461320149265+0j),(-0.01208669096375141+0j),(0.9479280064481246+0.016313606663473753j),(1.049582236775645-0.04070828910691411j),0.0021390794340656483,0.0009589364823536114
(1000+0j),(0.998455355502028+0j),(-0.015255532370967564+0j),(0.9464100431303255+0.01839195391444175j),(1.0510354275050873-0.0490676666838613j),0.0017210859667982992,0.0009679127094541611
(794.3282347242813+0j),(0.9984793196633467+0j),(-0.019276391052473724+0j),(0.9447673014094369+0.020917593287403658j),(1.052628579521605-0.059613536794085376j),0.0017332242688108126,0.0009812016304711277
(630.957344480193+0j),(0.99856559072007+0j),(-0.024371392139696246+0j),(0.9429658600999137+0.023994049425514984j),(1.0544603651064595-0.07290932264988784j),0.001645126516927239,0.0010034704421470828
(501.187233627272+0j),(0.9987657091952507+0j),(-0.030818534874153813+0j),(0.9409536744465372+0.02774760124110256j),(1.0566854841114586-0.08965517931649905j),0.0016754016916124001,0.0010274979614677293
(398.10717055349687+0j),(0.999161880866819+0j),(-0.03896491746549058+0j),(0.9386530061854403+0.03232835496265208j),(1.0595446695865818-0.11071757564584572j),0.0017270348797704708,0.001068524460264044
(316.227766016838+0j),(0.9998851226807136+0j),(-0.04924159166558328+0j),(0.935950574605009+0.03791046130598123j),(1.0634109673913197-0.13716212080440154j),0.0018196969824060714,0.0011401414920782177
(251.18864315095797+0j),(1.0011434779830102+0j),(-0.06217881310035986+0j),(0.9326839021982689+0.04469030364697969j),(1.068861250232241-0.17028614164310357j),0.0027851985974427524,0.00115039569652801
(199.5262314968879+0j),(1.0032651564281092+0j),(-0.07841863492346429+0j),(0.9286223419673105+0.052879830370173304j),(1.076785231407019-0.21164182917592028j),0.002009603508796076,0.0025858522314220434
(158.48931924611125+0j),(1.0067629658510857+0j),(-0.09871832804080774+0j),(0.9234423592305765+0.06268991594717067j),(1.088546355054222-0.2630308473189076j),0.002474057867929694,0.002463886023994878
(125.89254117941664+0j),(1.0124271748116607+0j),(-0.1239317218992575+0j),(0.9166996513417459+0.07429620628359561j),(1.106207418308324-0.3264351753658036j),0.002456394024998137,0.00136436092936056
