freq,Zreal,Zimag,Zlo,Zhi,sigma_re,sigma_im
(1000000+0j),(1.0002411794426114+0j),(0.003131467941347444+0j),(0.9853620040906561+0.0034969962759779246j),(1.0189690696482618+0.009407585614483852j),0.0015117367470369998,0.0009014087820469484
(794328.2347242822+0j),(1.000450436893639+0j),(0.0016964992796059657+0j),(0.9847104512079966+0.003826786236033843j),(1.0203390671829373+0.004359545891958716j),0.0017694139862953844,0.0009035744594068242
(630957.344480193+0j),(1.0007079907695053+0j),(0.00043220659615143863+0j),(0.9839603876460322+0.004081929883069178j),(1.0219197511643636+0.00010973249336177979j),0.0015118242658065694,0.0009009834017676025
(501187.2336272725+0j),(1.0010165074606436+0j),(-0.0007108273334765687+0j),(0.9831384178775585+0.0042365279526397435j),(1.023676219730608-0.0034938490769672796j),0.0015130128935889,0.0009012164862319478
(398107.17055349686+0j),(1.0013792236741634+0j),(-0.0017757039217144656+0j),(0.9822761347982867+0.004275340878282897j),(1.0255762859304087-0.006591464716092871j),0.0016527120701964784,0.0009010805490432108
(316227.7660168379+0j),(1.001801060470624+0j),(-0.002800899385002096+0j),(0.9814046747081409+0.004193179356211801j),(1.027598972929868-0.009312469210659698j),0.001753079709350194,0.000901610265572126
(251188.6431509582+0j),(1.002289371472362+0j),(-0.00382122230805126+0j),(0.980550896999042+0.003991873478036159j),(1.0297375517431893-0.011772882420078474j),0.001512512807889424,0.000901332559761095
(199526.2314968879+0j),(1.0028543083164987+0j),(-0.004868403690811681+0j),(0.9797359338862573+0.0036762397458015377j),(1.0319983405558066-0.01407339554161919j),0.0015199678889772764,0.0009013753720699223
(158489.3192461114+0j),(1.0035089156726142+0j),(-0.0059714934962456535+0j),(0.9789759386821977+0.003250639455837476j),(1.0343974581115118-0.016299006068912734j),0.001949754509685902,0.000900780232073862
(125892.5411794166+0j),(1.0042690832435994+0j),(-0.0071572644288738635+0j),(0.978284162305379+0.00271684978662141j),(1.0369573353922272-0.01852075258162588j),0.0015247330570586767,0.0009019905913861662
(100000+0j),(1.0051534674111122+0j),(-0.008450611584657958+0j),(0.9776732821264297+0.0020736283884153998j),(1.0397040742164734-0.020798790512119497j),0.0022166514102235496,0.0009012118580234109
(79432.82347242821+0j),(1.0061834902714029+0j),(-0.009874918134736104+0j),(0.9771570849798377+0.001317624035377738j),(1.0426663015644082-0.02318577913744735j),0.0015092448743736434,0.0009014596867287542
(63095.7344480193+0j),(1.0073834875481933+0j),(-0.011452384856373607+0j),(0.9767509497075336+0.00044469663146678615j),(1.0458758738999814-0.025730458036960304j),0.0015867227039208622,0.0009019469706729277
(50118.72336272724+0j),(1.0087809657145221+0j),(-0.013204109620797842+0j),(0.976471126598542-0.0005490801501759424j),(1.0493701097022647-0.028479371684487054j),0.0015127086738577827,0.0009011086164127592
(39810.71705534969+0j),(1.0104067869665074+0j),(-0.015149772705336904+0j),(0.9763335466410157-0.001667614982538416j),(1.0531941680276955-0.031475946908867417j),0.0016111271615661857,0.0009011266755475422
(31622.776601683792+0j),(1.0122950411590812+0j),(-0.01730713486518326+0j),(0.9763533371751747-0.002916306892842889j),(1.0574016737995418-0.03475781162106889j),0.0015144744117056577,0.0009020842890257764
(25118.864315095827+0j),(1.0144824442185092+0j),(-0.019691419215961944+0j),(0.9765458144139614-0.004303416223032535j),(1.0620525298461818-0.03835370742735153j),0.0015294069498807438,0.0009011896161398238
(19952.623149688792+0j),(1.0170072640841514+0j),(-0.022314905739593195+0j),(0.9769285966098533-0.005840461196071387j),(1.067208468635085-0.04228204126314454j),0.001520067729779429,0.0009013943969193249
(15848.93192461114+0j),(1.0199079211538897+0j),(-0.025187089115486973+0j),(0.9775235396810217-0.007540882436222298j),(1.0729279456934442-0.04655229904877307j),0.004773713587236456,0.000915213273372757
(12589.254117941662+0j),(1.0232214982882732+0j),(-0.02831547665126061+0j),(0.9783572681095498-0.009417672338687642j),(1.0792620384060672-0.051169018821999965j),0.001513397471644663,0.0009021787331929805
