freq,Zreal,Zimag,Zlo,Zhi,sigma_re,sigma_im
(1000000+0j),(1.0011453211505732+0j),(0.0006970240274838187+0j),(0.9957960526293362+0.0022698018719962314j),(1.0069569448243194-0.0004566354115979889j),0.0015733450041828794,0.0009381441621630627
(794328.2347242822+0j),(1.0012372358338126+0j),(0.0004151314400739366+0j),(0.9954281913786439+0.0025714990420514566j),(1.007608343439915-0.0015229673709627857j),0.0018415234405895016,0.0009403980980163196
(630957.344480193+0j),(1.0013385484536497+0j),(0.0001958293712997827+0j),(0.9949983626242835+0.002857374083988986j),(1.008343640351512-0.002392961461959096j),0.0015734360896308877,0.0009377014462347119
(501187.2336272725+0j),(1.001443632820722+0j),(3.057167830388568e-05+0j),(0.9945161393499874+0.0031187963409008072j),(1.0091356854617406-0.0030833976122397575j),0.0015746731579146535,0.000937944029659537
(398107.17055349686+0j),(1.001546842642957+0j),(-8.962167994965955e-05+0j),(0.9939923928957207+0.0033521149012655854j),(1.0099572676484183-0.0036173449564617334j),0.0017200655366041264,0.0009378025525821284
(316227.7660168379+0j),(1.0016436874739627+0j),(-0.0001741208379773309+0j),(0.9934369534453803+0.0035577773953659325j),(1.0107861822550357-0.004022488894242329j),0.001824523487999194,0.0009383538568062502
(251188.6431509582+0j),(1.0017314823979206+0j),(-0.00023209868690679804+0j),(0.9928575147731846+0.003738664964291333j),(1.0116074908375656-0.004327848243662938j),0.0015741526920739733,0.0009380648335677304
(199526.2314968879+0j),(1.0018094017588453+0j),(-0.0002717944526766505+0j),(0.992259671413631+0.0038986762771509053j),(1.0124133654089242-0.0045606460433068674j),0.0015819115922980638,0.000938109390619309
(158489.3192461114+0j),(1.001878047303966+0j),(-0.0002998982698116115+0j),(0.9916474657853044+0.0040419167237816765j),(1.0132014679706651-0.004744258252597414j),0.0020292134349514973,0.0009374899967060326
(125892.5411794166+0j),(1.001938703701525+0j),(-0.0003209248491358705+0j),(0.991023840708056+0.004173224046876607j),(1.0139727876974773-0.0048972134160746115j),0.0015868709566911417,0.0009387496821512747
(100000+0j),(1.0019924953116026+0j),(-0.0003393531582891077+0j),(0.9903907308406219+0.00429630235561117j),(1.014729667669552-0.005035838788524195j),0.0023069872642348345,0.0009379392128362415
(79432.82347242821+0j),(1.0020397010547282+0j),(-0.00035702413816645126+0j),(0.9897488970077319+0.004416535467199275j),(1.015474425029031-0.005171781971324931j),0.0015707515794919497,0.0009381971413785021
(63095.7344480193+0j),(1.0020794610186696+0j),(-0.00037661896139779634+0j),(0.9890977898889022+0.00453851184725005j),(1.0162085483007137-0.005315759078285083j),0.0016513868860636603,0.0009387042837501395
(50118.72336272724+0j),(1.0021099718994868+0j),(-0.0004030434928638994+0j),(0.9884356977854941+0.004664498859517358j),(1.0169322610548546-0.005479745749121973j),0.0015743565402263785,0.0009378317637895334
(39810.71705534969+0j),(1.002129078492631+0j),(-0.0004389355850263007+0j),(0.9877603097356499+0.0047989440854039715j),(1.0176444205140303-0.005672204045583653j),0.0016767859058277295,0.0009378505588936058
(31622.776601683792+0j),(1.0021350371212625+0j),(-0.0004923535751746365+0j),(0.9870696386384408+0.00494188403065136j),(1.0183429345400328-0.005907975130446172j),0.0015761942377137855,0.0009388471982786517
(25118.864315095827+0j),(1.002127198045436+0j),(-0.0005726230791214169+0j),(0.9863629863800768+0.005093570515242249j),(1.019025757935566-0.006206401450819907j),0.0015917353260571033,0.0009379160645225592
(19952.623149688792+0j),(1.0021064007560647+0j),(-0.0006904226189417903+0j),(0.985641501872062+0.005254749547763669j),(1.0196921606539426-0.00659119647849649j),0.0015820155019421126,0.0009381291907940561
(15848.93192461114+0j),(1.002074975029378+0j),(-0.0008576868983420859+0j),(0.9849081041287479+0.005427666786967073j),(1.020343732154898-0.007091115073377434j),0.004968258156454396,0.0009525112320284454
(12589.254117941662+0j),(1.0020363647194244+0j),(-0.0010874087729478836+0j),(0.9841669043506392+0.0056171838189155165j),(1.0209846914875536-0.007739854615749137j),0.001575073408794272,0.0009389454913570834
(10000+0j),(1.0019944899363065+0j),(-0.0013938619049443319+0j),(0.9834223752890642+0.005831546706329999j),(1.021621368846691-0.008576264228748867j),0.0015714273011572344,0.0009398890411820252
(7943.282347242814+0j),(1.001953010593633+0j),(-0.0017933169529535209+0j),(0.9826784239179507+0.006082843074369855j),(1.0222610058342219-0.009645401311824524j),0.0015717983346086142,0.0009419434766304355
(6309.57344480193+0j),(1.0019146705956892+0j),(-0.0023053136730680334+0j),(0.98193750566115+0.006387155291982681j),(1.0229102415747309-0.011000889144169954j),0.0015734349790327523,0.0009384965599808366
(5011.8723362727205+0j),(1.0018808993641848+0j),(-0.0029544673572509603+0j),(0.98119994723671+0.006764504726202816j),(1.023573820559111-0.012708824871762506j),0.0015732175343945842,0.0009446867474636205
(3981.0717055349687+0j),(1.0018518036772863+0j),(-0.003772725722519453+0j),(0.9804635679150093+0.0072387655061458426j),(1.0242541117316286-0.014853205678911529j),0.0015805859478026435,0.0009428007054372181
(3162.2776601683795+0j),(1.0018265970000266+0j),(-0.004801966928774867+0j),(0.9797235993932695+0.007837708379581868j),(1.0249518833323443-0.01754255038162619j),0.0015773747181688396,0.000940556331974857
(2511.8864315095802+0j),(1.0018044319847774+0j),(-0.006096870431755469+0j),(0.9789729052216137+0.008593329784989114j),(1.0256684031212377-0.02091723353092062j),0.0032841040955547247,0.0009711324695230622
(1995.2623149688789+0j),(1.0017855630996229+0j),(-0.007728077493023557+0j),(0.9782024708974405+0.009542703177876914j),(1.026408475833112-0.02515729784441883j),0.002266056424798133,0.0009452232607478479
(1584.8931924611124+0j),(1.0017727742113278+0j),(-0.009785756419370455+0j),(0.9774019600035116+0.010729655466194189j),(1.027183910707101-0.030491137903385552j),0.005187839977462064,0.0009477867066416255
(1258.9254117941662+0j),(1.0017730635317263+0j),(-0.01238379695354602+0j),(0.9765599171219534+0.012207453063795188j),(1.0280174023111377-0.03720602665591344j),0.002127313806371312,0.0009536620220160425
(1000+0j),(1.001799703649404+0j),(-0.015664964984630894+0j),(0.9756631351393987+0.014042442628438713j),(1.0289475734186349-0.04566150956190973j),0.0017116194381632183,0.0009625888769687032
(794.3282347242813+0j),(1.001874999480336+0j),(-0.0198074255892963+0j),(0.9746947819674648+0.01631845066984043j),(1.0300364555083314-0.05630635939469875j),0.0017236909755946478,0.0009758047046284737
