tau,gamma,ftp
3.072112998861759e-05,5.647631375591533e-05,0.004627561597683062
3.409285069746814e-05,5.945179781527902e-05,0.004716650782876565
3.783462617131933e-05,6.278951766075267e-05,0.004832851770556098
4.1987070844439056e-05,6.644752096186502e-05,0.004967641158698432
4.659525668664687e-05,7.044073323613508e-05,0.005113383887873192
5.170920242896755e-05,7.479469869113502e-05,0.0052617574063981865
5.7384416483024044e-05,7.93672433058681e-05,0.0054040022517979095
6.368249944718586e-05,8.375251889708431e-05,0.005539059918365464
7.067181273927492e-05,8.717803457978425e-05,0.00565930963974743
7.842822061337681e-05,8.894657379617653e-05,0.0057656609843053696
8.703591361485166e-05,8.936934488967946e-05,0.005849948147108278
9.658832241158708e-05,9.169799365306215e-05,0.005915374112165006
0.00010718913192051276,9.970874445658572e-05,0.005959052037535232
0.00011895340673703195,0.00011322013657827894,0.005984603186966541
0.0001320088400831418,0.00012876166869476606,0.005993415910331137
0.00014649713983072864,0.0001443034762707111,0.005983981076680686
0.0001625755666443795,0.0001598528342019675,0.005956396283356619
0.00018041864093920718,0.0001756822335849959,0.005905319450617737
0.00020022003718155845,0.00019188173782448855,0.005836920324484955
0.0002221946860939524,0.00021009153175851857,0.005748857342175319
0.0002465811075822604,0.00023808642506927596,0.005649152335227199
0.0002736439997074672,0.0002954926367078457,0.0055378921393560284
0.00030367711180354605,0.0004227022075682946,0.00542359855214191
0.00033700643292719284,0.0006727796903557712,0.0053126661720850005
0.0003739937302478798,0.0010829565630054861,0.005215444000185085
0.0004150404757850477,0.001677799845360178,0.005146222486416886
0.00046059220411451084,0.0024951315378269846,0.005116655700912704
0.0005111433483440171,0.0035802084361190494,0.005143158127011875
0.0005672426068491978,0.004980492291714631,0.005234634308227021
0.0006294988990221888,0.006715433351760159,0.0054012176820514585
0.0006985879746785249,0.008799127839845709,0.00564365293487342
0.0007752597488629464,0.01124131581259917,0.005964618021606334
0.000860346441668451,0.014034030815770865,0.006359829153081178
0.0009547716114208065,0.017187838939508825,0.00683741491373113
