tau,gamma,ftp
1e-07,1.5574058271734292,1.2387126387672597e-09
1.0884019160690054e-07,227.00400337539642,1.2380871840241529e-09
1.1846187309026848e-07,416.3924820053007,1.237757749557632e-09
1.2893412965257157e-07,566.5276337110627,1.2375646627046065e-09
1.4033215376054846e-07,676.187137984001,1.2370522929779392e-09
1.5273778503907124e-07,746.0438683293173,1.2369970291077128e-09
1.6624009789266136e-07,775.1652835000892,1.236801435040397e-09
1.8093604107387167e-07,764.8371760718198,1.2364866402834742e-09
1.969311337907422e-07,718.0432456167824,1.2366091169208211e-09
2.143402233514859e-07,635.9818197360992,1.2363818651832521e-09
2.3328830978641583e-07,521.4479580986733,1.2362953299487986e-09
2.539114433680347e-07,377.9677700655027,1.236459041972072e-09
2.7635770147361577e-07,207.38956959448282,1.2362201539925615e-09
3.007882518043102e-07,13.662691824113496,1.2363380370497938e-09
3.273785095948577e-07,-198.63690156120563,1.2364309140727343e-09
3.563193971228584e-07,-426.94302593385913,1.2362476367275066e-09
3.8781871456107196e-07,-666.8377906854411,1.2365043012468728e-09
4.221026320156903e-07,-913.7685172421958,1.2364825025035587e-09
4.5941731346364764e-07,-1165.2566456478908,1.2364335002502928e-09
5.00030684249109e-07,-1416.258550127262,1.236733878779316e-09
5.442343548300272e-07,-1662.1411112235069,1.2366201841603572e-09
5.923457145875806e-07,-1900.4342978030572,1.2367410057915389e-09
6.44710210732387e-07,-2125.3986787282342,1.2369773056208711e-09
7.017038286703837e-07,-2333.0944810173905,1.2368326320328068e-09
7.637357916378027e-07,-2521.548612498531,1.237087561766619e-09
8.312514989890632e-07,-2685.191248130346,1.2371769371585691e-09
9.047357242349293e-07,-2822.017542231958,1.2370761761940346e-09
9.847160957933784e-07,-2930.92656895432,1.2373795174685956e-09
1.0717668854455034e-06,-3007.8268174943782,1.2373080405345844e-09
1.1665131316981962e-06,-3054.0511286802885,1.237319692771215e-09
1.2696351276599729e-06,-3070.4556049336948,1.2375784799286063e-09
1.3818733056536336e-06,-3056.1998442548047,1.237409505264667e-09
1.5040335536380252e-06,-3015.9476108952576,1.2375640669064204e-09
1.6369930016117019e-06,-2952.1908792621853,1.2377065200557878e-09
1.7817063195457325e-06,-2868.016670927201,1.2375404621305582e-09
1.939212572065831e-06,-2771.5871263978174,1.2378014217460008e-09
2.1106426791015547e-06,-2668.1611290677133,1.237790643375989e-09
