tau,gamma,ftp
1e-07,-198.36067241999828,1.096276122364209e-09
1.0884019160690054e-07,15.353434707351095,1.095521665652195e-09
1.1846187309026848e-07,199.57625849833295,1.0950958627853149e-09
1.2893412965257157e-07,351.33298105252436,1.0948354245163945e-09
1.4033215376054846e-07,469.49139113596226,1.0943209706682567e-09
1.5273778503907124e-07,554.1623375593346,1.09422699220594e-09
1.6624009789266136e-07,604.0108099109248,1.0940161698220567e-09
1.8093604107387167e-07,619.5290040048758,1.0937012451940877e-09
1.969311337907422e-07,602.1323097278572,1.0937707621506852e-09
2.143402233514859e-07,551.7851895679195,1.0935262531531568e-09
2.3328830978641583e-07,470.1724187938822,1.0934005568112665e-09
2.539114433680347e-07,359.50646644248036,1.0934907849039319e-09
2.7635770147361577e-07,220.73201591412138,1.093219494763577e-09
3.007882518043102e-07,56.90017037937818,1.0932583309516287e-09
3.273785095948577e-07,-128.42678912471064,1.0932697724907414e-09
3.563193971228584e-07,-332.969427482223,1.0930308722010377e-09
3.8781871456107196e-07,-552.1893075347066,1.0931741780583975e-09
4.221026320156903e-07,-781.490623377864,1.0930638451711391e-09
4.5941731346364764e-07,-1018.2083423623098,1.0929216464278181e-09
5.00030684249109e-07,-1257.4703322701605,1.0930818100839292e-09
5.442343548300272e-07,-1495.2893675899463,1.0928706893462427e-09
5.923457145875806e-07,-1730.0208141415476,1.0928633662256377e-09
6.44710210732387e-07,-1957.2974973505966,1.0929578879606923e-09
7.017038286703837e-07,-2174.3648305116985,1.0927176342516611e-09
7.637357916378027e-07,-2379.59792714353,1.09283462951005e-09
8.312514989890632e-07,-2567.5908189091565,1.0928121031281153e-09
9.047357242349293e-07,-2735.5846385093796,1.0926288869375042e-09
9.847160957933784e-07,-2880.282928541375,1.0928102023391842e-09
1.0717668854455034e-06,-2995.288900370204,1.0926678005217938e-09
1.1665131316981962e-06,-3079.4797193409036,1.0926045387473029e-09
1.2696351276599729e-06,-3130.696129271233,1.0927638718285042e-09
1.3818733056536336e-06,-3145.9501535864983,1.09254823267394e-09
1.5040335536380252e-06,-3128.830243172345,1.0926197487577478e-09
1.6369930016117019e-06,-3080.745638721025,1.0926817150839728e-09
1.7817063195457325e-06,-3003.9082735576053,1.0924723139103268e-09
1.939212572065831e-06,-2905.604239378406,1.092642038248679e-09
2.1106426791015547e-06,-2789.806325650715,1.0925758207724373e-09
