,tau,gamma,ftp,fbp
156,1.135733358343105,1.6900952282699223e-05,0.004404108253801652,0.9537466980167172
157,1.2603829296797273,1.5549813969663525e-05,0.004040102618845979,0.8987785676687863
158,1.3987131026472386,1.4306705103767052e-05,0.0037070653426445415,0.8233836683391833
159,1.552225357427048,1.3162986205426536e-05,0.0034022258535753376,0.7380931357478753
160,1.7225859653987874,1.2110709038089124e-05,0.0031230820987359657,0.6516264910270287
161,1.9116440753857036,1.1142561253728244e-05,0.0028673714630880953,0.5697727101286177
162,2.121451784910632,1.0251815478516676e-05,0.002633045271395493,0.49559745191479937
163,2.35428641432242,9.43228248137898e-06,0.002418246373214946,0.43020224487117953
164,2.612675225563332,8.678268097050926e-06,0.0022212893885124913,0.3734994292516925
165,2.8994228538828812,7.984533601831139e-06,0.002040643255812587,0.3247919786968388
166,3.2176417502507353,7.346259264596344e-06,0.0018749157784723688,0.2831403826804646
167,3.5707859649004625,6.759010818048961e-06,0.0017228399095926337,0.2475679482504419
168,3.9626886387014784,6.218708615739466e-06,0.0015832615537633918,0.2171622250096003
169,4.397603609302721,5.721599259304413e-06,0.001455128695543321,0.19111628600319425
170,4.880251583654434,5.264229497727096e-06,0.0013374816913090145,0.16873805866654276
171,5.415871378079476,4.843422216382526e-06,0.0012294445837170585,0.14944426297372485
172,6.010276782070388,4.456254348292372e-06,0.0011302173171860842,0.1327480432954057
173,6.669919663030129,4.100036553491644e-06,0.0010390687490919902,0.11824497212008513
174,7.401959996915652,3.7722945247950547e-06,0.0009553303652444179,0.10559964532694661
175,8.214343584919439,3.4707517896373637e-06,0.0008783906200620047,0.09453378073315427
176,9.115888299750837,3.1933138881287223e-06,0.0008076898320085658,0.08481607038058656
177,10.11637979766207,2.938053817088306e-06,0.0007427155735583861,0.07625372605645306
178,11.226677735108158,2.7031986386668726e-06,0.0006829985024480901,0.06868552966631593
179,12.458833642950081,2.4871171603032364e-06,0.0006281085874307305,0.061976163810362035
180,13.826221737646593,2.2883086002388743e-06,0.0005776516873296655,0.05601160450417325
181,15.343684089300131,2.1053921596932743e-06,0.0005312664470260055,0.05069538220349403
182,17.02769172225898,1.9370974291267673e-06,0.000488621478212939,0.04594554658876453
183,18.896523396912116,1.7822555618345563e-06,0.00044941279640569524,0.04169219908654236
184,20.970464013232306,1.6397911534643563e-06,0.00041336148888468155,0.037875482445545026
185,23.27202478960412,1.5087147709697448e-06,0.00038021159103751795,0.03444393814830165
186,25.826187606826746,1.388116079036106e-06,0.00034972815100901556,0.031353160124098875
187,28.66067616948256,1.2771575161772172e-06,0.0003216954647137968,0.028564687560277538
188,31.80625692794119,1.175068476528514e-06,0.00029591546515483994,0.02604509110657538
189,35.297073027306574,1.0811399568835329e-06,0.00027220625165677066,0.02376521593709285
190,39.17101490809261,9.947196317585338e-07,0.000250400746094881,0.02169955242493198
191,43.47013158125035,9.152073222489685e-07,0.00023034546450449627,0.019825710973548485
192,48.241087041653735,8.420508271817262e-07,0.00021189939361219553,0.01812398214596505
193,53.535666774107185,7.747420875873441e-07,0.00019493296285884334,0.016576966887301158
194,59.411339849650396,7.128136578352113e-07,0.00017932710340054996,0.015169264545858357
195,65.93188271333541,6.558354589074957e-07,0.0001649723863911069,0.013887208719964158
196,73.16807143427206,6.0341179124968e-07,0.00015176823358020063,0.012718642815332727
197,81.19844993184009,5.551785864405856e-07,0.00013962219391599798,0.011652728687819915
198,90.11018251665037,5.108008785851075e-07,0.00012844928042747493,0.010679782945293039
199,100.0,4.699704778605884e-07,0.00011817136218897131,0.009791136449759113
