,tau,gamma,ftp,fbp
0,1e-07,0.004895568224879556,1.8712813285436727e-05,9.399409557211768e-07
1,1.1097524964120721e-07,0.005339891472646532,2.0338835978967038e-05,1.021601757170215e-06
2,1.2315506032928263e-07,0.0058263643439099575,2.2106176549207702e-05,1.1103571728811712e-06
3,1.3667163564620074e-07,0.006359321407666371,2.4027121849580595e-05,1.2068235824993624e-06
4,1.5167168884709241e-07,0.006943604359982072,2.611502789902008e-05,1.3116709178149913e-06
5,1.6831803533309585e-07,0.007584632272929194,2.838441307848104e-05,1.425627315670425e-06
6,1.867913599020781e-07,0.008288483443650563,3.0851059480308706e-05,1.5494841751746855e-06
7,2.0729217795953698e-07,0.009061991072982525,3.353212312896057e-05,1.6841016543634525e-06
8,2.300430119772917e-07,0.009912855486774261,3.644625385584212e-05,1.8304146444979402e-06
9,2.5529080682395163e-07,0.01084977621246599,3.961372568120937e-05,1.9894392635170676e-06
10,2.833096101839324e-07,0.01188260796854644,4.305657863277775e-05,2.1622799137670734e-06
11,3.1440354715915e-07,0.01302254555328769,4.6798773014494234e-05,2.350136953057028e-06
12,3.489101213406774e-07,0.014282343780138795,5.08663572305877e-05,2.5543150323544343e-06
13,3.872038781812557e-07,0.01567658006204943,5.5287650370288373e-05,2.776232158072212e-06
14,4.2970047043208437e-07,0.01722196907415086,6.009344086836997e-05,3.0174295419394947e-06
15,4.768611697714474e-07,0.018937741222772513,6.531720267688854e-05,3.2795823069287126e-06
16,5.291978735958437e-07,0.02084609954327118,7.099533051524219e-05,3.5645111236691125e-06
17,5.872786613189477e-07,0.022972773294382222,7.716739591015153e-05,3.874194858253528e-06
18,6.517339604882421e-07,0.025347691101747002,8.387642589571601e-05,4.2107843193865485e-06
19,7.232633896483533e-07,0.028005802252086685,9.116920641782162e-05,4.576617200477749e-06
20,8.026433522257174e-07,0.030988081905181,9.90966126785495e-05,4.974234320606473e-06
21,8.907354638610439e-07,0.034342764833158027,0.00010771396886675752,5.406397277333755e-06
22,9.884959046625586e-07,0.03812686302822651,0.00011708143995278259,5.876107634176612e-06
23,1.096985797892384e-06,0.04240803519029337,0.00012726445848066506,6.3866277762574675e-06
24,1.217382727739662e-06,0.04726689036657724,0.00013833418957309514,6.94150357927474e-06
25,1.3509935211980278e-06,0.05279982266347341,0.00015036803767550986,7.544589049590109e-06
26,1.499268432786047e-06,0.059122486060042716,0.00016345019890988887,8.200073106983315e-06
27,1.6638168860761274e-06,0.06637402164770285,0.0001776722632897247,8.912508696584744e-06
28,1.8464249428955464e-06,0.0747221314868626,0.00019313387146987983,9.686844432765052e-06
29,2.049074689815846e-06,0.08436902933327138,0.00020994343117368563,1.0528458995454191e-05
30,2.2739657523579273e-06,0.0955581430015971,0.00022821889896052362,1.1443198518608826e-05
31,2.523539170434766e-06,0.10858111250480015,0.0002480886335769039,1.2437417231478933e-05
32,2.800503894183631e-06,0.12378397412522092,0.00026969232778046296,1.3518021636097922e-05
33,3.107866187782014e-06,0.1415701913402323,0.0002931820262480274,1.4692518529192688e-05
34,3.4489622604057595e-06,0.16239598934841984,0.0003187232379861904,1.5969067203662305e-05
35,3.827494478516315e-06,0.18674971462584675,0.000346496152567345,1.7356536194101853e-05
36,4.247571552536894e-06,0.21510112243558976,0.0003766969705293849,1.886456496275796e-05
37,4.713753134116729e-06,0.24779872595740027,0.00040953935941901213,2.0503630957033393e-05
38,5.2310993080562585e-06,0.2848863550643087,0.00044525604824493403,2.2285122507456488e-05
39,5.805225516094895e-06,0.32581324551351437,0.00048410057455948766,2.4221418076178207e-05
40,6.44236350872137e-06,0.36904656787393764,0.0005263492000299215,2.6325972410853072e-05
41,7.149428986597577e-06,0.41169183416959165,0.0005723030122227608,2.8613410207534104e-05
42,7.934096665797492e-06,0.44938928383439314,0.0006222902324399172,3.109962793932705e-05
43,8.804883581643465e-06,0.4768733490083586,0.0006766687518532344,3.3801904565398446e-05
44,9.771241535346501e-06,0.48938940372568374,0.0007358289209314302,3.6739021897952895e-05
45,1.0843659686896109e-05,0.4845010510333155,0.0008001966202946743,3.9931395473461285e-05
46,1.2033778407775906e-05,0.4631805563413721,0.0008702366447319339,4.3401216849255024e-05
47,1.3354515629298974e-05,0.42936124159891437,0.0009464564362511417,4.717260832817102e-05
48,1.48202070579886e-05,0.38830011437627776,0.001029410206792547,5.127179120287522e-05
49,1.6446761779946626e-05,0.34488051374374656,0.0011197034967287257,5.572726870848593e-05
50,1.8251834943190462e-05,0.302665746265836,0.0012179982216283854,6.057002497794503e-05
51,2.0255019392306664e-05,0.2637551151706808,0.001325018267127176,6.583374141004798e-05
52,2.2478058335487252e-05,0.22908445092830665,0.0014415557003094883,7.155503198611305e-05
53,2.4945081352303165e-05,0.1988316697421755,0.0015684776759775033,7.777369920891408e-05
54,2.7682866303920665e-05,0.17275512048059508,0.0017067341278293238,8.453301248788907e-05
55,3.072112998861759e-05,0.15042217335236224,0.0018573663481998332,9.18800109589832e-05
56,3.409285069746814e-05,0.13134399711163997,0.002021516576014831,9.986583290718882e-05
57,3.783462617131933e-05,0.11504616120087177,0.0022004387314273183,0.00010854607415641776
58,4.1987070844439056e-05,0.10110047301840278,0.0023955104577979163,0.00011798117800649582
59,4.659525668664687e-05,0.08913542816761924,0.002608246657920984,0.00012823685953268678
60,5.170920242896755e-05,0.0788358596688151,0.0028403147425009314,0.00013938456732131608
61,5.7384416483024044e-05,0.06993776365012998,0.0030935518458478765,0.00015150198599816345
62,6.368249944718586e-05,0.062221469938626595,0.0033699843078070784,0.00016467358321687424
63,7.067181273927492e-05,0.055504722801928835,0.003671849773561828,0.00017899120511570164
64,7.842822061337681e-05,0.04963636637980525,0.004001622325994809,0.0001945547246256551
65,8.703591361485166e-05,0.04449087842823982,0.00436204114103339,0.00021147274742530948
66,9.658832241158708e-05,0.03996377607622335,0.004756143247651068,0.0002298633807912586
67,0.00010718913192051276,0.03596782008697448,0.005187301084441878,0.00024985507109311474
68,0.00011895340673703195,0.03242990961898502,0.00565926567827086,0.0002715875162333544
69,0.0001320088400831418,0.02928855534781225,0.006176216432855131,0.00029521265994112344
70,0.00014649713983072864,0.026491828062790875,0.00674281871303563,0.0003208957755020778
71,0.0001625755666443795,0.023995693883624682,0.007364290652483046,0.0003488166472511084
72,0.00018041864093920718,0.02176266189916479,0.008046480909373543,0.0003791708589800733
73,0.00020022003718155845,0.01976068348758563,0.008795959459716679,0.0004121711993283751
74,0.0002221946860939524,0.017962254180695178,0.009620123968659801,0.0004480491952416551
75,0.0002465811075822604,0.01634367859692617,0.010527324837968076,0.0004870567857160539
76,0.0002736439997074672,0.014884466847400336,0.01152701272060572,0.000529468149307188
77,0.00030367711180354605,0.013566837165588243,0.012629913156060038,0.0005755817002913713
78,0.00033700643292719284,0.01237530458364885,0.013848234057492756,0.0006257222699412341
79,0.0003739937302478798,0.011296339515961946,0.015195913130918491,0.0006802434911415071
80,0.0004150404757850477,0.010318083317455092,0.01668891399978006,0.0007395304065494785
81,0.00046059220411451084,0.009430110430676809,0.018345581937226706,0.0008040023227289392
82,0.0005111433483440171,0.008623228758596339,0.020187072788640327,0.0008741159351914146
83,0.0005672426068491978,0.007889311509644925,0.02223787204269568,0.0009503687521051989
84,0.0006294988990221888,0.007221155044601874,0.024526425257743917,0.0010333028476288805
85,0.0006985879746785249,0.006612358280208986,0.0270859063842257,0.0011235089794473091
86,0.0007752597488629464,0.006057220025845993,0.029955157187977678,0.0012216311091996345
87,0.000860346441668451,0.005550651289616684,0.03317983923518364,0.001328371369167455
88,0.0009547716114208065,0.0050881001220836036,0.03681384998467158,0.0014444955239259988
89,0.001059560179277617,0.0046654869958335345,0.040921066569725544,0.0015708389817583302
90,0.0011758495540521582,0.004279149067671948,0.04557749466073312,0.001708313417616218
91,0.0013049019780144017,0.003925791953796503,0.050873914534779886,0.00185791407742875
92,0.001448118227674533,0.003602447879646695,0.05691912992059249,0.0020207278427852617
93,0.0016070528182616384,0.0033064392554625834,0.06384393242661787,0.002197942145659078
94,0.0017834308769319094,0.0030353468840109837,0.07180588534877186,0.0023908548351390373
95,0.0019791668678535573,0.0027869821349102855,0.08099498575235398,0.0026008851123888385
96,0.002196385372416547,0.00255936252566562,0.09164014573531322,0.0028295856666098154
97,0.002437444150122222,0.0023506902370516508,0.10401617412351577,0.003078656164058457
98,0.002704959730463137,0.002159333163177365,0.11845041558848993,0.003349958264666893
99,0.0030018358135755923,0.001983808157117511,0.1353272029878327,0.003645532367135337
100,0.003331294787934677,0.001822766183567665,0.15508645437791957,0.00396761631423503
101,0.0036969127071950323,0.0016749791323334435,0.1782095895658957,0.004318666326354737
102,0.00410265810582719,0.0015393280820292284,0.20518085961016524,0.0047013804741033016
103,0.004552935074866948,0.0014147928333049077,0.2364049479813103,0.00511872505133124
104,0.00505263106533568,0.0013004425561944193,0.2720538512153641,0.005573964269820571
105,0.005607169938205458,0.0011954274175695187,0.3118141499235005,0.0060706937680219675
106,0.006222570836730231,0.001098971072829539,0.3545266937170962,0.006612878510925167
107,0.006905513520162331,0.0010103639213926308,0.39778351312435223,0.00720489575929339
108,0.007663410868007463,0.000928957038714375,0.4376917511711484,0.007851583907593006
109,0.008504489341802686,0.0008541567088081075,0.469171152376605,0.008558298135343909
110,0.009437878277775391,0.0007854194908791643,0.487096345716782,0.009330973991667083
111,0.010473708979594508,0.0007222477619629981,0.4880765324702403,0.01017620024416723
112,0.011623224686798541,0.0006641856845837268,0.47191605853302465,0.011101302579233384
113,0.01289890261253308,0.0006108155545998177,0.4417049097470939,0.012114440051691986
114,0.014314589375234785,0.0005617544897236546,0.40246834131335507,0.013224716560417972
115,0.015885651294280528,0.0005166514238144403,0.3593643231720137,0.014442310089203748
116,0.01762914118095948,0.00047518437605259946,0.316446062661756,0.01577862301928985
117,0.01956398343517065,0.00043705796759570687,0.27628103546461386,0.01724645751719269
118,0.021711179456945052,0.00040200116136446923,0.24014783175879964,0.01886022086135363
119,0.02409403560239527,0.0003697652032747389,0.20843430510011596,0.0206361666349102
120,0.026738416158399492,0.00034012174557075355,0.1810078667819495,0.02259267903192391
121,0.029673024081888724,0.00031286113497061677,0.15748053602102688,0.024750609167297724
122,0.032929712550971546,0.00028779085014568503,0.13737179878564382,0.027133674331176524
123,0.036543830709572546,0.000264734074653594,0.12019740655123919,0.02976893369480066
124,0.040554607358408275,0.00024352839285802694,0.10551181038161024,0.03268735719385234
125,0.04500557675700498,0.00022402459762082755,0.09292427373004039,0.03592450836139037
126,0.0499450511585514,0.00020608559966418756,0.08210127307448746,0.03952136697517126
127,0.05542664520663107,0.00018958542949003664,0.07276247093603705,0.04352532379832956
128,0.06150985788580504,0.000174408323625554,0.06467420397297234,0.04799138776724942
129,0.06826071834272393,0.0001604478877510389,0.05764248451837972,0.052983656125581806
130,0.0757525025877192,0.00014760632997056156,0.05150644125408408,0.05857711069562457
131,0.08406652885618333,0.0001357937581166772,0.046132559995382745,0.0648598192379701
132,0.09329304026284696,0.00012492753554655737,0.041409803860063925,0.07193564017394902
133,0.10353218432956637,0.00011493169039562918,0.03724556250937158,0.07992755215244689
134,0.11489510001873086,0.00010573637371265474,0.03356232939034377,0.08898175685647965
135,0.1275051240713013,9.727736231282755e-05,0.030294994115518645,0.09927273275961047
136,0.1414991297434576,8.949560255785082e-05,0.02738864317334145,0.11100944560385767
137,0.15702901247293774,8.233679160843712e-05,0.024796775225616442,0.12444293987725315
138,0.17426333860096507,7.575099299908165e-05,0.022479851983911264,0.13987552730026023
139,0.19338917504552322,6.969228366065804e-05,0.020404119628027118,0.1576717193376302
140,0.21461411978584058,6.411842976634335e-05,0.018540647980084767,0.17827085633523895
141,0.23816855519761607,5.899058900324791e-05,0.016864544946944872,0.2022009460368055
142,0.2643081486974108,5.4273037078208776e-05,0.015354312192149507,0.23009232240174415
143,0.29331662783900486,4.9932916453594324e-05,0.013991314826637279,0.2626879942232806
144,0.32550885998350565,4.59400054794916e-05,0.012759343376613249,0.3008443467047245
145,0.36123426997094304,4.2266506243944536e-05,0.011644250644913477,0.34551024096119015
146,0.40088063288984643,3.888684960445704e-05,0.010633649545525157,0.3976633394843508
147,0.4448782831127585,3.577751599305652e-05,0.009716660740748794,0.4581689018566133
148,0.4937047852839004,3.291687070502399e-05,0.008883701094493589,0.5275102303413616
149,0.5478901179593945,3.028501248897246e-05,0.008126305691861554,0.6053314925316732
150,0.6080224261649427,2.7863634354242967e-05,0.007436977558627711,0.6897610274874931
151,0.67475440531107,2.5635895601437563e-05,0.006809060318788003,0.776600228752557
152,0.748810385759003,2.358630416408551e-05,0.0062366299125134715,0.8587224831978287
153,0.8309941949353403,2.1700608424627468e-05,0.005714402206572197,0.9263611126827462
154,0.9221978823334341,1.996569773673061e-05,0.00523765390065323,0.969002102066631
155,1.0234114021054528,1.8369510948976447e-05,0.004802154594414457,0.9787788074513675
