Freq,Zreal,Zimag,Zmod,Zphz,sigma_re,sigma_im
15.915494309189533,0.009925393872198427,-0.07798931322659815,0.07861835931304284,-82.74718039709416,0.0021301521629823543,0.004024738546113481
12.642126499382869,0.010526383189700428,-0.10049959287141491,0.1010493587826096,-84.02061041859785,0.0022225165370986645,0.0045484690099515685
10.041998025415857,0.011920856241618878,-0.11708178569618331,0.11768709086106402,-84.18637886711541,0.0023645656558766606,0.005198681138058518
7.976642564633297,0.02569110052354605,-0.15666472175611035,0.15875726027187045,-80.6870826951875,0.0025831023727450565,0.006000492799552915
6.336072407391734,0.035250835942530256,-0.18342183182710103,0.18677845118068764,-79.12127889929413,0.0029181878506105256,0.006978727165065361
5.032921210448704,0.06049059484139336,-0.23208858366528878,0.23984207873520727,-75.39166681008088,0.003427765423030838,0.008152224250316082
3.997791420602112,0.08216411756655473,-0.29334190273239896,0.30463160393195393,-74.35261259021684,0.004191207080433567,0.009523153311166455
3.1755586019227526,0.12588353330577023,-0.32343516012249485,0.3470691094883105,-68.73361721335512,0.005307637929803946,0.011059828008905901
2.5224358585288083,0.18542898763006405,-0.40297049068144536,0.4435866609959719,-65.29022844524317,0.006881554341528706,0.012674782429510171
2.0036420227104164,0.2529721254431445,-0.4496237662258964,0.5159035059062708,-60.636558997091704,0.008987418010031199,0.014208378924394891
1.5915494309189535,0.38670209371382436,-0.49844939852555753,0.6308647336578147,-52.19532767633059,0.011614693881012614,0.015439874141816433
1.2642126499382869,0.4861549138130954,-0.502104370950636,0.6988958431356936,-45.924612867351954,0.014620519241582773,0.016147342284647898
1.0041998025415853,0.5774724193629912,-0.5346067398608658,0.7869426671807863,-42.79259665762193,0.01773884399253511,0.016203796056953337
0.7976642564633296,0.69877526847618,-0.5048756738471878,0.8620825493400324,-35.8486791929975,0.02066753894249391,0.015646319412584247
0.6336072407391731,0.8054336801792047,-0.48143668000575035,0.9383521140925599,-30.868279259820728,0.023182218684382062,0.014658441741342117
0.5032921210448704,0.810459832886524,-0.4137589991074026,0.9099679390312672,-27.045391389466754,0.02519641520646762,0.01348179111349306
0.3997791420602112,0.94925599807669,-0.3816189798681847,1.023093346513507,-21.901066000662524,0.026744516300355483,0.012328275186995596
0.3175558601922753,0.9541554954271878,-0.33372487255041305,1.0108338142408433,-19.277765364207756,0.02792681129201325,0.011339207692737626
0.2522435858528808,1.0524409696328332,-0.30387666112631373,1.0954328001931357,-16.105285805264984,0.028860704266771627,0.010586977638210066
0.20036420227104154,1.006377510781789,-0.3140686189658016,1.054246077358809,-17.33201185561486,0.029654220210770688,0.010094560625298388
0.15915494309189535,1.1178765150755492,-0.2940825778769861,1.155911962723904,-14.738987271745387,0.03039763609942502,0.009854927880286886
0.1264212649938287,1.1398270321627804,-0.3047986288404763,1.1798762085032677,-14.971054016954627,0.03116425900736457,0.009843855860500208
0.10041998025415853,1.1197402452051664,-0.3103771277651255,1.1619604890751902,-15.492667051364501,0.032013714539877176,0.010026138740755154
0.07976642564633293,1.2193920617267004,-0.344516907408387,1.2671262366837537,-15.776667773422629,0.032994199258607644,0.010357342008673477
0.06336072407391728,1.2133051551166931,-0.31981576039659093,1.2547475921597908,-14.766743598070285,0.034142186630973,0.010783540884072762
0.050329212104487035,1.3060577063683632,-0.3597025704494865,1.354685451148036,-15.39813825182042,0.03547935677586595,0.011241395073594252
0.03997791420602112,1.3224233808552053,-0.37971480948429365,1.3758586172911098,-16.02065599251507,0.037007672142517906,0.011660691189398014
0.031755586019227525,1.3793077213207228,-0.3800195239889962,1.4307007474338538,-15.40366326378358,0.03870476550877124,0.011970760568301115
0.02522435858528807,1.4868190558426806,-0.37914205177082055,1.5343987748424162,-14.305667361946501,0.04052268016639927,0.012110532573793659
0.020036420227104144,1.4707021612308129,-0.3630913847880705,1.514859795742267,-13.86803583855424,0.042392548198784546,0.012039666645808364
0.015915494309189534,1.641727989234825,-0.35816327160242795,1.6803427387774128,-12.306952234146616,0.04423547111831527,0.011746533650444703
0.012642126499382868,1.6467585773713909,-0.33983329250761796,1.6814578433141925,-11.660159224299317,0.04597663107390259,0.01124938168328317
0.010041998025415853,1.682502897498805,-0.3484682731090507,1.7182101552067135,-11.701262813694873,0.04755773101478903,0.010589995906545207
0.007976642564633292,1.7684383524571794,-0.3010572954472375,1.7938811837977087,-9.661357589252756,0.04894377183702159,0.00982262621496531
0.006336072407391728,1.76058809947221,-0.2792721997431612,1.7826001844363624,-9.013410735205696,0.050123161654486506,0.009002535154100407
0.005032921210448704,1.8786980635204207,-0.23266957020915643,1.8930508558347534,-7.059914927213191,0.05110297341183351,0.008177568932286633
0.003997791420602112,1.8223888427999348,-0.20211583252696957,1.8335626261788158,-6.328644156566766,0.05190226278909235,0.007383955642873601
0.0031755586019227527,1.9567307014119617,-0.16296674899319696,1.9635053346312963,-4.760904060028717,0.0525458180408413,0.006645701756962068
0.0025224358585288066,1.9010984472732402,-0.1407543434692157,1.9063019413068263,-4.234363658107589,0.05305952786519116,0.005976187999388014
0.002003642022710414,1.9863338975552065,-0.12800892791083304,1.990454379834348,-3.6873171227723063,0.0534675527700898,0.005380652593538305
0.0015915494309189536,2.030406505221022,-0.11582472921545167,2.033707438237289,-3.2649046868217924,0.05379095618638669,0.004858695683889256
