Freq,Zreal,Zimag,Zmod,Zphz
1000000.0,1.000044821657342,-0.00013784360146387888,1.0000448311573455,-0.007897502567592118
794328.2347242822,1.0000538912876054,-0.0001657193460761582,1.0000539050183161,-0.009494507355694277
630957.344480193,1.0000647971469392,-0.00019923153755004762,1.000064816992256,-0.011414386476827408
501187.2336272725,1.0000779114418146,-0.00023951951990273373,1.0000779401243798,-0.013722388207980413
398107.1705534969,1.0000936820239557,-0.0002879527941091643,1.000093723478477,-0.016496933879384786
316227.7660168379,1.0001126478522628,-0.0003461774461033905,1.0001127077649241,-0.019832271769385366
251188.6431509582,1.000135457654193,-0.0004161719112181652,1.0001355442419901,-0.023841663152666625
199526.2314968879,1.0001628924657973,-0.0005003139395393457,1.0001630176024248,-0.028661206081592165
158489.3192461114,1.0001958928812147,-0.000601460993122077,1.0001960737234357,-0.03445442291758991
125892.54117941661,1.000235592030997,-0.000723046741850156,1.0002358533676896,-0.041417761788092894
100000.0,1.0002833555444024,-0.0008691968418073266,1.0002837331888983,-0.04978719059059385
79432.82347242821,1.000340830047304,-0.001044867791692924,1.0003413757355193,-0.059846095494061835
63095.7344480193,1.0004100021225872,-0.0012560133836568017,1.0004107905838155,-0.07193473468973818
50118.72336272725,1.0004932701379559,-0.0015097841104383671,1.0004944092994226,-0.08646154294437954
39810.71705534969,1.0005935319594312,-0.0018147658764664364,1.000595177668889,-0.10391663367163426
31622.776601683792,1.000714292361499,-0.0021812655009194474,1.000716669620208,-0.12488790279794079
25118.864315095823,1.000859794976818,-0.0026216518063342594,1.0008632285478531,-0.150080202111256
19952.62314968879,1.0010351849815482,-0.003150762560393591,1.0010401434886387,-0.18033811750908205
15848.93192461114,1.0012467104988518,-0.0037863891706377186,1.0012538699189746,-0.21667295645371673
12589.254117941662,1.0015019730767936,-0.004549852788435502,1.001512308080688,-0.2602946132521
10000.0,1.0018102407682568,-0.005466687287777811,1.0018251559918303,-0.3126490306674318
7943.282347242814,1.0021828415972363,-0.006567446313007746,1.002204360069834,-0.3754619956099774
6309.57344480193,1.0026336609285253,-0.007888653006849808,1.0026646941391721,-0.45078996910997376
