,tau,gamma,ftp
0,1e-07,1.8712813285436727e-05,2.9653772387107032e-06
1,1.1097524964120721e-07,2.0338835978967038e-05,3.223011252968925e-06
2,1.2315506032928263e-07,2.2106176549207702e-05,3.503029365647935e-06
3,1.3667163564620074e-07,2.4027121849580595e-05,3.8073765044606877e-06
4,1.5167168884709241e-07,2.611502789902008e-05,4.138166611866516e-06
5,1.6831803533309585e-07,2.838441307848104e-05,4.4976973365394454e-06
6,1.867913599020781e-07,3.0851059480308706e-05,4.888466002612816e-06
7,2.0729217795953698e-07,3.353212312896057e-05,5.313186967966551e-06
8,2.300430119772917e-07,3.644625385584212e-05,5.774810492535883e-06
9,2.5529080682395163e-07,3.961372568120937e-05,6.276543248185947e-06
10,2.833096101839324e-07,4.305657863277775e-05,6.821870613189224e-06
11,3.1440354715915e-07,4.6798773014494234e-05,7.414580906845775e-06
12,3.489101213406774e-07,5.08663572305877e-05,8.058791733390128e-06
13,3.872038781812557e-07,5.5287650370288373e-05,8.758978619129133e-06
14,4.2970047043208437e-07,6.009344086836997e-05,9.520006142862332e-06
15,4.768611697714474e-07,6.531720267688854e-05,1.0347161777165121e-05
16,5.291978735958437e-07,7.099533051524219e-05,1.1246192677193108e-05
17,5.872786613189477e-07,7.716739591015153e-05,1.2223345674434626e-05
18,6.517339604882421e-07,8.387642589571601e-05,1.328541075544793e-05
19,7.232633896483533e-07,9.116920641782162e-05,1.4439768330238223e-05
20,8.026433522257174e-07,9.90966126785495e-05,1.5694440621740363e-05
21,8.907354638610439e-07,0.00010771396886675752,1.705814753707355e-05
22,9.884959046625586e-07,0.00011708143995278259,1.854036741304689e-05
23,1.096985797892384e-06,0.00012726445848066506,2.0151403063056954e-05
24,1.217382727739662e-06,0.00013833418957309514,2.1902453590293934e-05
25,1.3509935211980278e-06,0.00015036803767550986,2.3805692473352744e-05
26,1.499268432786047e-06,0.00016345019890988887,2.587435247524564e-05
27,1.6638168860761274e-06,0.0001776722632897247,2.8122817975781495e-05
28,1.8464249428955464e-06,0.00019313387146987983,3.056672538070283e-05
29,2.049074689815846e-06,0.00020994343117368563,3.3223072319270876e-05
30,2.2739657523579273e-06,0.00022821889896052362,3.611033640563973e-05
31,2.523539170434766e-06,0.0002480886335769039,3.9248604408860066e-05
32,2.800503894183631e-06,0.00026969232778046296,4.2659712752293295e-05
33,3.107866187782014e-06,0.0002931820262480274,4.636740034620707e-05
34,3.4489622604057595e-06,0.0003187232379861904,5.039747484807078e-05
35,3.827494478516315e-06,0.000346496152567345,5.4777993544348336e-05
36,4.247571552536894e-06,0.0003766969705293849,5.9539460156249876e-05
37,4.713753134116729e-06,0.00040953935941901213,6.471503899090898e-05
38,5.2310993080562585e-06,0.00044525604824493403,7.034078798986213e-05
39,5.805225516094895e-06,0.00048410057455948766,7.645591236971596e-05
40,6.44236350872137e-06,0.0005263492000299215,8.310304070679086e-05
41,7.149428986597577e-06,0.0005723030122227608,9.032852548985755e-05
42,7.934096665797492e-06,0.0006222902324399172,9.818277035443889e-05
43,8.804883581643465e-06,0.0006766687518532344,0.00010672058642045089
44,9.771241535346501e-06,0.0007358289209314302,0.00011600158038425674
45,1.0843659686896109e-05,0.0008001966202946743,0.00012609057726889662
46,1.2033778407775906e-05,0.0008702366447319339,0.00013705808101499475
47,1.3354515629298974e-05,0.0009464564362511417,0.00014898077640263343
48,1.48202070579886e-05,0.001029410206792547,0.00016194207613475978
49,1.6446761779946626e-05,0.0011197034967287257,0.00017603271728932796
50,1.8251834943190462e-05,0.0012179982216283854,0.00019135141176478278
51,2.0255019392306664e-05,0.001325018267127176,0.00020800555580669644
52,2.2478058335487252e-05,0.0014415557003094883,0.0002261120042181488
53,2.4945081352303165e-05,0.0015684776759775033,0.00024579791542930475
54,2.7682866303920665e-05,0.0017067341278293238,0.00026720167424023873
55,3.072112998861759e-05,0.0018573663481998332,0.00029047389976393726
56,3.409285069746814e-05,0.002021516576014831,0.0003157785468936496
57,3.783462617131933e-05,0.0022004387314273183,0.0003432941105118305
58,4.1987070844439056e-05,0.0023955104577979163,0.0003732149426601384
59,4.659525668664687e-05,0.002608246657920984,0.0004057526940167871
60,5.170920242896755e-05,0.0028403147425009314,0.0004411378922968228
61,5.7384416483024044e-05,0.0030935518458478765,0.00047962167162359355
62,6.368249944718586e-05,0.0033699843078070784,0.0005214776685398367
63,7.067181273927492e-05,0.003671849773561828,0.0005670041021630809
64,7.842822061337681e-05,0.004001622325994809,0.000616526058075297
65,8.703591361485166e-05,0.00436204114103339,0.0006703979979101229
66,9.658832241158708e-05,0.004756143247651068,0.0007290065193079671
67,0.00010718913192051276,0.005187301084441878,0.0007927733940038454
68,0.00011895340673703195,0.00565926567827086,0.0008621589153581738
69,0.0001320088400831418,0.006176216432855131,0.0009376655907120465
70,0.00014649713983072864,0.00674281871303563,0.0010198422186343643
71,0.0001625755666443795,0.007364290652483046,0.0011092883965340052
72,0.00018041864093920718,0.008046480909373543,0.0012066595103611777
73,0.00020022003718155845,0.008795959459716679,0.0013126722653674084
74,0.0002221946860939524,0.009620123968659801,0.0014281108253114659
75,0.0002465811075822604,0.010527324837968076,0.001553833637302127
76,0.0002736439997074672,0.01152701272060572,0.0016907810309137092
77,0.00030367711180354605,0.012629913156060038,0.0018399836936042158
78,0.00033700643292719284,0.013848234057492756,0.0020025721401789247
