,tau,gamma,ftp
0,1e-07,0.0007496670898362303,2.9653772387107032e-06
1,1.1097524964120721e-07,0.0008152536978927958,3.223011252968925e-06
2,1.2315506032928263e-07,0.000886621571598576,3.503029365647935e-06
3,1.3667163564620074e-07,0.0009642881754156785,3.8073765044606877e-06
4,1.5167168884709241e-07,0.0010488187173362694,4.138166611866516e-06
5,1.6831803533309585e-07,0.0011408308111082583,4.4976973365394454e-06
6,1.867913599020781e-07,0.0012409996393476723,4.888466002612816e-06
7,2.0729217795953698e-07,0.0013500636791731306,5.313186967966551e-06
8,2.300430119772917e-07,0.0014688310608519065,5.774810492535883e-06
9,2.5529080682395163e-07,0.0015981866402671123,6.276543248185947e-06
10,2.833096101839324e-07,0.0017390998780731622,6.821870613189224e-06
11,3.1440354715915e-07,0.0018926336325289744,7.414580906845775e-06
12,3.489101213406774e-07,0.002059953989579587,8.058791733390128e-06
13,3.872038781812557e-07,0.0022423412732736395,8.758978619129133e-06
14,4.2970047043208437e-07,0.0024412024026337475,9.520006142862332e-06
15,4.768611697714474e-07,0.0026580847883407015,1.0347161777165121e-05
16,5.291978735958437e-07,0.002894691994904805,1.1246192677193108e-05
17,5.872786613189477e-07,0.0031529014324212365,1.2223345674434626e-05
18,6.517339604882421e-07,0.0034347843878182014,1.328541075544793e-05
19,7.232633896483533e-07,0.0037426287602743166,1.4439768330238223e-05
20,8.026433522257174e-07,0.004078964931134747,1.5694440621740363e-05
21,8.907354638610439e-07,0.0044465952775772834,1.705814753707355e-05
22,9.884959046625586e-07,0.004848627934419429,1.854036741304689e-05
23,1.096985797892384e-06,0.005288515523479622,2.0151403063056954e-05
24,1.217382727739662e-06,0.005770099709372604,2.1902453590293934e-05
25,1.3509935211980278e-06,0.006297662610229775,2.3805692473352744e-05
26,1.499268432786047e-06,0.006875986298730079,2.587435247524564e-05
27,1.6638168860761274e-06,0.007510421881973958,2.8122817975781495e-05
28,1.8464249428955464e-06,0.00820696995943163,3.056672538070283e-05
29,2.049074689815846e-06,0.00897237464071654,3.3223072319270876e-05
30,2.2739657523579273e-06,0.009814233777343624,3.611033640563973e-05
31,2.523539170434766e-06,0.010741128647849681,3.9248604408860066e-05
32,2.800503894183631e-06,0.011762777062817656,4.2659712752293295e-05
33,3.107866187782014e-06,0.012890214762527635,4.636740034620707e-05
34,3.4489622604057595e-06,0.014136011112362762,5.039747484807078e-05
35,3.827494478516315e-06,0.01551452651979961,5.4777993544348336e-05
36,4.247571552536894e-06,0.01704222077812939,5.9539460156249876e-05
37,4.713753134116729e-06,0.018738023782586266,6.471503899090898e-05
38,5.2310993080562585e-06,0.020623782885789775,7.034078798986213e-05
39,5.805225516094895e-06,0.02272480471254551,7.645591236971596e-05
40,6.44236350872137e-06,0.025070513724134897,8.310304070679086e-05
41,7.149428986597577e-06,0.02769525542964395,9.032852548985755e-05
42,7.934096665797492e-06,0.030639279137123412,9.818277035443889e-05
43,8.804883581643465e-06,0.03394994378135838,0.00010672058642045089
44,9.771241535346501e-06,0.037683200879847605,0.00011600158038425674
45,1.0843659686896109e-05,0.041905421130533,0.00012609057726889662
46,1.2033778407775906e-05,0.046695645287000764,0.00013705808101499475
47,1.3354515629298974e-05,0.05214835465449283,0.00014898077640263343
48,1.48202070579886e-05,0.05837686917049979,0.00016194207613475978
49,1.6446761779946626e-05,0.06551748577972519,0.00017603271728932796
50,1.8251834943190462e-05,0.07373445498523067,0.00019135141176478278
51,2.0255019392306664e-05,0.08322583636543225,0.00020800555580669644
52,2.2478058335487252e-05,0.09423013178162394,0.0002261120042181488
53,2.4945081352303165e-05,0.10703328967637411,0.00024579791542930475
54,2.7682866303920665e-05,0.12197506595812166,0.00026720167424023873
55,3.072112998861759e-05,0.13945257835305067,0.00029047389976393726
56,3.409285069746814e-05,0.15991682024500947,0.0003157785468936496
57,3.783462617131933e-05,0.18385436522558224,0.0003432941105118305
58,4.1987070844439056e-05,0.21174092289349225,0.0003732149426601384
59,4.659525668664687e-05,0.24394579243640052,0.0004057526940167871
60,5.170920242896755e-05,0.2805588931449097,0.0004411378922968228
61,5.7384416483024044e-05,0.3211132985697612,0.00047962167162359355
62,6.368249944718586e-05,0.36420583436421894,0.0005214776685398367
63,7.067181273927492e-05,0.40710667472145573,0.0005670041021630809
64,7.842822061337681e-05,0.44560660531562785,0.000616526058075297
65,8.703591361485166e-05,0.47448547360300686,0.0006703979979101229
66,9.658832241158708e-05,0.48884154400453517,0.0007290065193079671
67,0.00010718913192051276,0.48590350317266623,0.0007927733940038454
68,0.00011895340673703195,0.4662571096819607,0.0008621589153581738
69,0.0001320088400831418,0.43357468550923123,0.0009376655907120465
70,0.00014649713983072864,0.39305867678214634,0.0010198422186343643
71,0.0001625755666443795,0.3496973643414182,0.0011092883965340052
72,0.00018041864093920718,0.3072199718464485,0.0012066595103611777
73,0.00020022003718155845,0.26787827522937374,0.0013126722653674084
74,0.0002221946860939524,0.23271716880324958,0.0014281108253114659
75,0.0002465811075822604,0.20198014069911663,0.001553833637302127
76,0.0002736439997074672,0.17545889158696573,0.0016907810309137092
77,0.00030367711180354605,0.1527338935727083,0.0018399836936042158
78,0.00033700643292719284,0.13331814783476953,0.0020025721401789247
79,0.0003739937302478798,0.11673352142914843,0.0021797873125218047
80,0.0004150404757850477,0.10254588927246973,0.00237299246760442
81,0.00046059220411451084,0.0903773328465885,0.0025836865375345754
82,0.0005111433483440171,0.07990662781263476,0.0028135191759239486
83,0.0005672426068491978,0.07086441026681473,0.0030643077411112666
84,0.0006294988990221888,0.06302643236608589,0.003338056509968266
85,0.0006985879746785249,0.056206607341133724,0.003636978467602992
86,0.0007752597488629464,0.05025060997401662,0.0039635200800596125
87,0.000860346441668451,0.045030312242256704,0.004320389531315399
88,0.0009547716114208065,0.04043909473701348,0.0047105889952409295
89,0.001059560179277617,0.03638796725029906,0.00513745162112618
90,0.0011758495540521582,0.03280239243477676,0.00560468404212191
91,0.0013049019780144017,0.029619699975901918,0.0061164153747937525
92,0.001448118227674533,0.02678698701788788,0.006677253871556007
93,0.0016070528182616384,0.02425941434829544,0.007292352624352863
94,0.0017834308769319094,0.021998822553953665,0.00796748600804607
95,0.0019791668678535573,0.01997260599824061,0.008709138908746616
96,0.002196385372416547,0.018152794290395728,0.009524611222491042
97,0.002437444150122222,0.016515300789956038,0.010422140654379545
98,0.002704959730463137,0.015039305755733354,0.011411047524454359
99,0.0030018358135755923,0.013706748252265106,0.012501906128412182
100,0.003331294787934677,0.012501906128412158,0.013706748252265125
101,0.0036969127071950323,0.011411047524454338,0.015039305755733381
102,0.00410265810582719,0.010422140654379545,0.016515300789956038
103,0.004552935074866948,0.009524611222491042,0.018152794290395728
104,0.00505263106533568,0.008709138908746616,0.01997260599824061
105,0.005607169938205458,0.00796748600804607,0.021998822553953665
106,0.006222570836730231,0.007292352624352863,0.02425941434829544
107,0.006905513520162331,0.006677253871556011,0.026786987017887866
108,0.007663410868007463,0.0061164153747937525,0.029619699975901918
109,0.008504489341802686,0.005604684042121901,0.032802392434776825
110,0.009437878277775391,0.005137451621126173,0.03638796725029913
111,0.010473708979594508,0.004710588995240921,0.04043909473701358
112,0.011623224686798541,0.004320389531315388,0.04503031224225681
113,0.01289890261253308,0.0039635200800596125,0.05025060997401662
114,0.014314589375234785,0.003636978467602992,0.056206607341133724
115,0.015885651294280528,0.003338056509968266,0.06302643236608589
116,0.01762914118095948,0.0030643077411112666,0.0708644102668147
117,0.01956398343517065,0.0028135191759239464,0.07990662781263484
118,0.021711179456945052,0.002583686537534573,0.09037733284658857
119,0.02409403560239527,0.002372992467604418,0.10254588927246988
120,0.026738416158399492,0.0021797873125218026,0.1167335214291485
121,0.029673024081888724,0.0020025721401789234,0.1333181478347697
122,0.032929712550971546,0.0018399836936042126,0.15273389357270875
123,0.036543830709572546,0.0016907810309137092,0.17545889158696573
124,0.040554607358408275,0.0015538336373021283,0.20198014069911663
125,0.04500557675700498,0.0014281108253114659,0.23271716880324944
126,0.0499450511585514,0.0013126722653674084,0.26787827522937374
127,0.05542664520663107,0.0012066595103611777,0.3072199718464483
128,0.06150985788580504,0.0011092883965340044,0.34969736434141846
129,0.06826071834272393,0.0010198422186343632,0.39305867678214673
130,0.0757525025877192,0.0009376655907120465,0.43357468550923167
131,0.08406652885618333,0.0008621589153581731,0.4662571096819607
132,0.09329304026284696,0.000792773394003844,0.48590350317266623
133,0.10353218432956637,0.0007290065193079665,0.48884154400453517
134,0.11489510001873086,0.0006703979979101229,0.47448547360300686
135,0.1275051240713013,0.000616526058075297,0.4456066053156283
136,0.1414991297434576,0.0005670041021630809,0.40710667472145573
137,0.15702901247293774,0.0005214776685398367,0.36420583436421894
138,0.17426333860096507,0.00047962167162359274,0.32111329856976045
139,0.19338917504552322,0.0004411378922968228,0.2805588931449097
140,0.21461411978584058,0.00040575269401678675,0.24394579243639983
141,0.23816855519761607,0.0003732149426601384,0.21174092289349225
142,0.2643081486974108,0.00034329411051182984,0.18385436522558177
143,0.29331662783900486,0.0003157785468936493,0.15991682024500906
144,0.32550885998350565,0.00029047389976393726,0.13945257835305067
145,0.36123426997094304,0.00026720167424023873,0.12197506595812166
146,0.40088063288984643,0.00024579791542930475,0.10703328967637414
147,0.4448782831127585,0.0002261120042181488,0.09423013178162394
148,0.4937047852839004,0.00020800555580669644,0.08322583636543225
149,0.5478901179593945,0.00019135141176478246,0.07373445498523047
150,0.6080224261649427,0.00017603271728932796,0.06551748577972519
151,0.67475440531107,0.00016194207613475962,0.058376869170499696
152,0.748810385759003,0.00014898077640263343,0.05214835465449283
153,0.8309941949353403,0.00013705808101499464,0.046695645287000646
154,0.9221978823334341,0.00012609057726889637,0.04190542113053292
155,1.0234114021054528,0.00011600158038425674,0.037683200879847625
156,1.135733358343105,0.00010672058642045089,0.03394994378135839
157,1.2603829296797273,9.818277035443889e-05,0.030639279137123412
158,1.3987131026472386,9.032852548985755e-05,0.02769525542964395
159,1.552225357427048,8.3103040706791e-05,0.025070513724134897
160,1.7225859653987874,7.645591236971596e-05,0.02272480471254551
161,1.9116440753857036,7.034078798986213e-05,0.020623782885789775
162,2.121451784910632,6.471503899090887e-05,0.018738023782586235
163,2.35428641432242,5.9539460156249876e-05,0.017042220778129395
164,2.612675225563332,5.477799354434824e-05,0.015514526519799579
165,2.8994228538828812,5.0397474848070693e-05,0.014136011112362736
166,3.2176417502507353,4.636740034620707e-05,0.01289021476252764
167,3.5707859649004625,4.2659712752293295e-05,0.011762777062817656
168,3.9626886387014784,3.9248604408860066e-05,0.01074112864784969
169,4.397603609302721,3.611033640563973e-05,0.009814233777343624
170,4.880251583654434,3.3223072319270876e-05,0.008972374640716542
171,5.415871378079476,3.056672538070278e-05,0.00820696995943162
172,6.010276782070388,2.8122817975781495e-05,0.007510421881973958
173,6.669919663030129,2.5874352475245595e-05,0.006875986298730068
174,7.401959996915652,2.38056924733527e-05,0.006297662610229763
175,8.214343584919439,2.1902453590293897e-05,0.00577009970937259
176,9.115888299750837,2.015140306305692e-05,0.005288515523479614
177,10.11637979766207,1.854036741304689e-05,0.004848627934419429
178,11.226677735108158,1.705814753707352e-05,0.004446595277577277
179,12.458833642950081,1.5694440621740363e-05,0.004078964931134747
180,13.826221737646593,1.44397683302382e-05,0.0037426287602743097
181,15.343684089300131,1.328541075544793e-05,0.0034347843878182014
182,17.02769172225898,1.2223345674434648e-05,0.003152901432421242
183,18.896523396912116,1.1246192677193108e-05,0.002894691994904805
184,20.970464013232306,1.0347161777165121e-05,0.0026580847883407037
185,23.27202478960412,9.520006142862315e-06,0.0024412024026337427
186,25.826187606826746,8.758978619129133e-06,0.0022423412732736395
187,28.66067616948256,8.058791733390128e-06,0.0020599539895795813
188,31.80625692794119,7.41458090684579e-06,0.0018926336325289744
189,35.297073027306574,6.821870613189211e-06,0.0017390998780731606
190,39.17101490809261,6.276543248185947e-06,0.0015981866402671123
191,43.47013158125035,5.7748104925358725e-06,0.0014688310608519043
192,48.241087041653735,5.313186967966551e-06,0.0013500636791731306
193,53.535666774107185,4.888466002612833e-06,0.0012409996393476744
194,59.411339849650396,4.4976973365394454e-06,0.001140830811108256
195,65.93188271333541,4.138166611866516e-06,0.0010488187173362694
196,73.16807143427206,3.807376504460681e-06,0.0009642881754156767
