,tau,gamma,ftp
42,7.934096665797492e-06,0.004040102618845979,9.818277035443889e-05
43,8.804883581643465e-06,0.004404108253801652,0.00010672058642045089
44,9.771241535346501e-06,0.004802154594414457,0.00011600158038425674
45,1.0843659686896109e-05,0.00523765390065324,0.00012609057726889662
46,1.2033778407775906e-05,0.005714402206572205,0.00013705808101499475
47,1.3354515629298974e-05,0.0062366299125134715,0.00014898077640263343
48,1.48202070579886e-05,0.006809060318788019,0.00016194207613475978
49,1.6446761779946626e-05,0.007436977558627711,0.00017603271728932796
50,1.8251834943190462e-05,0.008126305691861567,0.00019135141176478278
51,2.0255019392306664e-05,0.008883701094493589,0.00020800555580669644
52,2.2478058335487252e-05,0.009716660740748794,0.0002261120042181488
53,2.4945081352303165e-05,0.010633649545525151,0.00024579791542930475
54,2.7682866303920665e-05,0.011644250644913477,0.00026720167424023873
55,3.072112998861759e-05,0.012759343376613249,0.00029047389976393726
56,3.409285069746814e-05,0.013991314826637307,0.0003157785468936496
57,3.783462617131933e-05,0.01535431219214954,0.0003432941105118305
58,4.1987070844439056e-05,0.016864544946944872,0.0003732149426601384
59,4.659525668664687e-05,0.01854064798008481,0.0004057526940167871
60,5.170920242896755e-05,0.020404119628027118,0.0004411378922968228
61,5.7384416483024044e-05,0.022479851983911305,0.00047962167162359355
62,6.368249944718586e-05,0.024796775225616442,0.0005214776685398367
63,7.067181273927492e-05,0.02738864317334145,0.0005670041021630809
64,7.842822061337681e-05,0.030294994115518645,0.000616526058075297
65,8.703591361485166e-05,0.03356232939034377,0.0006703979979101229
66,9.658832241158708e-05,0.03724556250937167,0.0007290065193079671
67,0.00010718913192051276,0.04140980386006396,0.0007927733940038454
68,0.00011895340673703195,0.0461325599953828,0.0008621589153581738
69,0.0001320088400831418,0.05150644125408414,0.0009376655907120465
70,0.00014649713983072864,0.05764248451837977,0.0010198422186343643
71,0.0001625755666443795,0.06467420397297238,0.0011092883965340052
72,0.00018041864093920718,0.07276247093603705,0.0012066595103611777
73,0.00020022003718155845,0.08210127307448746,0.0013126722653674084
74,0.0002221946860939524,0.09292427373004039,0.0014281108253114659
75,0.0002465811075822604,0.10551181038161024,0.001553833637302127
76,0.0002736439997074672,0.12019740655123921,0.0016907810309137092
77,0.00030367711180354605,0.13737179878564418,0.0018399836936042158
78,0.00033700643292719284,0.1574805360210271,0.0020025721401789247
79,0.0003739937302478798,0.18100786678194972,0.0021797873125218047
80,0.0004150404757850477,0.2084343051001163,0.00237299246760442
81,0.00046059220411451084,0.24014783175879992,0.0025836865375345754
82,0.0005111433483440171,0.2762810354646142,0.0028135191759239486
83,0.0005672426068491978,0.316446062661756,0.0030643077411112666
84,0.0006294988990221888,0.3593643231720137,0.003338056509968266
85,0.0006985879746785249,0.40246834131335507,0.003636978467602992
86,0.0007752597488629464,0.4417049097470939,0.0039635200800596125
87,0.000860346441668451,0.4719160585330252,0.004320389531315399
88,0.0009547716114208065,0.4880765324702403,0.0047105889952409295
89,0.001059560179277617,0.487096345716782,0.00513745162112618
90,0.0011758495540521582,0.4691711523766045,0.00560468404212191
91,0.0013049019780144017,0.4376917511711484,0.0061164153747937525
92,0.001448118227674533,0.39778351312435223,0.006677253871556007
93,0.0016070528182616384,0.35452669371709655,0.007292352624352863
94,0.0017834308769319094,0.31181414992350026,0.00796748600804607
95,0.0019791668678535573,0.2720538512153641,0.008709138908746616
96,0.002196385372416547,0.2364049479813103,0.009524611222491042
97,0.002437444150122222,0.20518085961016524,0.010422140654379545
98,0.002704959730463137,0.17820958956589525,0.011411047524454359
99,0.0030018358135755923,0.1550864543779191,0.012501906128412182
100,0.003331294787934677,0.13532720298783227,0.013706748252265125
101,0.0036969127071950323,0.11845041558848964,0.015039305755733381
102,0.00410265810582719,0.10401617412351574,0.016515300789956038
103,0.004552935074866948,0.09164014573531318,0.018152794290395728
104,0.00505263106533568,0.08099498575235398,0.01997260599824061
105,0.005607169938205458,0.07180588534877186,0.021998822553953665
106,0.006222570836730231,0.06384393242661787,0.02425941434829544
107,0.006905513520162331,0.05691912992059249,0.026786987017887866
108,0.007663410868007463,0.050873914534779886,0.029619699975901918
109,0.008504489341802686,0.04557749466073304,0.032802392434776825
