Freq,Zreal,Zimag,Zmod,Zphz,sigma_re,sigma_im
10000.0,0.014159500570823387,-0.014424656958752828,0.02021292123352892,-45.53147993522398,0.00013855857426753521,0.00013855857426753521
7943.282347242814,0.016002465160709384,-0.015945642288121235,0.02259075915502704,-44.898093890184974,0.00015545384598817638,0.00015545384598817638
6309.57344480193,0.017775201671852012,-0.01802844685905028,0.025317635960425106,-45.405255861794394,0.00017442767981340587,0.00017442767981340587
5011.872336272725,0.019943055191160467,-0.020142119163707978,0.028344848116768673,-45.284529926744085,0.0001957503252288018,0.0001957503252288018
3981.0717055349733,0.02234900657958982,-0.02276140040011034,0.03189920756490186,-45.52377641409091,0.0002197304243089543,0.0002197304243089543
3162.2776601683795,0.02488057280271208,-0.025361886607997187,0.03552841391489301,-45.548866564626934,0.00024671857962133524,0.00024671857962133524
2511.88643150958,0.02843922374066829,-0.028745927808729792,0.040436590021371684,-45.30729445824159,0.0002771111485913429,0.0002771111485913429
1995.2623149688789,0.03189484867188089,-0.0326681059959666,0.0456561772509032,-45.68618704277166,0.00031134978145862686,0.00031134978145862686
1584.893192461114,0.03534683669676147,-0.03644852735115013,0.05077296535101197,-45.87912739216814,0.0003499316787917306,0.0003499316787917306
1258.9254117941675,0.04013449225281753,-0.04154144613220953,0.0577621780678909,-45.986882412421046,0.00039340688360064025,0.00039340688360064025
1000.0,0.04557832070090851,-0.04631048302769577,0.06497725876161108,-45.456518333131086,0.00044238692261339753,0.00044238692261339753
794.3282347242813,0.05035608983749105,-0.05075292333009884,0.07149541950553448,-45.2248737954946,0.0004975500714079822,0.0004975500714079822
630.957344480193,0.05661624273810788,-0.058481637167007695,0.08139717948131796,-45.92851294531355,0.0005596475075781164,0.0005596475075781164
501.18723362727246,0.06409790365827578,-0.06489150271933541,0.09121101018275764,-45.35250416602813,0.0006295085659991533,0.0006295085659991533
398.1071705534969,0.07097351884751224,-0.07350506364654154,0.10217746698406796,-46.0038303868386,0.0007080447446470703,0.0007080447446470703
316.22776601683796,0.08005951083252709,-0.08272910016218671,0.11512440787421512,-45.93951592402547,0.0007962537520690234,0.0007962537520690234
251.18864315095797,0.08946813636762514,-0.09586300228637916,0.13112689515295597,-46.97621145906501,0.0008952288504837044,0.0008952288504837044
199.52623149688787,0.10072941296691251,-0.1035809358587189,0.14448330322229916,-45.799615000567854,0.0010061835790468256,0.0010061835790468256
158.48931924611142,0.11114477843227452,-0.11525434959770162,0.16011473034655063,-46.03991225487934,0.0011305050249139094,0.0011305050249139094
125.89254117941663,0.12619425765086864,-0.13192435929398838,0.18256239272967245,-46.271728199093246,0.0012698473524434878,0.0012698473524434878
100.0,0.14201728325465077,-0.15145652510557855,0.20762463182408886,-46.84221665512262,0.001426267971247782,0.001426267971247782
79.43282347242814,0.15579725007816503,-0.16975561307893922,0.23041213358615648,-47.455102826587826,0.0016023968570670196,0.0016023968570670196
63.0957344480193,0.17891131176361935,-0.19063749657148,0.2614419870181912,-46.8174474654029,0.001801617810503082,0.001801617810503082
50.118723362727195,0.1970857337485456,-0.22424464054106055,0.298543874930624,-48.68817669463737,0.002028238631244773,0.002028238631244773
39.81071705534969,0.21545112438793285,-0.24875029926762393,0.32908342162095766,-49.10304575232721,0.002287635771980004,0.002287635771980004
31.622776601683793,0.24248028921281128,-0.2908440108231838,0.3786646660152553,-50.181609979793954,0.002586374756451159,0.002586374756451159
25.118864315095795,0.2735762498938076,-0.33276655623807744,0.43078712313219,-50.5754655287317,0.002932322281519581,0.002932322281519581
19.952623149688787,0.2988559807108512,-0.3848672605877702,0.4872758002189102,-52.170052277556636,0.0033347735228830807,0.0033347735228830807
15.848931924611126,0.3347064207304552,-0.44494223253210674,0.5567782129078398,-53.04779846547198,0.003804617627554467,0.003804617627554467
12.589254117941662,0.3801659583563265,-0.5176318195654257,0.6422373833090048,-53.70520656116988,0.004354558938114058,0.004354558938114058
10.0,0.4251828126490102,-0.6033774483226407,0.7381360100391149,-54.828743043447076,0.00499940560192009,0.00499940560192009
7.943282347242813,0.47202396144931147,-0.7037176468298695,0.8473636448668718,-56.14796640375287,0.0057564301773643176,0.0057564301773643176
6.30957344480193,0.5332291931549723,-0.8224670940111467,0.9801966604533211,-57.04349246235935,0.006645816295737595,0.006645816295737595
5.01187233627272,0.6034096100084029,-0.9715463748793692,1.1436806879508532,-58.15634357238566,0.007691184537484236,0.007691184537484236
3.981071705534969,0.7098802969405353,-1.127868247180851,1.3326728101762968,-57.81368795678765,0.008920223811390475,0.008920223811390475
3.1622776601683795,0.8031131059202968,-1.3333087267723502,1.5565033960092254,-58.93751281811569,0.010365429079578457,0.010365429079578457
2.5118864315095797,0.880538499776585,-1.542062709027324,1.7757548952942488,-60.273053258265,0.012064970887643642,0.012064970887643642
1.9952623149688788,1.0507597951098124,-1.8508708359276962,2.128337143947571,-60.41594448154142,0.014063715469621001,0.014063715469621001
1.5848931924611125,1.217081531961784,-2.1650394138373406,2.483683377347358,-60.65738925716787,0.01641442295979082,0.01641442295979082
1.2589254117941662,1.364169329223523,-2.5280061538893297,2.8725899590607216,-61.647696602331884,0.019179156553172108,0.019179156553172108
1.0,1.630482387874464,-2.983999200667218,3.4004005715138046,-61.34743466509193,0.02243093899052962,0.02243093899052962
