tau,fbp,fbp_lo,fbp_hi
-22.3070343662544,3.87603845066826e-09,1.83304059508753e-11,2.52477295121107e-08
-20.7214575344957,6.05797530130793e-08,6.60776022805433e-10,2.98731982547112e-07
-19.20335205728,6.76528461922422e-07,1.53734380037987e-08,2.61436753329541e-06
-17.7527179346072,5.55492139559977e-06,2.39680103803931e-07,1.72874852071942e-05
-16.3695551664773,3.44639788988599e-05,2.61081678179326e-06,8.9190930175211e-05
-15.0538637528903,0.000165828513574257,2.04397816638774e-05,0.000370591095341375
-13.8056436938463,0.000634334303597109,0.000120078389136155,0.00124704947778879
-12.6248949893452,0.00197492019299311,0.000541747243952897,0.00349491013046971
-11.5116176393869,0.00511692076003718,0.0019345594620066,0.00829014805702686
-10.4658116439717,0.0112667668954841,0.00559682489661599,0.0175074974237227
-9.4874770030993,0.0215017274021356,0.0128916061854895,0.0328240504975493
-8.57661371676986,0.0362268880885426,0.0229248672426311,0.0548482855323804
-7.73322178498333,0.0548177005708313,0.0357595412449603,0.0821663768003981
-6.95730120773973,0.0756901627450573,0.0507600358928985,0.114318911446012
-6.24885198503907,0.0967680296008399,0.0665557743426601,0.149197554989029
-5.60787411688131,0.116089100698445,0.08172762044788,0.184654607905563
-5.03436760326647,0.132269466770714,0.0950906403206524,0.214118595473506
-4.52833244419456,0.144685877998952,0.105905411791637,0.237727392282871
-4.08976863966557,0.153401326163438,0.114067616116891,0.254955882857145
-3.82689033336559,0.157518358069707,0.118251824310971,0.26340819292419
-3.7186761896795,0.158947930980489,0.119754220218733,0.266360167649879
-3.47216471841658,0.161594674521272,0.122851917971048,0.271892832526822
-3.41505509423635,0.162083397813675,0.123488485891079,0.273007132036375
-3.17890535333613,0.163593044827558,0.125769370836345,0.276359833424658
-3.13253381048668,0.163791614829628,0.126156669244043,0.276842696219773
-3.01022696697882,0.164160028108548,0.127111494725197,0.277911668016814
-2.90901993516444,0.164294700770691,0.127728143622718,0.278733256743109
-2.87528425789298,0.16430552265608,0.127911328567247,0.278938390587025
-2.84154858062152,0.164299429525076,0.128094905943619,0.279065524041053
-2.80799760957588,0.164276695629275,0.128270498141588,0.279118940563781
-2.74034154880714,0.164180821471368,0.128577545117018,0.279349344853411
-2.57166316244983,0.163660370072448,0.129246694783575,0.278716252635689
-2.4985561156842,0.163317769148366,0.129545717806184,0.278134247814779
-2.33551342154961,0.162336960212022,0.130359618150038,0.276893407369618
-2.20420932881161,0.161390483910144,0.131414299287981,0.275474886385447
-2.03189232610646,0.160115412562921,0.133613299719937,0.276166989034139
-1.92495724895813,0.159454589499213,0.136049240059295,0.276401416444338
-1.66079987612377,0.159374082228381,0.147104640890181,0.300343408753998
-1.66079987612039,0.159374082228404,0.147104640890438,0.300343408754466
-1.4117372103085,0.164190541896004,0.154240556248881,0.356774147052416
-1.2222360715914,0.17424396339966,0.152210292515163,0.402141825409833
-1.17776925151235,0.177760836511081,0.151495212886591,0.413816881290016
-0.9588959997353,0.203524302965858,0.148698206858936,0.469963420293583
-0.755117454977359,0.242859057098117,0.145689465611648,0.520994092620958
-0.716200912519489,0.252250155663748,0.144843263295504,0.530504335052263
-0.566433617238523,0.294001578980314,0.141230794105435,0.563749436742443
-0.392844486518793,0.352260996155145,0.136704144550596,0.599430498628711
-0.234350062818177,0.411434961093051,0.132850283134431,0.634619762000691
-0.142694398904657,0.446308919698748,0.130303984678093,0.661842315927345
