tau,ftp,ftp_lo,ftp_hi
-14.7835339351235,4.35540889066524e-09,1.92990268512062e-10,6.26213621644506e-08
-13.8207816128867,6.80719756074613e-08,4.74949919981463e-09,6.61529910311664e-07
-12.8989974745748,7.60198361122291e-07,7.91879866932288e-08,5.22050021453508e-06
-12.0181815201879,6.24192828354698e-06,9.25849095056004e-07,3.15973939744852e-05
-11.1783337497259,3.87263238005069e-05,7.83560022327597e-06,0.000149759789308604
-10.3794541631889,0.000186337414228334,4.95254861226421e-05,0.000570116163259709
-9.62154276057694,0.000712785825193367,0.000240099540727473,0.00177803977864618
-8.90459954188992,0.0022191691533487,0.000917153919385348,0.00464624923758437
-8.22862450712785,0.00574975776291724,0.00283436513860199,0.0103440571415123
-7.59361765629078,0.0126601883160328,0.00725703908194082,0.0200256038713144
-6.99957898937867,0.0241609612195092,0.015725476503649,0.0342631577263955
-6.44650850639154,0.0407072614139755,0.029470316788742,0.0526403849180526
-5.93440620732937,0.0615972992710795,0.0487378425653922,0.0738670410094727
-5.46327209219218,0.0850511706608292,0.0724306176726,0.0958419547040587
-5.03310616097998,0.108735850229502,0.0983077632132947,0.116572138318477
-4.64390841369273,0.130446461697037,0.123845597898395,0.134601244197158
-4.29567885033046,0.148627940323098,0.146103165771348,0.150715117155735
-3.98841747089316,0.162579955616792,0.157714550278206,0.166314714157173
-3.72212427538084,0.172373288498368,0.163984310847738,0.179612604592503
-3.49679926379349,0.178605841888868,0.167435450940721,0.189264151863788
-3.31244243613111,0.182128806377455,0.168913013804112,0.195444501624042
-3.1690537923937,0.183823798307261,0.169171193294261,0.198984276328963
-3.06663333258127,0.184457376611682,0.168863666520519,0.200935748975599
-3.00518105669381,0.184603896831419,0.168486095283067,0.201790959531809
-2.98469696473132,0.184613668983199,0.168334478441614,0.202039572402746
-2.96421287276884,0.184603896831419,0.168162164926438,0.202260398604982
-2.90276059688138,0.184457376611682,0.167599220290808,0.202696987917854
-2.80034013706895,0.183823798307261,0.166298866807752,0.203001439590964
-2.65695149333154,0.182128806377455,0.16389761656997,0.202398812082588
-2.47259466566916,0.178605841888868,0.15977737028088,0.19995386546342
-2.24726965408181,0.172373288498368,0.153294820412012,0.194410889307781
-1.98097645856949,0.162579955616792,0.143905161600718,0.184518246089013
-1.67371507913219,0.148627940323098,0.131217295423884,0.169436386460974
-1.32548551576992,0.130446461697037,0.115182772679562,0.148800214680377
-0.936287768482669,0.108735850229502,0.0964574420337886,0.123653954439831
-0.506121837270466,0.0850511706608292,0.0762767382616971,0.0958136776456462
-0.0349877221332728,0.0615972992710795,0.0563045740854278,0.0682176683260111
0.477114576928891,0.0407072614139755,0.0381255680787966,0.0442422559171042
1.03018505991603,0.0241609612195092,0.0229117070450253,0.0258444009693458
1.62422372682813,0.0126601883160328,0.0116983598061485,0.013673717082659
2.25923057766521,0.00574975776291724,0.00503367261403114,0.00653754319014616
2.93520561242727,0.00221916915334871,0.00177484913255713,0.00273688842599401
3.65214883111429,0.000712785825193367,0.00050502867156363,0.000980685813669622
4.4100602337263,0.000186337414228334,0.000113588741073313,0.000293361913448339
5.20893982026328,3.87263238005069e-05,1.97064381295555e-05,7.1731019595806e-05
6.04878759072521,6.24192828354698e-06,2.5512129020598e-06,1.40395315942872e-05
6.92960354511213,7.60198361122291e-07,2.40376924175814e-07,2.15100518091543e-06
7.85138768342402,6.80719756074613e-08,1.59106440536386e-08,2.51439089573484e-07
8.81414000566088,4.35540889066524e-09,7.22056765220729e-10,2.18216591316933e-08
