freq,Zimag,sigma_im
0.31622776601683794,-0.6747955429561898,8.097939138806964e-06
0.3981071705534969,-0.623272262454293,3.0911105870501387e-06
0.5011872336272715,-0.5682655071684621,3.017373326308359e-06
0.6309573444801929,-0.5124270882585051,2.714106556389595e-06
0.7943282347242805,-0.45801480189845734,2.25212276294684e-06
1.0,-0.40681580694536024,2.0393133208784775e-06
1.2589254117941662,-0.36011677285887345,2.0231222501720936e-06
1.5848931924611138,-0.3187175708940231,2.0016344244311313e-06
1.9952623149688788,-0.2829810209889274,1.91726236398182e-06
2.5118864315095766,-0.25290819535905484,1.8075731382793947e-06
3.1622776601683795,-0.2282272739387281,1.748050990180161e-06
3.981071705534969,-0.2084841997812532,1.735105500166867e-06
5.011872336272719,-0.19312496820805336,1.7368310816223698e-06
6.30957344480193,-0.18156231467600037,1.7187295631160282e-06
7.943282347242812,-0.1732228824989761,1.686359032859741e-06
10.0,-0.16757451865385065,1.6467521080087977e-06
12.589254117941664,-0.16413627406393516,1.6324385976318467e-06
15.848931924611126,-0.16247579628065978,1.6298928562363812e-06
19.95262314968879,-0.16219968035235865,1.632946931451329e-06
25.118864315095795,-0.16294216939874673,1.632251369620974e-06
31.622776601683796,-0.164356368946045,1.6166925300709067e-06
39.81071705534969,-0.16611037934330852,1.5977730898342202e-06
50.1187233627272,-0.16788875547783277,1.5911272468471793e-06
63.09573444801929,-0.16939805102543914,1.5950325229496798e-06
79.43282347242814,-0.1703740523236661,1.6057219829335168e-06
100.0,-0.17058802937066275,1.6090091197185075e-06
125.89254117941664,-0.16984977743797458,1.6030040557168945e-06
158.48931924611125,-0.1680062051193829,1.5950306364587163e-06
199.5262314968879,-0.1649356160431239,1.5955406906797975e-06
251.18864315095797,-0.160538939632346,1.6002315197383155e-06
316.227766016838,-0.15472992476929903,1.6179148465411686e-06
398.10717055349687,-0.14742632245946652,1.6330685728149774e-06
501.1872336272725,-0.13854335615150148,1.6351204950026954e-06
630.957344480193,-0.12798936035471797,1.6310588266676973e-06
794.3282347242813,-0.11566181534982434,1.631500642140793e-06
1000.0,-0.10144036153315028,1.6493253625071702e-06
1258.9254117941662,-0.0851723824966939,1.687231595326466e-06
1584.8931924611138,-0.06664662573564328,1.7200385995508327e-06
1995.2623149688789,-0.04555156527692361,1.7396358069632356e-06
2511.8864315095802,-0.021417462905446882,1.7349689471757301e-06
3162.2776601683795,0.0064554694854450645,1.7455112484299207e-06
3981.0717055349733,0.03907661917696714,1.8083448161121396e-06
5011.872336272725,0.07784221904432798,1.918271524736781e-06
6309.57344480193,0.12459751523499563,2.003004370365602e-06
7943.282347242814,0.18166943695359805,2.0207939659400154e-06
10000.0,0.2518560501405318,2.038759161493431e-06
12589.254117941662,0.3383616194582828,2.2480772825517192e-06
15848.93192461114,0.44467084527036604,2.713506234819363e-06
19952.623149688792,0.5743621413430446,3.0160772066523123e-06
25118.864315095827,0.730867052223175,3.0887941688817477e-06
31622.776601683792,0.9171900726576041,8.097518734651032e-06
