freq,Zimag,sigma_im
0.31622776601683794,-0.6690136461511429,9.520352952985256e-06
0.3981071705534969,-0.6237677988523274,4.127986020785457e-06
0.5011872336272715,-0.5719374372561106,4.0809783585782355e-06
0.6309573444801929,-0.5171055527703174,3.3295033525782003e-06
0.7943282347242805,-0.4625096280708476,2.999905172718087e-06
1.0,-0.4107115749662853,2.9979862932183465e-06
1.2589254117941662,-0.3634401350993812,2.8957130975282297e-06
1.5848931924611138,-0.3216130530643113,2.7432094893420356e-06
1.9952623149688788,-0.28549768393907016,2.6883802650701227e-06
2.5118864315095766,-0.2549372366705711,2.6884052438669315e-06
3.1622776601683795,-0.2295656596719482,2.658079734541019e-06
3.981071705534969,-0.208956326301859,2.6093827688589144e-06
5.011872336272719,-0.192686998842305,2.5870491017210284e-06
6.30957344480193,-0.18033933561628146,2.5866078925407265e-06
7.943282347242812,-0.17147119826881863,2.579047621686925e-06
10.0,-0.16559833708367933,2.56148083754848e-06
12.589254117941664,-0.16220370292103325,2.5503457187214806e-06
15.848931924611126,-0.16076972232815478,2.5491595063709127e-06
19.95262314968879,-0.16081411873597062,2.5480577029446394e-06
25.118864315095795,-0.16190982592763703,2.542231699043107e-06
31.622776601683796,-0.16368175987463474,2.536794606267101e-06
39.81071705534969,-0.16578857414697268,2.5355169976926106e-06
50.1187233627272,-0.16790596555387083,2.5360290508702477e-06
63.09573444801929,-0.16972482502887942,2.5350860205497483e-06
79.43282347242814,-0.17096542426958194,2.5330988986382863e-06
100.0,-0.17139637661352936,2.532069563465633e-06
125.89254117941664,-0.17084276645834962,2.533058206077854e-06
158.48931924611125,-0.1691746601388786,2.5350590321382427e-06
199.5262314968879,-0.1662806934590435,2.535981831863765e-06
251.18864315095797,-0.16204266847677218,2.5354708128588754e-06
316.227766016838,-0.1563278612692045,2.5367378767571225e-06
398.10717055349687,-0.1490047026530874,2.542173103248224e-06
501.1872336272725,-0.13997079555601033,2.547965215149439e-06
630.957344480193,-0.1291706171020195,2.5490588350107757e-06
794.3282347242813,-0.11658214218716978,2.5502041074432213e-06
1000.0,-0.10216758776509494,2.5614031983201002e-06
1258.9254117941662,-0.08580485390132253,2.578936740493809e-06
1584.8931924611138,-0.06722951936262689,2.5864896496807788e-06
1995.2623149688789,-0.046012108094345194,2.5869361236496857e-06
2511.8864315095802,-0.021571359005847057,2.6092311810055335e-06
3162.2776601683795,0.006806855724661887,2.6579879026655817e-06
3981.0717055349733,0.03999479047971022,2.6882948835904585e-06
5011.872336272725,0.07913376147460838,2.6882713751730236e-06
6309.57344480193,0.12583222218165702,2.743131925830866e-06
7943.282347242814,0.18239325555501296,2.895653339995974e-06
10000.0,0.25196097509586934,2.9979158464588096e-06
12589.254117941662,0.33845651675062527,2.9998438992873133e-06
15848.93192461114,0.4462065418540817,3.3294764577584957e-06
19952.623149688792,0.5792477526240418,4.080927676453072e-06
25118.864315095827,0.7403966657662409,4.127953478705315e-06
31622.776601683792,0.930269121620654,9.520343084323812e-06
