freq,Zreal,Zimag,sigma_im
2915.3959999999997,1446163.4213058555,-293691.0496872475,439322673889.1207
2519.531,1473357.0332886376,-314614.95597989555,439300887546.7595
2141.2039999999997,1506528.5144667309,-338302.16444029997,439277464889.6318
1841.5179999999998,1540020.7357316178,-360420.6593143209,439257662697.2395
1580.6689999999999,1576690.3652909421,-382808.011498822,439240370328.1515
1362.645,1614977.7954357,-404360.8479148963,439226866481.32074
1171.875,1656549.8443859085,-425867.53607903013,439216881188.2992
1000.702,1702900.802497146,-447743.3957798146,439210647137.29724
857.4695,1750956.3908241433,-468295.748479278,439208661044.813
734.1868,1801824.3533820275,-487893.40795424394,439210471457.12744
628.811,1855017.8207521313,-506203.0568453893,439215606168.23224
542.7632,1907607.3065372212,-522271.11030484014,439222998635.0667
463.5989,1965961.4236901351,-537897.2101280373,439232932383.7981
400.1524,2022091.679948248,-550880.4236336877,439243398488.5737
341.7969,2083712.743072874,-562964.4126525116,439255135304.3535
292.9687,2145194.7462514555,-572890.5261186213,439266444631.20276
252.0161,2206131.855312912,-580748.4453098013,439276745148.63525
215.0229,2271013.665346809,-587070.7862041255,439286302308.1637
184.5472,2333801.4850267433,-591297.2868870785,439293892204.7031
158.0056,2397621.5069093406,-593803.4292949927,439299779836.1812
136.5291,2457450.0959686534,-594621.5889033342,439303586446.12213
116.219,2522904.4278203994,-593948.6639437368,439305902748.4142
99.73404000000001,2584356.048080176,-591960.347122486,439306441608.21875
86.00917,2642989.9509963193,-588975.8880796585,439305640180.4491
73.8189,2702500.0198681094,-585015.5643765009,439303704833.7921
62.91946,2763472.0780985784,-580174.2219881511,439300769150.61456
53.87931,2821380.296892653,-575050.4833596004,439297293400.7572
46.41089,2875850.0910265986,-569976.0762746744,439293573560.7689
39.724579999999996,2931347.308945617,-564791.2662028478,439289456684.1265
34.21533,2983406.161135992,-560156.9609527267,439285360637.0194
29.296879999999998,3036348.98207301,-555938.6572372637,439280975769.65485
25.201610000000002,3086681.427942279,-552653.2161810922,439276566756.7592
21.50229,3138795.054472653,-550277.2226986185,439271682635.3423
18.38235,3189485.8056827346,-549235.437768338,439266548237.33746
15.782829999999999,3238254.7019012147,-549643.3378659555,439261235086.61304
13.62645,3284958.6107970993,-551501.1921785958,439255900645.49835
11.71875,3332842.373069794,-555020.3333256012,439250471873.5261
9.973403999999999,3384250.3165427935,-560693.0548186222,439245356517.98956
8.585165,3432496.721358316,-567802.5474827839,439242279874.8756
7.358713000000001,3482872.192677465,-576997.6460112636,439242487978.10333
6.2751,3536046.4296666007,-588510.5958717713,439249009740.3312
5.387931,3588292.063078686,-601411.0194963501,439265005885.9824
4.650298,3640295.835696786,-615561.1738018532,439294316435.67773
3.9859690000000003,3696644.3566231667,-632059.1494640693,439346426974.6288
3.40414,3756623.771183224,-650587.698512743,439432263194.9817
2.929687,3816097.409216897,-669584.1276896672,439556605558.24854
2.5161029999999998,3879040.025744532,-690004.4926384357,439740847188.2302
2.1433470000000003,3948463.586885663,-712517.8685012423,440020351765.4669
1.84402,4016670.738926604,-734285.5649069577,440388105843.057
1.587906,4087566.1984484945,-756241.9268312096,440885585457.7663
1.362645,4163385.5791269303,-778693.4211772761,441568590999.8925
1.171875,4241429.7619048,-800451.1035401054,442459098554.2043
0.997765,4328256.50203863,-822809.9618198879,443705431911.3257
0.8616728000000001,4410584.269441386,-842035.1069246379,445168705071.61505
0.7325363,4505107.604831746,-861564.4467298446,447229515630.53546
0.6290258000000001,4596798.190472221,-877772.4431257354,449662675581.7579
0.5425346999999999,4688337.68511284,-891154.4490186651,452564597431.03595
0.4650298,4786012.654052291,-902245.4524439469,456233783106.2888
0.39859690000000003,4885585.56810621,-910063.2590564094,460639482621.53015
0.3426535,4984633.832425007,-914245.8298477326,465745940410.9419
0.29296869999999997,5088090.653344078,-914675.6444414291,471912285253.29675
0.25147529999999996,5189191.683247799,-911086.414755665,478819695610.5607
0.2162131,5288829.568422148,-903537.9760208118,486535187127.36664
0.18483829999999998,5391171.3361835675,-891477.6623650395,495452491130.1378
0.1587906,5488654.9348266255,-875751.5516838457,504927942910.2017
0.1359484,5585994.162632575,-855713.2505102148,515384182589.0235
0.11672060000000001,5678679.232052498,-832377.3776718914,526293437746.1841
0.10016030000000001,5768266.165751938,-805622.920625824,537740305801.3229
